Body,Expense Area,Name,Expense Type,Reference,Date,Amount
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45370,865344.53
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45366,5206
Rotherham Metropolitan Borough Council,"Adult Care , Housing & Public Health",Access Uk Ltd,Consultancy,11549628,45386,9799.73
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11549761,45378,25.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11555848,45378,25.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558662,45378,-25.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558663,45378,-25.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558664,45378,-64.16
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558665,45378,-25.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558666,45378,-25.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558667,45378,-39.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558668,45378,-64.16
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558671,45378,-25.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558673,45378,25.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558674,45378,25.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558678,45378,25.66
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558680,45378,25.19
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11558681,45378,25.26
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11581719,45378,94.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,James Montgomery Academy Trust,Specialized Educational Services,11618703,45371,1000
Rotherham Metropolitan Borough Council,Regeneration & Environment,C A Telecom Uk Ltd,Consultancy,11641722,45372,1250
Rotherham Metropolitan Borough Council,Regeneration & Environment,C A Telecom Uk Ltd,Consultancy,11641722,45372,1250
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11647061,45378,73.98
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11677051,45378,67.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11704015,45378,67.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,Traffic Safety And Management Ltd,Road Markings And Traffic Management,11720358,45357,548.21
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11720828,45385,102
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Providence Maintenance & Electrical,Repair And Maintenance,11728230,45369,400
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11728510,45385,123
Rotherham Metropolitan Borough Council,"Adult Care , Housing & Public Health",Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11733060,45366,1125
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11733084,45378,68.03
Rotherham Metropolitan Borough Council,"Adult Care , Housing & Public Health",Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11735657,45366,165
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11740616,45385,123
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Redacted,Respite Care Services,11741754,45385,194.25
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Fire Safety Services (Fss) Ltd,Fire Extinguisher Maintenance,11751913,45365,118.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fire Safety Services (Fss) Ltd,Health And Hygiene Equipment,11751914,45373,110.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fire Safety Services (Fss) Ltd,Health And Hygiene Equipment,11751915,45373,44.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fire Safety Services (Fss) Ltd,Health And Hygiene Equipment,11751916,45373,104.65
Rotherham Metropolitan Borough Council,Regeneration & Environment,Orbis Protect Ltd,Security,11762139,45365,181.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,British Gas,Energy,11765502,45378,73.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lyndhurst Cooling & Heating Services Ltd,Repair And Maintenance,11776383,45379,546
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Insight Direct (Uk) Ltd,Technology,11779154,45384,40197.91
Rotherham Metropolitan Borough Council,Regeneration & Environment,Linde Mh Uk Ltd,Plant Hire,11780153,45376,1281.57
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Fire Safety Services (Fss) Ltd,Fire Prevention,11781725,45385,451.6
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Insight Direct (Uk) Ltd,Technology,11782440,45384,7163.5
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Aqa Education,Training Services,11785291,45364,-84.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,Orbis Protect Ltd,Security,11789194,45365,396
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11797830,45365,79948.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11798034,45364,60
Rotherham Metropolitan Borough Council,Regeneration & Environment,Orbis Protect Ltd,Security,11798103,45365,181.81
Rotherham Metropolitan Borough Council,Regeneration & Environment,The Food Team Ltd,Consultancy,11798376,45371,1750
Rotherham Metropolitan Borough Council,Regeneration & Environment,Engie Power Ltd,Energy,11799392,45364,-191.89
Rotherham Metropolitan Borough Council,Regeneration & Environment,Engie Power Ltd,Energy,11799393,45364,191.89
Rotherham Metropolitan Borough Council,Regeneration & Environment,Engie Power Ltd,Energy,11799394,45364,317.24
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11803137,45376,1742.15
