BODY,EXPENSE AREA,NAME,EXPENSE TYPE,Reference,Date,Amount
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,ROAD MARKINGS AND TRAFFIC MANAGEMENT,11402314,45078,4631.77
Rotherham Metropolitan Borough Council,Finance & Customer Services,MISS RACHAEL E HUGHES,LEGAL SERVICES,11426671,45051,600
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,CAREMARK (ROTHERHAM),SUPPORTING PEOPLE - INDEPENDENT SECTOR HOMECARE,11428041,45064,616
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,CAREMARK (ROTHERHAM),SUPPORTING PEOPLE - INDEPENDENT SECTOR HOMECARE,11434578,45064,440
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,ROAD MARKINGS AND TRAFFIC MANAGEMENT,11463520,45057,1854.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,FUELTEK LTD,REPAIR AND MAINTENANCE,11466287,45063,2095
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,PEARSON EDUCATION LTD,EDUCATIONAL EQUIPMENT & RESOURCES,11468257,45055,-24
Rotherham Metropolitan Borough Council,Regeneration & Environment,XYLEM WATER SOLUTIONS UK LTD,REPAIR AND MAINTENANCE,11470295,45065,438.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,CLASSIC LIFTS LTD,REPAIR AND MAINTENANCE,11471481,45063,183
Rotherham Metropolitan Borough Council,Regeneration & Environment,CLASSIC LIFTS LTD,REPAIR AND MAINTENANCE,11475080,45063,62.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,CLASSIC LIFTS LTD,REPAIR AND MAINTENANCE,11475151,45063,116.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,CULLIGAN (UK) LTD,FOOD AND DRINK,11478324,45056,282.92
Rotherham Metropolitan Borough Council,Regeneration & Environment,CRELLING HARNESSES LTD,HEALTH AND HYGIENE EQUIPMENT,11478768,45051,5323.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,CLASSIC LIFTS LTD,REPAIR AND MAINTENANCE,11490116,45063,220.5
Rotherham Metropolitan Borough Council,Assistant Chief Executive,KCM WASTE MANAGEMENT LTD,WASTE DISPOSAL INC SKIP HIRE,11491088,45064,1254
Rotherham Metropolitan Borough Council,Adult Care & Housing,PARKGATE MOBILITY CENTRE,HEALTH AND HYGIENE EQUIPMENT,11492703,45078,102
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,ROAD MARKINGS AND TRAFFIC MANAGEMENT,11494850,45057,692.9
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,ROAD MARKINGS AND TRAFFIC MANAGEMENT,11494850,45057,4797
Rotherham Metropolitan Borough Council,Regeneration & Environment,ROADWAY UK (TM) LTD,ROAD MARKINGS AND TRAFFIC MANAGEMENT,11494859,45082,1439.1
Rotherham Metropolitan Borough Council,Regeneration & Environment,CULLIGAN (UK) LTD,FOOD AND DRINK,11495422,45064,650
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,CAREMARK (ROTHERHAM),SUPPORTING PEOPLE - INDEPENDENT SECTOR HOMECARE,11495445,45064,572
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,HARRISON COLLEGE LTD,SUPPORTING PEOPLE - LEARNING DISABILITIES,11496297,45061,8456
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,HARRISON COLLEGE LTD,SUPPORTING PEOPLE - LEARNING DISABILITIES,11496298,45061,8456
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,HARRISON COLLEGE LTD,SUPPORTING PEOPLE - LEARNING DISABILITIES,11496299,45061,8456
