BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10451595,45167,49
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10573103,45167,280
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10623817,45167,161
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10695123,45167,77
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10780280,45167,112
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10835144,45167,175
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10889652,45167,266
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10889653,45167,287
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10889663,45167,280
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,10889664,45167,175
Rotherham Metropolitan Borough Council,Adult Care & Housing,SCOTTISH POWER PLC,Energy,11069901,45162,39.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,AIR ENVIRONMENTAL LTD - IN LIQUIDATION,Domestic And Commercial Appliances,11248723,45174,320
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,11268666,45167,147
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,11270180,45167,70
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,11270181,45167,126
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,11270191,45167,70
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,ROTHERHAM ADVOCACY PARTNERSHIPS,Supporting Minorities & Communities,11271252,45167,91
Rotherham Metropolitan Borough Council,Regeneration & Environment,NHS PROPERTY SERVICES LTD,Rent Lease & Property Management,11286901,45159,-51216.86
Rotherham Metropolitan Borough Council,Regeneration & Environment,NHS PROPERTY SERVICES LTD,Rent Lease & Property Management,11290875,45159,-51974.13
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11326393,45148,120
Rotherham Metropolitan Borough Council,Regeneration & Environment,KCM WASTE MANAGEMENT LTD,Waste Disposal Inc Skip Hire,11354787,45148,120
Rotherham Metropolitan Borough Council,Regeneration & Environment,AIR ENVIRONMENTAL LTD - IN LIQUIDATION,Domestic And Commercial Appliances,11375218,45174,158.5
