BODY,EXPENSE AREA,NAME,EXPENSE TYPE,REFERENCE,DATE,AMOUNT
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Bevan Brittan,Legal Services,11623010,45194,325
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11623048,45181,1597.5
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Softcat Ltd,Technology,11623338,45181,81179.8
Rotherham Metropolitan Borough Council,Finance & Customer Services,Softcat Ltd,Technology,11623341,45181,30377.68
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Softcat Ltd,Technology,11623341,45181,958178.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11624616,45201,-93.94
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Yonder Data Solutions,Advertising Services,11624631,45181,10220
Rotherham Metropolitan Borough Council,Regeneration & Environment,Aecom Infrastructure & Environment Uk,Consultancy,11628197,45175,3919.62
Rotherham Metropolitan Borough Council,Regeneration & Environment,Flowbird Smart City Uk Ltd,Technology,11629349,45184,2962.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11629768,45201,184.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11629769,45201,62
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11629771,45201,67.11
Rotherham Metropolitan Borough Council,Finance & Customer Services,Ricoh Uk Ltd,Photocopiers And Mfds,11629774,45197,10406.15
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lodge Tyre Co Ltd,Vehicle Recovery Maintenance Repair,11631074,45202,-246.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,Lodge Tyre Co Ltd,Transport Operations And Logistics,11631077,45202,-35
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11631201,45201,50.31
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11631243,45201,-74
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11635504,45181,869.2
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Providence Maintenance & Electrical,Repair And Maintenance,11635551,45201,400
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Emergency Lighting And Accessories,11635859,45189,61.25
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Fire Alarm Maintenance Or Monitoring,11635859,45189,57.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Bibliotheca Ltd,Technology,11637996,45203,10925
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Traffic & Transport Data,Road Markings And Traffic Management,11639800,45184,125
Rotherham Metropolitan Borough Council,Regeneration & Environment,Matrix Traffic & Transport Data,Road Markings And Traffic Management,11639800,45184,250
Rotherham Metropolitan Borough Council,Regeneration & Environment,Cycle Leeds,Non Motorized Cycles,11639817,45189,7605
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11640626,45188,132.6
Rotherham Metropolitan Borough Council,Finance & Customer Services,Ricoh Uk Ltd,Photocopiers And Mfds,11640794,45190,2792.99
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11641002,45181,1597.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Repair And Maintenance,11641040,45191,100
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Yorkshire Purchasing Organisation,Food And Drink,11641550,45177,69.03
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Providence Maintenance & Electrical,Repair And Maintenance,11641586,45201,416
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11641633,45188,11437.71
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11641636,45182,8161.83
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11641642,45180,372.06
Rotherham Metropolitan Borough Council,Regeneration & Environment,Providence Maintenance & Electrical,Repair And Maintenance,11641644,45180,396.63
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Cae Technology Services,Technology,11642759,45188,10725
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11642782,45181,1738.4
Rotherham Metropolitan Borough Council,Finance & Customer Services,Lyreco Uk Ltd,Stationery Furniture & It Consumables,11642902,45190,326
Rotherham Metropolitan Borough Council,Regeneration & Environment,Chem Jet Ltd,Cleaning And Janitorial Services,11644772,45177,325
Rotherham Metropolitan Borough Council,Regeneration & Environment,E.On Next Energy Ltd,Energy,11645768,45201,67.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,Fire Safety Services (Fss) Ltd,Fire Extinguishers,11645823,45188,1195.75
Rotherham Metropolitan Borough Council,Regeneration & Environment,Classic Lifts Ltd,Repair And Maintenance,11645841,45175,12.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11647037,45181,1597.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Yorkshire Water,Water Services,11647106,45195,5619.35
Rotherham Metropolitan Borough Council,Finance & Customer Services,Sse,Energy,11647325,45184,565.66
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,British Gas,Energy,11647343,45195,199.94
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,British Gas,Energy,11647343,45195,208.85
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Fire Prevention,11647382,45188,356.11
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11649145,45181,572
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11649151,45180,433.39
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11649170,45182,2463.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,R Burkinshaw & Sons Ltd,Plant Hire,11649181,45180,62.4
Rotherham Metropolitan Borough Council,Regeneration & Environment,Health Management Ltd,Training Services,11649187,45198,-1470.6
Rotherham Metropolitan Borough Council,Finance & Customer Services,Cludo Uk Ltd,Software Maintenance And Support,11650991,45202,7354
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sure Maintenance Ltd,Repair And Maintenance,11651030,45176,849.04
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ward Plane Ltd,Plant Hire,11651411,45180,545
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ward Plane Ltd,Plant Hire,11651412,45180,545
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sure Maintenance Ltd,Repair And Maintenance,11651433,45176,521.09
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Repair And Maintenance,11651563,45182,100
Rotherham Metropolitan Borough Council,Regeneration & Environment,Leeds Commercial Limited,Fleet Hire And Purchase Financing,11652128,45180,-1612
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Grant And Anne Kangley,Hotel Accommodation & Conferencing,11652135,45203,3000
Rotherham Metropolitan Borough Council,Regeneration & Environment,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11652157,45176,22.2
Rotherham Metropolitan Borough Council,Regeneration & Environment,Wds Electrical,New Build & Major Refurb Trades,11652173,45203,2035
Rotherham Metropolitan Borough Council,Finance & Customer Services,Valtech Ltd,Consultancy,11652299,45176,1004.64
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sys (Scaffolding Contractors) Ltd,Consultancy,11652379,45190,3992.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11652384,45182,1211.96
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11652386,45182,4462.23
Rotherham Metropolitan Borough Council,Regeneration & Environment,Ahr Architects Ltd,Surveyors Architects & Auctions,11652387,45182,5865.49
Rotherham Metropolitan Borough Council,Regeneration & Environment,Nisbets,Catering Equipment,11652449,45190,1079.98
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,British Gas,Energy,11652544,45194,204.41
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,British Gas,Energy,11652546,45194,162.38
Rotherham Metropolitan Borough Council,Regeneration & Environment,Restore Datashred Ltd,Waste Disposal Inc Skip Hire,11653412,45177,5084.52
Rotherham Metropolitan Borough Council,Assistant Chief Executive,Allpay Ltd,Technology,11653514,45183,54.76
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Allpay Ltd,Technology,11653514,45183,2186.04
Rotherham Metropolitan Borough Council,Finance & Customer Services,Allpay Ltd,Technology,11653514,45183,2727.3
Rotherham Metropolitan Borough Council,Regeneration & Environment,Yorkshire Purchasing Organisation,Food And Drink,11653533,45177,21.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sharrock Ltd,Landscaping,11653568,45181,450.32
Rotherham Metropolitan Borough Council,Regeneration & Environment,Direct Traffic Management Ltd,Road Markings And Traffic Management,11653619,45201,982.28
Rotherham Metropolitan Borough Council,Regeneration & Environment,Independent Contractor Security Ltd(Ics),Security,11653636,45181,1597.5
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sure Maintenance Ltd,Repair And Maintenance,11653664,45176,168.48
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Sutcliffe Play Limited,Landscaping,11654431,45188,810.74
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11654455,45176,367.69
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11654459,45176,924.47
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11654460,45176,112.11
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Pyramid Linoleum & Carpet Company,Furnishing And Furbishing,11654461,45176,465.84
Rotherham Metropolitan Borough Council,Regeneration & Environment,Sure Maintenance Ltd,Repair And Maintenance,11654753,45183,390
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Ncfe,Training Services,11654808,45188,-64
Rotherham Metropolitan Borough Council,Regeneration & Environment,Biowise Ltd,Waste Disposal Inc Skip Hire,11657986,45182,73220.35
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,The Apple Tree Centre (South Yorkshire),Supporting People - Mental Health,11657992,45198,985
Rotherham Metropolitan Borough Council,Regeneration & Environment,Harsco Metals Group Ltd,Re-Instatement Materials,11658014,45180,8094.16
Rotherham Metropolitan Borough Council,Finance & Customer Services,Da Languages Ltd,Translation & Interpretation,11658024,45188,530.16
Rotherham Metropolitan Borough Council,Finance & Customer Services,Da Languages Ltd,Translation & Interpretation,11658025,45190,821.4
Rotherham Metropolitan Borough Council,Finance & Customer Services,Da Languages Ltd,Translation & Interpretation,11658027,45188,1000.8
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11658056,45187,1582.35
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11658057,45187,117.95
Rotherham Metropolitan Borough Council,Regeneration & Environment,Russells (Kirbymoorside) Ltd,Landscaping,11658059,45187,58.55
Rotherham Metropolitan Borough Council,Adult Care Housing & Public Health,Da Languages Ltd,Translation & Interpretation,11658070,45194,225.85
