BODY,EXPENSE AREA,SUPPLIER,EXPENSE TYPE,REFERENCE,DATE,VALUE
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Tiny Hands Big Futures Ltd,Supporting People - Learning Disabilities,11463466,45237,520
Rotherham Metropolitan Borough Council,Regeneration & Environment,Dfp Services Ltd,Fire Alarm Maintenance Or Monitoring,11471533,45237,430.69
Rotherham Metropolitan Borough Council,Regeneration & Environment,Insight Direct (Uk) Ltd,Technology,11495543,45250,2.34
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Mayoral,Levy Charges Or Fees,11534849,45250,865344.53
Rotherham Metropolitan Borough Council,Central Services,South Yorkshire Pensions,Levy Charges Or Fees,11535633,45246,5203
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601574,45252,770
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601578,45251,993
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601596,45251,993
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601597,45251,993
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Doncaster Deaf Trust,Supporting People - Learning Disabilities,11601598,45251,546.67
Rotherham Metropolitan Borough Council,Central Services,Cae Technology Services,Technology,11615746,45250,81357.26
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Kcm Waste Management Ltd,Waste Disposal Inc Skip Hire,11617562,45265,132.6
Rotherham Metropolitan Borough Council,Finance & Customer Services,Idaq Ltd,Telecoms,11622069,45240,250
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Nhs South Yorkshire Icb,Respite Care Services,11622978,45245,8653
Rotherham Metropolitan Borough Council,"Adult Care, Housing & Public Health",Da Languages Ltd,Translation & Interpretation,11624514,45253,1536.48
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Iansyst Ltd,Training Services,11624645,45258,65
Rotherham Metropolitan Borough Council,Children & Young Peoples Services,Cygnet (Nw) Ltd,Supporting People - Mental Health,11631140,45243,3439
