Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45244,1996367.17
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45274,1508325.95
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45229,1504089.59
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Construction - Main Contractor,Willmott Dixon Construction Ltd,45274,1427263.6
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45222,1415094.48
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Oldham Retirement Housing Partnership,45265,1409612.32
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45202,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45232,1050990
People,Community Health and Adult Social Care,Commissioning,Commissioning,Management Fees,MioCare Group CIC,45264,1050990
Corporate Services,Corporate Services,Chief Executive,Partnership Support (Borough and GM),Non AGMA Services OMBC Contribution,Rochdale Borough Council Debt Recovery,45251,1044620
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45274,991717.22
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45282,812970.35
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45211,809085.53
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45279,805286.41
Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,Housing Revenue Account,PFI Contractual Payments,Inspiral Oldham Ltd,45238,784311.16
People,Children´s Services,Schools,Schools,Services - Payments To Contractors,Oldham College,45279,781357.2
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45204,774148.14
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45232,750279.25
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45203,736513.95
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Academy Services (Oldham) Ltd,45265,735294.17
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45218,708681.42
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45260,705604.28
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45261,637142.32
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45258,616840.96
Corporate Services,Corporate Services,"Customer, Digital and Transformation",ICT,Computing - Purchase Of Software,Softcat Limited,45236,558179.13
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45217,545795.95
Place,Economy,Economy,Estates,Electricity,EDF Energy Ltd,45216,529376
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45274,519944.93
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45217,506485.55
People,Children´s Services,"Education, Skills & Early Years",Central Education Services,Services - Professional Fees,Oldham BSF Ltd,45244,505499.61
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45217,490346.36
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45280,485909.42
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45217,472749.07
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45217,470576.7
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45252,468770.42
Place,"Economic Development, Enterprise and Skills",Capital - Town Centre,Capital - Town Centre Developments,Fees - Agency,Willmott Dixon Construction Ltd,45233,465056.22
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45236,429544.22
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Northern Care Alliance NHS Foundation Trust,45217,425586.09
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Boroughwide Developments,Fees - Other,Tilbury Douglas Construction Limited,45246,405697.77
Place,Environmental Services,Environmental Services,Street Lighting,PFI Contractual Payments,Community Lighting Partnership (Oldham) Ltd,45222,400877.98
People,Children´s Services,Schools,Schools,Payments to Academies - Schools only,New Bridge School,45231,400774.7
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45209,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45247,366666.67
People,Public Health,Public Health (Client and Delivery),Public Health (Client and Delivery),Services - Payments To Contractors,Turning Point Services Ltd,45266,366666.67
Place,"Economic Development, Enterprise and Skills",Capital - Asset Management,Capital - Asset Mgt - Asset Management,Construction - Main Contractor,Seddon Construction Limited,45274,365612.9
