Portfolio,Directorate,Division,Service Area,Type of Expenditure,Payee,Payment Date,Amount (£)
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,CWD Community Independent Care,Pennine Social Care Ltd,45168,1851.5
People,Children´s Services,Capital - Adult Services,Capital - Adult Services,Construction - Main Contractor,Easibathe Ltd,45145,1850.28
Corporate Services,Corporate Services,Communications and Research,Communications and Research,Services - Professional Fees,H Bauer Publishing,45128,1850
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45110,1849.86
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45112,1849.86
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45124,1849.86
Place,Economy,Economy,Estates,Services - Professional Fees,Royal Mail Group PLC,45195,1848.7
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45110,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45124,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45124,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45139,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45152,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45189,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45194,1846.84
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45140,1845.63
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45140,1845.13
People,Children´s Services,Children´s Social Care,Fieldwork & Family Support,Agency Staff,Paradigm Professional Consultancy Limited,45152,1844.73
People,Children´s Services,Children´s Social Care,Childrens Safeguarding,Agency Staff,Baltimore Consulting Ltd,45139,1842.75
People,Community Health and Adult Social Care,Community Business Services,Community Business Services,Services - Payments To Contractors,Prepaid Financial Services Ltd,45160,1840.16
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45118,1840
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45132,1840
Place,Environmental Services,Environmental Services,Highways,Agency Staff,Waterman Aspen Ltd,45138,1840
