Body Name,Body Id,Month,Source,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Dec-24,Purchase Invoices,23/10/2024,Adult Social Care & Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector,"9,121.63"
THURROCK BC,E1502X,Dec-24,Purchase Invoices,20/12/2024,Adult Social Care & Health,Essex County Council,Supplies and Services,Professional Fees,"2,100.00"
THURROCK BC,E1502X,Dec-24,Purchase Invoices,20/12/2024,Adult Social Care & Health,Essex County Council,Transfer Payments,Direct Payments,"1,410.00"
THURROCK BC,E1502X,Dec-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure,56.19
THURROCK BC,E1502X,Dec-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,538.2
THURROCK BC,E1502X,Dec-24,Purchase Invoices,27/08/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,35.16
THURROCK BC,E1502X,Dec-24,Purchase Invoices,29/08/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,29.7
THURROCK BC,E1502X,Dec-24,Purchase Invoices,13/09/2024,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure,34.84
THURROCK BC,E1502X,Dec-24,Purchase Invoices,13/09/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,66.1
THURROCK BC,E1502X,Dec-24,Purchase Invoices,29/09/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,214.36
THURROCK BC,E1502X,Dec-24,Purchase Invoices,05/09/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,50.4
THURROCK BC,E1502X,Dec-24,Purchase Invoices,19/09/2024,Adult Social Care & Health,Redacted,Supplies and Services,Professional Fees,90
THURROCK BC,E1502X,Dec-24,Purchase Invoices,19/09/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,28.71
THURROCK BC,E1502X,Dec-24,Purchase Invoices,24/09/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,31.59
THURROCK BC,E1502X,Dec-24,Purchase Invoices,26/09/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances,86.4
THURROCK BC,E1502X,Dec-24,Purchase Invoices,18/09/2024,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure,6.3
