Body Name,Body Id,Month,Source,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,May-24,Purchase Invoices,03/05/2024,Adult Social Care & Health,Essex County Council,Third Party Payments,Recharges from Other Local Authorities," 213,088.00 "
THURROCK BC,E1502X,May-24,Purchase Invoices,02/05/2024,Adult Social Care & Health,Essex County Council,Third Party Payments,Recharges from Other Local Authorities," 6,395.00 "
THURROCK BC,E1502X,May-24,Purchase Invoices,23/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances," 1,057.05 "
THURROCK BC,E1502X,May-24,Purchase Invoices,28/08/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 133.20 
THURROCK BC,E1502X,May-24,Purchase Invoices,30/04/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 129.24 
THURROCK BC,E1502X,May-24,Purchase Invoices,08/12/2023,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 75.20 
THURROCK BC,E1502X,May-24,Purchase Invoices,13/01/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 24.30 
THURROCK BC,E1502X,May-24,Purchase Invoices,03/04/2024,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure, 16.40 
THURROCK BC,E1502X,May-24,Purchase Invoices,03/04/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 42.80 
THURROCK BC,E1502X,May-24,Purchase Invoices,29/02/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 255.29 
THURROCK BC,E1502X,May-24,Purchase Invoices,12/02/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 112.40 
THURROCK BC,E1502X,May-24,Purchase Invoices,31/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 154.13 
THURROCK BC,E1502X,May-24,Purchase Invoices,04/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 14.63 
THURROCK BC,E1502X,May-24,Purchase Invoices,05/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 8.55 
THURROCK BC,E1502X,May-24,Purchase Invoices,03/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 12.60 
THURROCK BC,E1502X,May-24,Purchase Invoices,12/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 105.11 
THURROCK BC,E1502X,May-24,Purchase Invoices,08/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 34.02 
THURROCK BC,E1502X,May-24,Purchase Invoices,06/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 17.33 
THURROCK BC,E1502X,May-24,Purchase Invoices,02/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 12.38 
THURROCK BC,E1502X,May-24,Purchase Invoices,20/03/2024,Adult Social Care & Health,Redacted,Third Party Payments,Additional Expenditure, 15.00 
THURROCK BC,E1502X,May-24,Purchase Invoices,20/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 86.40 
THURROCK BC,E1502X,May-24,Purchase Invoices,11/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 8.33 
THURROCK BC,E1502X,May-24,Purchase Invoices,29/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 322.71 
THURROCK BC,E1502X,May-24,Purchase Invoices,21/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 28.36 
THURROCK BC,E1502X,May-24,Purchase Invoices,25/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 8.10 
THURROCK BC,E1502X,May-24,Purchase Invoices,26/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 36.45 
THURROCK BC,E1502X,May-24,Purchase Invoices,27/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 140.13 
THURROCK BC,E1502X,May-24,Purchase Invoices,23/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 113.35 
THURROCK BC,E1502X,May-24,Purchase Invoices,26/04/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 130.79 
THURROCK BC,E1502X,May-24,Purchase Invoices,28/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 65.50 
THURROCK BC,E1502X,May-24,Purchase Invoices,30/03/2024,Adult Social Care & Health,Redacted,Transport Related Expenditure,Car Allowances, 101.48 
