Body Name,Body Id,Month,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Mar-23,27/02/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 5,084.52 "
THURROCK BC,E1502X,Mar-23,07/03/2023,Adults; Housing and Health,Essex County Council,Supplies and Services,Book and Resources Fund," 1,163.25 "
THURROCK BC,E1502X,Mar-23,22/08/2022,Adults; Housing and Health,Redacted,Third Party Payments,Residential Homes Independent Sector," 4,788.11 "
THURROCK BC,E1502X,Mar-23,30/09/2022,Adults; Housing and Health,Redacted,Supplies and Services,Professional Fees, 45.00 
THURROCK BC,E1502X,Mar-23,26/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 33.67 
THURROCK BC,E1502X,Mar-23,26/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 4.95 
THURROCK BC,E1502X,Mar-23,31/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 84.15 
THURROCK BC,E1502X,Mar-23,28/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 170.62 
THURROCK BC,E1502X,Mar-23,13/10/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 10.00 
THURROCK BC,E1502X,Mar-23,13/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 28.58 
THURROCK BC,E1502X,Mar-23,17/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 20.00 
THURROCK BC,E1502X,Mar-23,24/11/2022,Adults; Housing and Health,Redacted,Supplies and Services,Project Work, 897.40 
THURROCK BC,E1502X,Mar-23,25/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 7.20 
THURROCK BC,E1502X,Mar-23,29/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 205.11 
THURROCK BC,E1502X,Mar-23,30/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 123.43 
THURROCK BC,E1502X,Mar-23,05/12/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 3.69 
THURROCK BC,E1502X,Mar-23,16/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 46.35 
THURROCK BC,E1502X,Mar-23,22/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 192.60 
THURROCK BC,E1502X,Mar-23,20/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 67.92 
THURROCK BC,E1502X,Mar-23,15/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 49.05 
THURROCK BC,E1502X,Mar-23,10/12/2022,Adults; Housing and Health,Redacted,Supplies and Services,Professional Fees, 90.00 
THURROCK BC,E1502X,Mar-23,10/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 18.90 
THURROCK BC,E1502X,Mar-23,14/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 38.43 
THURROCK BC,E1502X,Mar-23,29/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 41.27 
THURROCK BC,E1502X,Mar-23,30/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 23.40 
