Body Name,Body Id,Month,Date,Department,Beneficiary,Purpose,Merchant Category, Amounts 
THURROCK BC,E1502X,Feb-23,16/12/2022,Adults; Housing and Health,Essex County Council,Third Party Payments,Recharges from Other Local Authorities," 137,652.00 "
THURROCK BC,E1502X,Feb-23,31/01/2023,Adults; Housing and Health,Essex County Council,Third Party Payments,Residential Homes Independent Sector," 5,629.29 "
THURROCK BC,E1502X,Feb-23,09/02/2023,Adults; Housing and Health,Essex County Council,Supplies and Services,Project Work," 226,058.26 "
THURROCK BC,E1502X,Feb-23,26/09/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 45.30 
THURROCK BC,E1502X,Feb-23,25/10/2022,Adults; Housing and Health,Redacted,Supplies and Services,Project Work, 899.00 
THURROCK BC,E1502X,Feb-23,10/10/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 13.50 
THURROCK BC,E1502X,Feb-23,01/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 106.43 
THURROCK BC,E1502X,Feb-23,09/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 168.00 
THURROCK BC,E1502X,Feb-23,25/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 63.90 
THURROCK BC,E1502X,Feb-23,29/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 63.32 
THURROCK BC,E1502X,Feb-23,30/11/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 116.01 
THURROCK BC,E1502X,Feb-23,01/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 83.21 
THURROCK BC,E1502X,Feb-23,11/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 2.97 
THURROCK BC,E1502X,Feb-23,21/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 50.85 
THURROCK BC,E1502X,Feb-23,19/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 72.04 
THURROCK BC,E1502X,Feb-23,22/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 188.36 
THURROCK BC,E1502X,Feb-23,23/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 63.95 
THURROCK BC,E1502X,Feb-23,20/12/2022,Adults; Housing and Health,Redacted,Third Party Payments,Additional Expenditure, 12.20 
THURROCK BC,E1502X,Feb-23,20/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 25.65 
THURROCK BC,E1502X,Feb-23,15/12/2022,Adults; Housing and Health,Redacted,Transport Related Expenditure,Car Allowances, 51.30 
