Payment Date,Description,Gross Amount,Supplier Name
 16-Mar-23,Capital Asset Clearing A/c Building,"£2,004,987.01",ISG Construction Ltd
02-Mar-23,Payments to Other Police Authorities,"£531,621.30",Police and Crime Commissioner For Cheshire
 09-Mar-23,Payments to Other Police Authorities,"£448,586.00",Police and Crime Commissioner For Derbyshire
30-Mar-23,Uniform and Clothing,"£404,160.00", Yaffy Protective Clothing (Part of Mi Hub Ltd) 
 16-Mar-23,Electricity General Tariffs,"£328,893.51",EDF Energy
 23-Mar-23,Electricity General Tariffs,"£281,553.44",EDF Energy
02-Mar-23,Gas General Tariffs,"£260,317.51",TotalEnergies Gas & Power Limited
 16-Mar-23,Electrical Quoted Works,"£227,428.81",Feed It Green Ltd
30-Mar-23,Payments to Other Police Authorities,"£155,760.25", Police and Crime Commissioner For Lancashire 
23-Mar-23,Consultants Fees,"£141,645.23", Mitie Care and Custody Ltd 
23-Mar-23,MRDF - Principal,"£139,150.00", Wirral MBC 
02-Mar-23,Building Programmed Maintenance,"£132,650.38",Greenmount Projects Limited
 09-Mar-23,H/W Purchases,"£127,467.28",Softcat Plc
22-Mar-23,Services and Legal Expenses,"£108,881.72",Airwave ASL
30-Mar-23,Payments to Other Police Authorities,"£98,536.54", Police & Crime Commissioner for North Wales 
23-Mar-23,Services and Legal Expenses,"£98,070.02", Redacted 
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£91,854.00",Dell Corporation Ltd
02-Mar-23,S/W Licences,"£91,022.40",Redacted
 16-Mar-23,S/W Licences,"£90,915.60",NEC Software Solutions UK Limited
02-Mar-23,Support Staff-Temporary Staff Wages,"£84,038.94",Adecco UK Limited
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£73,938.00",Dell Corporation Ltd
30-Mar-23,Rates,"£73,216.00", Liverpool City Council1 
 16-Mar-23,Support Staff-Temporary Staff Wages,"£72,792.64",Adecco UK Limited
30-Mar-23,Payments to Local Authorities,"£72,789.00", Police & Crime Commissioner for North Wales 
02-Mar-23,Rates,"£71,680.00",Liverpool City Council1
30-Mar-23,Miscellaneous Contributions,"£68,605.68", The PCC for Thames Valley 
 09-Mar-23,Support Staff-Temporary Staff Wages,"£68,136.37",Adecco UK Limited
30-Mar-23,Support Staff-Temporary Staff Wages,"£66,349.76", Adecco UK Limited 
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£65,862.40",Dell Corporation Ltd
02-Mar-23,Water & Sewerage Rates,"£64,309.71",Water Plus Limited
23-Mar-23,Support Staff-Temporary Staff Wages,"£63,649.50", Adecco UK Limited 
30-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£63,200.25",Motorola Ltd 
 16-Mar-23,Capital Asset Clearing A/c Intangibles,"£63,000.00",Redacted
 16-Mar-23,Miscellaneous Contributions,"£62,355.00",Warwickshire PCC
 23-Mar-23,Capital Asset Clearing A/c Intangibles,"£61,740.00",Redacted
23-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£59,226.03", Softcat Plc 
02-Mar-23,Data Network,"£58,063.06",Softcat Plc
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£57,256.00",Dell Corporation Ltd
30-Mar-23,Water & Sewerage Rates,"£56,120.69",Water Plus Limited 
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40", Dell Corporation Ltd 
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40", Dell Corporation Ltd 
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40", Dell Corporation Ltd 
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
 16-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£55,104.40",Dell Corporation Ltd
02-Mar-23,Rates,"£54,857.00",Liverpool City Council1
 16-Mar-23,Miscellaneous Expenses,"£54,204.59",Agiito Ltd
30-Mar-23,Rates,"£53,248.00", Liverpool City Council1 
02-Mar-23,Payments to Other Police Authorities,"£52,681.74",GMCA (PCC for Greater Manchester)
02-Mar-23,Mobile Data Costs,"£51,021.96",Forensic Pathways Limited
 09-Mar-23,Other Public Bodies,"£50,000.00",Cyber Resilience Centre Ltd t/a North West Cyber Resilience Centre
30-Mar-23,Capital Asset Clearing A/C Plant & Equipment,"£48,879.60", CBC Computer Systems Ltd 
30-Mar-23,Capital Asset Clearing A/c Vehicles,"£48,132.27", Volvo Car UK Limited 
 09-Mar-23,Payments to Other Police Authorities,"£48,015.47",Police and Crime Commissioner For Cheshire
02-Mar-23,Outsourced Contractors,"£47,941.50",Softcat Plc
30-Mar-23,Forensic Fees - General,"£47,698.32", Redacted 
 09-Mar-23,Comp. Operations,"£47,250.00",Redacted
 09-Mar-23,Miscellaneous Expenses,"£46,686.35",Redacted
23-Mar-23,S/W Licences,"£46,590.00", Ideagen Gael Ltd 
30-Mar-23,Capital Asset Clearing A/c Vehicles,"£46,116.86", Volvo Car UK Limited 
30-Mar-23,Capital Asset Clearing A/c Vehicles,"£46,116.86", Volvo Car UK Limited 
30-Mar-23,Capital Asset Clearing A/c Vehicles,"£46,116.86", Volvo Car UK Limited 
 16-Mar-23,S/W Licences,"£45,850.80",Redacted
30-Mar-23,Payments to Other Police Authorities,"£45,108.75", Police and Crime Commissioner For Lancashire 
23-Mar-23,Payments to Other Police Authorities,"£44,507.94", Police and Crime Commissioner For Cheshire 
 09-Mar-23,Payments to Other Police Authorities,"£43,130.64",GMCA (PCC for Greater Manchester)
30-Mar-23,Rates,"£42,496.00", Liverpool City Council1 
30-Mar-23,Capital Asset Clearing A/c Intangibles,"£41,400.00", Civica UK Limited 
02-Mar-23,Payments to Other Police Authorities,"£41,047.61",Police and Crime Commissioner For Cheshire
02-Mar-23,Forensic Fees - General,"£40,340.16", Redacted 
 16-Mar-23,Payment for Services,"£40,000.00",Royal Court Liverpool Limited
30-Mar-23,Services and Legal Expenses,"£39,000.00", Redacted 
30-Mar-23,Rates,"£38,912.00", Liverpool City Council1 
 16-Mar-23,Brokerage Fees,"£38,500.00",Redacted
30-Mar-23,General Subscriptions,"£38,500.00", Redacted 
23-Mar-23,Equipment Purchases,"£38,393.41", Tuskerdirect limited 
 09-Mar-23,Removal of Police Vehicles,"£38,127.80",Automobile Association Developments Limited
