Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
 09-Feb-23,Safer Streets Fund,"£94,665.25",Liverpool City Council,Grant
 16-Feb-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
 16-Feb-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
 02-Feb-23,DA Perpetrator Fund,"£51,731.00",Merseyside Domestic Violence Services (MDVS),Grant
 02-Feb-23,DA Perpetrator Fund,"£47,936.00",Merseyside Domestic Violence Services (MDVS),Grant
 02-Feb-23,DA Perpetrator Fund,"£27,973.46",Knowsley MBC,Grant
 16-Feb-23,Safer Streets Fund,"£18,000.00",Wirral MBC,Grant
 16-Feb-23,Community Safety Fund,"£17,064.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
 16-Feb-23,Safer Streets Fund,"£11,727.00",Wirral MBC,Grant
 16-Feb-23,Support Staff Recruitment Advertisements,"£3,621.03",Michael Page International Recruitment Limited,ESPO Framework - Direct Award
 16-Feb-23,H/W Purchases,"£1,167.24",Dell Corporation Ltd,Local Contract - Quotation/Tender
 23-Feb-23,Payment for Sevices,"£1,022.56",KC Consultants (Cumbria) Ltd,Considered Best Value
