Payment Date,Description,Gross Amount,Supplier Name
 02-Feb-23,Outsourced Contractors,"£2,030,019.10",GMCA (PCC for Greater Manchester)
 23-Feb-23,Capital Asset Clearing A/c Building,"£1,183,706.60",ISG Construction Ltd
 02-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£482,396.54",Softcat Ltd
 23-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£251,304.03",Softcat Ltd
 23-Feb-23,Building Programmed Maintenance,"£195,793.20",Mace Limited
 02-Feb-23,Service Charges,"£180,000.00",Merseyside Fire & Civil Defence Auth.
09-Feb-23,Consultants Fees,"£141,645.23",Mitie Care and Custody Ltd
 16-Feb-23,Services and Legal Expenses,"£120,000.00",JMU Services Ltd
 16-Feb-23,General Subscriptions,"£119,000.00",Redacted
 23-Feb-23,Telecommunications,"£113,744.36",Home Office Shared Service Centre
 23-Feb-23,Telecommunications,"£113,744.36",Home Office Shared Service Centre
 22-Feb-23,AirWave Communications,"£108,966.24",Airwave ASL
 23-Feb-23,Comp. Operations,"£92,691.70",Softcat Ltd
 16-Feb-23,Miscellaneous Expenses,"£82,952.81",Agiito Ltd
09-Feb-23,Payments to Other Police Authorities,"£77,766.55",Police and Crime Commissioner For Cumbria
 02-Feb-23,Forensic Fees - General,"£74,934.00",Redacted
 16-Feb-23,Water & Sewerage Rates,"£74,456.20",Redacted
 02-Feb-23,Rates,"£71,680.00",Liverpool City Council1
 23-Feb-23,Payments to Other Police Authorities,"£70,321.77",Police and Crime Commissioner For Cheshire
09-Feb-23,Support Staff-Temporary Staff Wages,"£69,722.57",Adecco UK Limited
 16-Feb-23,Miscellaneous Expenses,"£64,240.84",Agiito Ltd
09-Feb-23,H/W Purchases,"£62,578.32",Motorola Ltd
 16-Feb-23,Payment for Services,"£62,500.00",University of Huddersfield
 23-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£60,309.77",Softcat Ltd
09-Feb-23,Support Staff-Temporary Staff Wages,"£59,849.48",Adecco UK Limited
 02-Feb-23,Payments to Other Police Authorities,"£58,225.41",Police and Crime Commissioner For Cheshire
09-Feb-23,Support Staff-Temporary Staff Wages,"£57,682.21",Adecco UK Limited
09-Feb-23,Support Staff-Temporary Staff Wages,"£57,209.03",Adecco UK Limited
 02-Feb-23,Rates,"£54,857.00",Liverpool City Council1
09-Feb-23,S/W Licences,"£54,000.00",Redacted
 02-Feb-23,Services and Legal Expenses,"£52,109.00",Merseyside Youth Association Ltd
 16-Feb-23,Services and Legal Expenses,"£51,675.00",Redacted
 23-Feb-23,Consultants Fees,"£48,960.00",HKS IT Consultants Ltd
09-Feb-23,Support Staff-Temporary Staff Wages,"£47,038.06",Adecco UK Limited
 23-Feb-23,Building Programmed Maintenance,"£46,607.08",Greenmount Projects Limited
 16-Feb-23,Capital Asset Clearing A/c Vehicles,"£46,558.75",Redacted
09-Feb-23,Removal of Police Vehicles,"£44,862.50",Automobile Association Developments Limited
 16-Feb-23,Payments to Other Police Authorities,"£43,864.97",Redacted
 02-Feb-23,Payment for Services,"£41,890.00",Activate Body & Mind
 02-Feb-23,Payments to Other Police Authorities,"£41,656.58",GMCA (PCC for Greater Manchester)
 23-Feb-23,Comp. Operations,"£41,409.08",Softcat Ltd
23-Feb-23,Forensic Fees - General,"£37,920.00", Redacted 
09-Feb-23,Payments to Other Police Authorities,"£36,457.58",Mayor`s Office for Policing and Crime (MOPC)
 16-Feb-23,Services and Legal Expenses,"£35,120.45",Redacted
 23-Feb-23,Building Programmed Maintenance,"£34,659.66",Mace Limited
 16-Feb-23,Comp. Operations,"£33,996.98",Softcat Ltd
 02-Feb-23,Services and Legal Expenses,"£33,551.47",Merseyside Youth Association Ltd
 23-Feb-23,Payments to Other Police Authorities,"£32,734.00",Police and Crime Commissioner For Cheshire
09-Feb-23,Forensic Fees - General,"£31,920.00",Redacted
 16-Feb-23,Payments to Local Authorities,"£31,000.00",Knowsley MBC
 23-Feb-23,Outsourced Contractors,"£30,971.40",Softcat Ltd
 16-Feb-23,Services and Legal Expenses,"£30,887.40",Redacted
 16-Feb-23,Operational Equipment,"£29,994.30",Redacted
 23-Feb-23,Forensic Fees - General,"£28,325.52",Redacted
09-Feb-23,Forensic Fees - General,"£27,993.60",Redacted
 16-Feb-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
23-Feb-23,Building Reactive Maintenance,"£26,857.39", Graham Asset Management Ltd 
 02-Feb-23,Interpreters Fees,"£25,336.44",Language Line TI Limited
09-Feb-23,Forensic Fees - General,"£25,055.28",Redacted
 02-Feb-23,Services and Legal Expenses,"£25,000.00",Merseyside Youth Association Ltd
09-Feb-23,Uniform and Clothing,"£23,949.60",Michael Lupton Associates Limited
09-Feb-23,S/W Licences,"£23,835.73",Oracle Corporation Uk Ltd
 16-Feb-23,Payments to Other Police Authorities,"£23,711.72",Police & Crime Commissioner For Northumbria
 02-Feb-23,Payment for Services,"£23,689.23",Redacted
09-Feb-23,Training Course Fees,"£23,640.00",Redacted
 23-Feb-23,Training Course Fees,"£23,286.60",College of Policing Limited
 23-Feb-23,Forensic Fees - General,"£23,279.94",Redacted
 02-Feb-23,Miscellaneous Contributions,"£23,067.36",The Chief Constable of Staffordshire Police
09-Feb-23,Mobile Data Costs,"£22,541.55",EE Ltd (Airtime)
 23-Feb-23,Mobile Data Costs,"£22,387.25",EE Ltd (Airtime)
 02-Feb-23,Rates,"£22,309.00",Liverpool City Council1
 02-Feb-23,Payment for Services,"£22,157.31",Redacted
09-Feb-23,Services and Legal Expenses,"£21,600.00",Ariel Trust
 16-Feb-23,Support Staff-Temporary Staff Wages,"£21,507.12",Police and Crime Commissioner For Cheshire
16-Feb-23,Uniform and Clothing,"£21,336.84", Redacted 
 02-Feb-23,Interpreters Fees,"£21,202.00",Language Line TI Limited
 23-Feb-23,Services and Legal Expenses,"£20,870.71",Redacted
 23-Feb-23,S/W Licences,"£20,528.64",Sepura Limited
 16-Feb-23,Forensic Fees - General,"£20,440.80",Redacted
09-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£20,299.20",Softcat Ltd
 02-Feb-23,Payment for Services,"£20,284.66",Redacted
 16-Feb-23,Payment for Services,"£20,016.61",Causeway Charitable Services
 16-Feb-23,Payment for Services,"£19,913.49",Redacted
23-Feb-23,Comp. Operations,"£18,969.32",Redacted
 02-Feb-23,Rentals & Maintenance,"£18,950.95",Cohort Software Ltd
 08-Feb-23,Direct Transport Costs,"£18,682.35",Allstar
 15-Feb-23,Direct Transport Costs,"£18,576.53",Allstar
 21-Feb-23,Training Course Fees,"£18,000.00",Redacted
 23-Feb-23,Technical Equipment,"£17,904.00",Redacted
 02-Feb-23,Comp. Operations,"£17,869.52",Redacted
09-Feb-23,Outsourced Contractors,"£17,666.81",Softcat Ltd
09-Feb-23,Outsourced Contractors,"£17,666.81",Softcat Ltd
 23-Feb-23,Outsourced Contractors,"£17,665.03",Softcat Ltd
 22-Feb-23,Direct Transport Costs,"£17,224.91",Allstar
09-Feb-23, Training Course Fees ,"£16,279.20",Redacted
 01-Feb-23,Services and Legal Expenses,"£16,271.27",Allstar
09-Feb-23,Consultants Fees,"£15,825.17",Mace Limited
 16-Feb-23,Firearms,"£15,504.00",Redacted
09-Feb-23,ISDN2 Rentals,"£15,195.97",Motorola Ltd
09-Feb-23,Forensic Fees - General,"£15,188.89",Redacted
 16-Feb-23,Diesel,"£14,717.08",Standard Fuel Oils Limited
09-Feb-23,Consultants Fees,"£14,490.00",HKS IT Consultants Ltd
09-Feb-23,Technical Equipment,"£14,418.00",Redacted
23-Feb-23,Comp. Operations,"£14,089.90",Redacted
 16-Feb-23,Forensic Fees - General,"£13,943.52",Redacted
 02-Feb-23,Forensic Fees - General,"£13,783.92",Redacted
 02-Feb-23,Forensic Fees - General,"£13,418.76",Redacted
 02-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£13,400.88",Dell Corporation Ltd
09-Feb-23,Technical Equipment,"£13,350.00",Redacted
23-Feb-23,Diesel,"£12,824.46", Standard Fuel Oils Limited 
 16-Feb-23,Services and Legal Expenses,"£12,518.84",Healthy Stadia CIC
09-Feb-23,Payment for Services,"£12,477.83",GMCA-GMP
09-Feb-23,Consultants Fees,"£12,420.00",Solus Management Limited
23-Feb-23,Diesel,"£12,416.64", Standard Fuel Oils Limited 
 23-Feb-23,Equipment Purchases,"£12,388.83",Tuskerdirect limited
09-Feb-23,Support Staff-Temporary Staff Wages,"£12,124.25",Adecco UK Limited
 02-Feb-23,Diesel,"£12,109.44",Standard Fuel Oils Limited
09-Feb-23,Forensic Fees - General,"£11,969.40",Redacted
 02-Feb-23,Miscellaneous Contributions,"£11,762.00",PCC for South Wales
 16-Feb-23,Forensic Fees - General,"£11,655.60",Redacted
 23-Feb-23,Technical Equipment,"£11,550.00",Redacted
 02-Feb-23,Diesel,"£11,540.44",Standard Fuel Oils Limited
09-Feb-23,Support Staff-Temporary Staff Wages,"£11,400.00",Redacted
 23-Feb-23,Training Course Fees,"£11,400.00",University of Cambridge
 23-Feb-23,Training Course Fees,"£11,400.00",University of Cambridge
 23-Feb-23,Waste Disposal,"£11,323.99",Suez Recycling and Recovery UK Ltd
23-Feb-23,Diesel,"£10,835.03", Standard Fuel Oils Limited 
 16-Feb-23,Services and Legal Expenses,"£10,622.00",HM Courts & Tribunals Service
09-Feb-23,Window Cleaning,"£10,598.83",Orbis Property Protection Ltd
16-Feb-23,Comp. Operations,"£10,560.00",Redacted
 23-Feb-23,Telecommunications,"£10,512.00",BT Global Services Solutions
 23-Feb-23,Training Course Fees,"£10,380.00",Redacted
 02-Feb-23,Vehicle Repairs,"£10,271.64",Rybrook Cars Ltd ( Chester)
09-Feb-23,Comp. Consumeables,"£10,248.00",Redacted
 23-Feb-23,Capital Asset Clearing A/c Building,"£10,235.77",Mace Limited
 23-Feb-23,Comp. Consumeables,"£10,230.00",Survey Supplies Ltd T/A korec Group
 16-Feb-23,Services and Legal Expenses,"£10,140.00",Redacted
 02-Feb-23,Payments to Local Authorities,"£10,000.00",Sefton M B C (General Payments) 93226632
09-Feb-23,Services and Legal Expenses,"£10,000.00",Tim Parry Jonathan Ball Peace Foundation
 23-Feb-23,Building Reactive Maintenance,"£9,920.44",Graham Asset Management Ltd
09-Feb-23,Diesel,"£9,843.46",Standard Fuel Oils Limited
15-Feb-23,Miscellaneous Expenses,"£9,728.62", Redacted 
09-Feb-23,H/W Purchases,"£9,380.62",Dell Corporation Ltd
23-Feb-23,Diesel,"£9,310.93", Standard Fuel Oils Limited 
 02-Feb-23,General Subscriptions,"£9,180.00",Redacted
 02-Feb-23,Diesel,"£9,082.08",Standard Fuel Oils Limited
 16-Feb-23,Catering Service,"£9,055.20",Liverpool Coffee Roasters Ltd
09-Feb-23,Training Course Fees,"£9,000.00",Redacted
23-Feb-23, Forensic Fees - General ,"£8,958.60",Redacted
 23-Feb-23,Training Course Fees,"£8,808.00",Redacted
 02-Feb-23,Uniform and Clothing,"£8,746.12",Cooneen Defence Limited
09-Feb-23,Forensic Fees - General,"£8,650.50",Redacted
09-Feb-23,Rentals & Maintenance,"£8,595.00",North PB Limited
 16-Feb-23,Services and Legal Expenses,"£8,588.00",HM Courts & Tribunals Service
 23-Feb-23,Vehicle Crash Repairs,"£8,452.52",R2U Limited (Accident Repair Centre)
 23-Feb-23,Uniform and Clothing,"£8,325.60",Redacted
 02-Feb-23,Forensic Fees - General,"£8,277.12",Redacted
 16-Feb-23,Forensic Fees - General,"£8,177.69",Redacted
 23-Feb-23,Forensic Fees - General,"£8,152.80",Redacted
 02-Feb-23,Interpreters Fees,"£8,094.61",Language Line TI Limited
 02-Feb-23,Payment for Services,"£8,000.00",Liverpool City Council
 02-Feb-23,Payment for Services,"£8,000.00",Liverpool City Council
 16-Feb-23,Payment for Services,"£8,000.00",Liverpool City Council
 23-Feb-23,Consultants Fees,"£7,937.03",Experian Ltd
09-Feb-23,Forensic Fees - General,"£7,761.60",Redacted
23-Feb-23,Diesel,"£7,760.40", Standard Fuel Oils Limited 
 23-Feb-23,Training Course Fees,"£7,700.60",Redacted
09-Feb-23,Diesel,"£7,642.48",Standard Fuel Oils Limited
 02-Feb-23,Support Staff Recruitment Advertisements,"£7,597.20",Bloom Procurement Services Limited
 02-Feb-23,Diesel,"£7,568.40",Standard Fuel Oils Limited
 23-Feb-23,Mobile Data Costs,"£7,441.70",EE Ltd (Airtime)
 16-Feb-23,Training Course Fees,"£7,182.00",Armada Training Solutions Ltd
 23-Feb-23,Training Course Fees,"£7,152.00",Smart Training Solutions (UK) Ltd
09-Feb-23,H/W Purchases,"£7,003.43",Dell Corporation Ltd
09-Feb-23,Payment for Services,"£7,000.00",Everton in the Community
 16-Feb-23,Payment for Services,"£7,000.00",Parenting 2000
 16-Feb-23,Training Course Fees,"£6,912.00",Thatcham Research
 23-Feb-23,Electrical Reactive Maintenance,"£6,883.80",BAM FM Ltd
 16-Feb-23,Training Course Fees,"£6,840.00",Profile Aware Limited
09-Feb-23,Services and Legal Expenses,"£6,799.45",Redacted
 23-Feb-23,H/W Purchases,"£6,700.44",Dell Corporation Ltd
 02-Feb-23,Forensic Fees - General,"£6,568.80",Redacted
23-Feb-23,S/W Licences,"£6,486.00", Redacted 
 23-Feb-23,Vehicle Parts,"£6,483.00",LVW Group Ltd T/A Moparts
09-Feb-23,Comp. Operations,"£6,399.60",Redacted
 02-Feb-23,Services and Legal Expenses,"£6,366.60",Redacted
09-Feb-23,Purchase of Horses,"£6,310.80",Premier Equine International Limited
 02-Feb-23,Service Charges,"£6,300.00",Merseyside Fire & Civil Defence Auth.
 23-Feb-23,Services and Legal Expenses,"£6,250.00",Redacted
09-Feb-23,Diesel,"£6,116.72",Standard Fuel Oils Limited
09-Feb-23,Diesel,"£6,113.68",Standard Fuel Oils Limited
09-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£6,030.40",Dell Corporation Ltd
 02-Feb-23,Training Course Fees,"£6,000.00",Modality Systems Limited
09-Feb-23,Training Course Fees,"£6,000.00",The Knowledge Academy
 23-Feb-23,Services and Legal Expenses,"£6,000.00",KYM Knowsley Youth Mutual
 02-Feb-23, Vehicle Repairs ,"£5,950.00",Redacted
 23-Feb-23,Training Course Fees,"£5,949.00",College of Policing Limited
 02-Feb-23,Outsourced Contractors,"£5,948.48",Wirral MBC
 02-Feb-23,Diesel,"£5,903.35",Standard Fuel Oils Limited
 16-Feb-23,Operational Equipment,"£5,841.60",Redacted
 23-Feb-23,Forensic Fees - General,"£5,784.00",Redacted
 16-Feb-23,Vehicle Crash Repairs,"£5,783.96",BMC Mechanical LTD
09-Feb-23,Brokerage Fees,"£5,753.42",Tradition UK Ltd
 02-Feb-23,Vehicle Repairs,"£5,693.14",Halliwell Jones Ltd
 23-Feb-23,Forensic Fees - General,"£5,573.04",Redacted
 16-Feb-23,Services and Legal Expenses,"£5,450.00",The Foundation Years Trust
 16-Feb-23,S/W Licences,"£5,342.38",Oracle Corporation Uk Ltd
 16-Feb-23,Breathalyzers,"£5,306.40",Redacted
09-Feb-23,Support Staff-Temporary Staff Wages,"£5,304.00",Redacted
23-Feb-23,Data Network,"£5,247.82", North PB Limited 
 16-Feb-23,Services and Legal Expenses,"£5,200.00",Redacted
 16-Feb-23,Forensic Fees - General,"£5,184.00",Redacted
 02-Feb-23,Postages,"£5,089.64",Royal Mail
 16-Feb-23,S/W Licences,"£5,055.79",Redacted
 16-Feb-23,Services and Legal Expenses,"£5,018.00",Granby Toxteth Develp Trust Ltd (GTDT Ltd)
 02-Feb-23,Services and Legal Expenses,"£5,000.00",Redacted
 02-Feb-23,Services and Legal Expenses,"£5,000.00",Redacted
09-Feb-23,Payment for Services,"£5,000.00",Alley Angels
09-Feb-23,Services and Legal Expenses,"£5,000.00",Redacted
 16-Feb-23,Services and Legal Expenses,"£5,000.00",Redacted
 16-Feb-23,Services and Legal Expenses,"£5,000.00",ExtravaDance Community Group
 23-Feb-23,Services and Legal Expenses,"£5,000.00",Redacted
 23-Feb-23,Services and Legal Expenses,"£5,000.00",Redacted
09-Feb-23,Support Staff-Temporary Staff Wages,"£4,992.00",Redacted
 23-Feb-23,Uniform and Clothing,"£4,824.68",J & S Accessories Ltd
 23-Feb-23,S/W Licences,"£4,800.85",Oracle Corporation Uk Ltd
 16-Feb-23,Electrical Reactive Maintenance,"£4,757.60",Redacted
09-Feb-23,Vehicle Repairs,"£4,735.24",Redacted
 16-Feb-23,Mechanical Reactive Maintenance,"£4,694.00",BAM FM Ltd
 23-Feb-23,H/W Purchases,"£4,668.95",Dell Corporation Ltd
09-Feb-23,Vehicle Licenses,"£4,565.00",Redacted
09-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£4,512.60",Redacted
 16-Feb-23,Training Course Fees,"£4,500.00",Liverpool John Moores University
 10-Feb-23,Services and Legal Expenses,"£4,500.00",MerseyTravel
 16-Feb-23,Training Course Fees,"£4,490.60",College of Policing Limited
 16-Feb-23,S/W Licences,"£4,451.65",Oracle Corporation Uk Ltd
16-Feb-23, S/W Licences ,"£4,429.58",Redacted
 02-Feb-23,Services and Legal Expenses,"£4,353.72",Redacted
 16-Feb-23,Services and Legal Expenses,"£4,340.00",Alder Hey Childrens NHS Trust
 02-Feb-23,Diesel,"£4,336.69",Standard Fuel Oils Limited
09-Feb-23,Catering Service,"£4,320.00",Liverpool Coffee Roasters Ltd
 23-Feb-23,Forensic Fees - General,"£4,320.00",Redacted
 23-Feb-23,Vehicle Repairs,"£4,299.24",Halliwell Jones Ltd
23-Feb-23,Rents,"£4,290.00", St Helens MBC 
 16-Feb-23,Capital Asset Clearing A/C Plant & Equipment,"£4,284.61",Softcat Ltd
09-Feb-23,Postages,"£4,244.95",Royal Mail
 02-Feb-23,Forensic Fees - General,"£4,194.00",Redacted
 16-Feb-23,Services and Legal Expenses,"£4,150.00",Redacted
