Payment Date,Description,Gross Amount,Supplier Name
 26-Jan-23,Capital Asset Clearing A/c Building,"£1,265,928.08",ISG Construction Ltd
 12-Jan-23,Outsourced Contractors,"£883,731.34",Police and Crime Commissioner For Lancashire
 12-Jan-23,Payments to Other Police Authorities,"£450,000.00",Police and Crime Commissioner For Cheshire
 26-Jan-23,Payments to Other Police Authorities,"£392,195.24",West Yorkshire Combined Authority (WYCA)
 12-Jan-23,Network Operating Systems,"£325,288.72",SSS Public Safety Limited
 19-Jan-23,Electricity General Tariffs,"£322,948.54",EDF Energy
 26-Jan-23,Taser Training Supplies,"£320,753.40",Redacted
 12-Jan-23,Operational Equipment,"£274,336.80",Redacted
 26-Jan-23,Gas General Tariffs,"£226,389.66",TotalEnergies Gas & Power Limited
 19-Jan-23,Miscellaneous Contributions,"£195,446.12",Kent Police
 05-Jan-23,Capital Asset Clearing A/C Plant & Equipment,"£164,305.19",Softcat Ltd
 05-Jan-23,Gas General Tariffs,"£157,898.13",TotalEnergies Gas & Power Limited
 12-Jan-23,Consultants Fees,"£141,645.23",Mitie Care and Custody Ltd
 26-Jan-23,Capital Asset Clearing A/C Plant & Equipment,"£134,317.37",Insight Direct (UK) Ltd
 05-Jan-23,Capital Asset Clearing A/C Plant & Equipment,"£132,045.96",Softcat Ltd
 19-Jan-23,Payments to Other Police Authorities,"£120,363.44",Police & Crime Commissioner for North Wales
 26-Jan-23,H/W Purchases,"£117,595.94",Total Computer Networks Ltd
 19-Jan-23,Payments to Other Police Authorities,"£116,334.19",Police & Crime Commissioner for North Wales
 19-Jan-23, Services and Legal Expenses ,"£111,000.00",Knowsley Borough Council
25-Jan-23, AirWave Communications ,"£108,881.72",Airwave ASL
 19-Jan-23, Services and Legal Expenses ,"£102,000.00",Nobody Left Behind CIC
 26-Jan-23,Payments to Local Authorities,"£95,000.00",Redacted
 12-Jan-23,Building Programmed Maintenance,"£94,889.69",Greenmount Projects Limited
 12-Jan-23,Building Programmed Maintenance,"£89,463.11",CLC Contractors Limited
 26-Jan-23,Comp. Operations,"£83,793.76",Softcat Ltd
 12-Jan-23,Capital Asset Clearing A/c Building,"£82,613.45",Greenmount Projects Limited
 19-Jan-23,Operational Equipment,"£77,771.52",Redacted
 19-Jan-23,Operational Equipment,"£77,771.52",Redacted
 19-Jan-23,Miscellaneous Contributions,"£76,000.00",Police & Crime Commissioner For Cambridgeshire
 19-Jan-23,Miscellaneous Contributions,"£71,221.00",Police and Crime Commissioner For Essex
 19-Jan-23,Miscellaneous Expenses,"£65,296.54",Agiito Ltd
 26-Jan-23,Payment for Services,"£65,000.00",RFEA Ltd
 26-Jan-23,Miscellaneous Contributions,"£63,375.00",Warwickshire PCC
 19-Jan-23,Comp. Operations,"£61,817.63",Softcat Ltd
 05-Jan-23, Services and Legal Expenses ,"£60,000.00",Knowsley Borough Council
 12-Jan-23, Services and Legal Expenses ,"£59,720.00",Knowsley Borough Council
 05-Jan-23,Water & Sewerage Rates,"£58,225.33",Water Plus Limited
 26-Jan-23,Other Public Bodies,"£57,448.00",Redacted
 19-Jan-23,Forensic Fees - General,"£55,458.00",Redacted
 05-Jan-23,S/W Licences,"£53,754.00",Modality Systems Limited
 26-Jan-23,Forensic Fees - General,"£49,000.56",Redacted
 12-Jan-23,Capital Asset Clearing A/c Vehicles,"£48,654.27",Volvo Car UK Limited
 12-Jan-23,Capital Asset Clearing A/c Vehicles,"£48,654.27",Volvo Car UK Limited
 12-Jan-23,Capital Asset Clearing A/c Vehicles,"£48,654.27",Volvo Car UK Limited
 12-Jan-23,Capital Asset Clearing A/c Vehicles,"£48,654.27",Volvo Car UK Limited
 19-Jan-23,Support Staff-Temporary Staff Wages,"£45,167.82",Adecco UK Limited
 26-Jan-23,H/W Purchases,"£44,209.00",Total Computer Networks Ltd
 05-Jan-23,Removal of Police Vehicles,"£44,097.10",Automobile Association Developments Limited
 11-Jan-23,S/W Licences,"£41,163.34",Redacted
 05-Jan-23, Services and Legal Expenses ,"£38,852.64",Merseyside Fire & Civil Defence Auth.
 26-Jan-23,Miscellaneous Expenses,"£36,813.12",Redacted
 12-Jan-23,Payments to Other Police Authorities,"£36,590.48",Police and Crime Commissioner For Cumbria
 12-Jan-23,Capital Asset Clearing A/c Intangibles,"£36,540.00",Redacted
 26-Jan-23,Payments to Other Police Authorities,"£36,235.35",Police and Crime Commissioner For Cumbria
 12-Jan-23,S/W Licences,"£36,061.20",Redacted
 05-Jan-23,Payment for Services,"£34,865.90",Home Office Shared Service Centre
 26-Jan-23,Equipment Purchases,"£33,822.36",Tuskerdirect limited
 26-Jan-23,Capital Asset Clearing A/c Vehicles,"£33,360.00",Redacted
 05-Jan-23, Services and Legal Expenses ,"£33,300.00",St Helens Council(ACE`S Project)
 26-Jan-23,H/W Purchases,"£32,714.66",Total Computer Networks Ltd
 19-Jan-23,Outsourced Contractors,"£30,971.40",Softcat Ltd
 05-Jan-23, Services and Legal Expenses ,"£30,400.11",Redacted
 19-Jan-23,General Subscriptions,"£30,000.00",Redacted
 26-Jan-23,Electrical Programmed Maintenance,"£28,497.66",BAM FM Ltd
 05-Jan-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
 05-Jan-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
 05-Jan-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
 12-Jan-23,General Subscriptions,"£27,860.00",PS Administration Ltd (T/A XPS Administration)
 19-Jan-23,Outsourced Contractors,"£26,405.46",Kier Business Services Limited
 12-Jan-23,S/W Licences,"£25,920.00",Onefile Ltd
 26-Jan-23,Miscellaneous Expenses,"£25,823.00",Redacted
 12-Jan-23,Payment for Services,"£25,000.00",Positive Futures North Liverpool Limited
 19-Jan-23,Tyres & Tubes,"£24,882.40",ATS Euromaster Ltd
 05-Jan-23,Capital Asset Clearing A/c Vehicles,"£24,151.25",Premier Automotive Ltd (Kia)
 26-Jan-23,Data Network,"£22,297.91",North PB Limited
 26-Jan-23,Kennelling External Dogs,"£22,296.36",Redacted
 19-Jan-23,Uniform and Clothing,"£21,336.84",Cooneen At Work Limited
 19-Jan-23,Payments to Local Authorities,"£21,000.00",Liverpool City Council
 26-Jan-23,Tyres & Tubes,"£19,703.54",ATS Euromaster Ltd
 12-Jan-23,Forensic Fees - General,"£18,849.89",Redacted
 12-Jan-23,Capital Asset Clearing A/c Vehicles,"£18,840.00",John Bownes Limited
 12-Jan-23,Forensic Fees - General,"£18,411.12",Redacted
 26-Jan-23, Services and Legal Expenses ,"£18,000.00",Magistra Civitas CIC
 12-Jan-23,Forensic Fees - General,"£17,520.00",Redacted
 26-Jan-23,General Subscriptions,"£17,235.96",Thomson Reuters
 26-Jan-23,Consultants Fees,"£17,098.80",Cabinet Office
 12-Jan-23,Forensic Fees - General,"£17,049.79",Redacted
04-Jan-23, Direct Transport Costs ,"£16,911.24",Allstar
 19-Jan-23,S/W Licences,"£16,856.84",Softcat Ltd
25-Jan-23, Direct Transport Costs ,"£16,014.15",Allstar
 12-Jan-23,Miscellaneous Expenses,"£15,545.73",Agiito Ltd
 12-Jan-23,Consultants Fees,"£14,866.33",Mace Limited
