Payment Date,Description,Gross Amount,Supplier Name,Procurement Method
 26-Jan-23,Community Safety Fund,"£468,595.03",Liverpool City Council,Grant
 26-Jan-23,Community Safety Fund,"£142,529.00",Wirral MBC,Grant
19-Jan-23,Community Safety Fund,"£129,041.49",Knowsley MBC,Grant
 05-Jan-23,Victim Support Grant,"£54,125.00",RASA Centre Ltd,Local Contract - Quotation/Tender
 12-Jan-23,Victim Support Grant,"£50,899.99",Catch22 Charity Limited,Local Contract - Quotation/Tender
 19-Jan-23,Victim Support Grant,"£50,899.99",Catch22 Charity Limited,Local Contract - Quotation/Tender
 19-Jan-23,External Audit,"£20,274.60",Grant Thornton UK LLP,National Contract - Uninfluencable
 05-Jan-23,Community Safety Fund,"£15,336.00",The Appropriate Adult Service Ltd,Local Contract - Quotation/Tender
 19-Jan-23,Community Safety Fund,"£6,500.00",Everton in the Community,Grant
 26-Jan-23,Payment for Services,"£4,500.00",Glow New Media Ltd,Considered Best Value
 12-Jan-23,Support Staff-Temporary Staff Wages,"£1,480.16",Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
 05-Jan-23,Support Staff-Temporary Staff Wages,"£1,446.09",Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
 19-Jan-23,H/W Purchases,"£1,167.24",Dell Corporation Ltd,Grant
 12-Jan-23,Payment for Services,£650.00,The Anthony Walker Foundation,Considered Best Value
 05-Jan-23,Support Staff-Temporary Staff Wages,£623.72,Reed Specialist Recruitment Ltd,ESPO Framework - Direct Award
