Body Name,Body,Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Type,Detailed Expenses Type,Payment Date,Transaction Number,Payment Amount,Supplier Type,Supplier Name,Supplier Id
Portsmouth City Council,PCC,Housing Services,Homelessness,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rents,23-Aug-24,6801579,"6,180.00",SUPPLIER,K H PROPERTY INVESTMENT LIMITED,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,01-Aug-24,6797416,"10,865.00",OTHER LOCAL AUTHORITY,WARRINGTON BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,30-Aug-24,6802490,"10,865.00",OTHER LOCAL AUTHORITY,WARRINGTON BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,281,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,281,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,281,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,422,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,23-Aug-24,6801610,"3,167.00",SUPPLIER,MANCHESTER CITY COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,23-Aug-24,6801610,150,SUPPLIER,MANCHESTER CITY COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,23-Aug-24,6801610,150,SUPPLIER,MANCHESTER CITY COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Supervision and Management,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,"3,740.00",OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Supervision and Management,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,"1,297.00",OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Special Services,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,394,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Special Services,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,294,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,23-Aug-24,6801503,422,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Children's Services and Education,Third Party Payments,Other establishments,23-Aug-24,6801605,"286,079.04",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Children's Services and Education,Third Party Payments,Other establishments,23-Aug-24,6801605,"9,910.00",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
