Body Name,Body,Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Type,Detailed Expenses Type,Payment Date,Transaction Number,Payment Amount,Supplier Type,Supplier Name,Supplier Id
Portsmouth City Council,PCC,Housing Services,Homelessness,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rents,25-Feb-25,6834631,"6,180.00",SUPPLIER,K H PROPERTY INVESTMENT LIMITED,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834649,"286,079.04",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834649,"9,910.00",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834649,"5,333.33",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834649,"14,200.87",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"160,817.12",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"36,650.96",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Management and Support Services,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"14,704.00",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Management and Support Services,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"4,800.00",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Management and Support Services,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"52,800.00",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"1,795.20",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"6,657.01",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"5,357.84",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Other Education and Community Budget,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"10,962.00",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,26-Feb-25,6834719,"278,546.80",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,26-Feb-25,6834719,"13,066.40",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834651,"122,648.80",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834651,"8,274.02",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,28-Feb-25,6835740,"88,957.20",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,28-Feb-25,6835740,"3,851.35",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Other Education and Community Budget,Schools & DSG,Third Party Payments,Other establishments,26-Feb-25,6834719,"12,383.74",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Other Education and Community Budget,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834651,"8,557.08",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Other Education and Community Budget,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834649,"11,492.49",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Other Education and Community Budget,Schools & DSG,Third Party Payments,Other establishments,25-Feb-25,6834650,"12,571.20",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Feb-25,6834590,146,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Adult Social Care,Learning Disability Support Adults (18 - 64),Adult Care,Third Party Payments,Other establishments,12-Feb-25,6832035,"9,040.08",LIMITED COMPANY,ACHIEVE TOGETHER LIMITED,300000000000000
Portsmouth City Council,PCC,Adult Social Care,Learning Disability Support Adults (18 - 64),Adult Care,Third Party Payments,Other establishments,12-Feb-25,6832035,"9,408.00",LIMITED COMPANY,ACHIEVE TOGETHER LIMITED,300000000000000
Portsmouth City Council,PCC,Adult Social Care,Learning Disability Support Adults (18 - 64),Adult Care,Third Party Payments,Other establishments,12-Feb-25,6832035,"9,868.32",LIMITED COMPANY,ACHIEVE TOGETHER LIMITED,300000000000000
Portsmouth City Council,PCC,Adult Social Care,Learning Disability Support Adults (18 - 64),Adult Care,Third Party Payments,Other establishments,12-Feb-25,6832035,"12,651.24",LIMITED COMPANY,ACHIEVE TOGETHER LIMITED,300000000000000
Portsmouth City Council,PCC,Adult Social Care,Learning Disability Support Adults (18 - 64),Adult Care,Third Party Payments,Other establishments,12-Feb-25,6832035,"14,780.36",LIMITED COMPANY,ACHIEVE TOGETHER LIMITED,300000000000000
Portsmouth City Council,PCC,Adult Social Care,Learning Disability Support Adults (18 - 64),Adult Care,Third Party Payments,Other establishments,25-Feb-25,6834686,-433.34,LIMITED COMPANY,ACHIEVE TOGETHER LIMITED,300000000000000
