Body Name,Body,Service Area Categorisation,Service Division Categorisation,Responsible Unit,Expenses Type,Detailed Expenses Type,Payment Date,Transaction Number,Payment Amount,Supplier Type,Supplier Name,Supplier Id
Portsmouth City Council,PCC,Housing Services,Homelessness,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rents,25-Nov-24,6818027,"6,180.00",SUPPLIER,K H PROPERTY INVESTMENT LIMITED,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,01-Nov-24,6814022,"10,865.00",OTHER LOCAL AUTHORITY,WARRINGTON BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,29-Nov-24,6819366,"10,865.00",OTHER LOCAL AUTHORITY,WARRINGTON BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,281,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,281,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,422,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,25-Nov-24,6818045,"3,167.00",SUPPLIER,MANCHESTER CITY COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,25-Nov-24,6818045,150,SUPPLIER,MANCHESTER CITY COUNCIL,300000000000000
Portsmouth City Council,PCC,Costs below Net Cost of Services,Trading,Economy Planning and Transport,Premises-Related Expenditure,Rates,25-Nov-24,6818045,150,SUPPLIER,MANCHESTER CITY COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Supervision and Management,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,"3,740.00",OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Supervision and Management,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,"1,297.00",OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Special Services,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,394,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Special Services,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,294,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,141,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Housing Revenue Account,Rents Rates Taxes and Other Charges,Housing Neighbourhood and Building Services,Premises-Related Expenditure,Rates,25-Nov-24,6817980,422,OTHER LOCAL AUTHORITY,HAVANT BOROUGH COUNCIL,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Nov-24,6818042,"286,079.04",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Nov-24,6818042,"9,910.00",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Nov-24,6818042,"5,333.33",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Nov-24,6818042,"14,200.87",SUPPLIER,SOLENT ACADEMIES TRUST,300000000000000
Portsmouth City Council,PCC,Children's and Education Services,Special Schools,Schools & DSG,Third Party Payments,Other establishments,25-Nov-24,6818043,"160,817.12",SUPPLIER,THE DELTA EDUCATION TRUST,300000000000000
