Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,24-May-23,51400305519,"£4,192.84",22-May-23,LIVABILITY,CARE ESTABLISHMENT,NT996712 P134383-00009,E7170,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Suppported Living
West Northamptonshire Council,24-May-23,51400307023,"£4,200.00",23-May-23,HOLLY HOUSE RESIDENTIAL HOME,CARE ESTABLISHMENT,NT934163 P134644-00009,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,12-May-23,51400289656,"£4,200.00",16-Apr-23,LNRS Data Services Ltd,COMPANY,INV-00256223,D7000,II,Incoming Invoice Posting,,Workforce Policy & Strategy [NCC],"HR Strategy, Policy and Recruitment",Human Resources & Staff Wellbeing,Workforce Policy & Strategy [NCC],Subscriptions
West Northamptonshire Council,24-May-23,51400306218,"£4,200.00",23-May-23,CAREBASE (HISTON) LTD,CARE ESTABLISHMENT,CK974173 P134722-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400306352,"£4,200.00",23-May-23,AVERY HEALTHCARE,CARE ESTABLISHMENT,N2210862 P134690-00013,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,24-May-23,51400287443,"£4,212.00",31-Mar-23,Rolton Group Ltd,TRADE SUPPLIER,48175/9,XB000,II,Incoming Invoice Posting,,SEND Schools Grant Schemes,SEND Schools Grant Schemes,"Children, Families and Education",School Schemes - NCC Delivery,"New Construction, Conversion and Renovation"
West Northamptonshire Council,24-May-23,51400297925,"£4,212.00",28-Apr-23,Rolton Group Ltd,TRADE SUPPLIER,48289/94,XB000,II,Incoming Invoice Posting,,SEND Schools Grant Schemes,SEND Schools Grant Schemes,"Children, Families and Education",School Schemes - NCC Delivery,"New Construction, Conversion and Renovation"
West Northamptonshire Council,22-May-23,51400302236,"£4,213.64",19-May-23,DAISY CHAIN PRE SCHOOL,NURSERY,1140000794-190523-HC FE 3 ID-239-21,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],Early Years 3 & 4 Year Old,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,24-May-23,51400306784,"£4,215.88",23-May-23,RATHGAR CARE HOME LTD,CARE ESTABLISHMENT,NT832059 P134721-00006,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,22-May-23,51400302676,"£4,223.93",19-May-23,CARING KINDERGARTENS,NURSERY,1140000333-190523-HC Ext ID-11297-137,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],EY 30 hours entitlement,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
West Northamptonshire Council,22-May-23,51400304816,"£4,230.00",22-May-23,WOOTTON PRIMARY SCHOOL,EDUCATION,17MONTHLYTRANSFERSMAY23 CFR I03,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Wootton Primary School,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,22-May-23,51400302568,"£4,234.12",19-May-23,HOLBOURN HOUSE DAY NURSERY,NURSERY,1140000981-190523-HC Ext ID-321-29,E5000,SPS,AP Spreadsheet Import - Payments,,EYSFF 3 & 4 Year Old [NCC],EY 30 hours entitlement,Early Years Block,Early Years Free Entitlement [NCC],Grants to Voluntary Bodies
