Body Name,Date Paid,Transaction Number,Amount,Invoice Date,Supplier Name,Supplier Type,Invoice Number,Account,Transaction Type,Transaction Type Description,Supplier Reporting,Expense Area,Cost Centre Description ,Service Area Categorisation,Service Division Categorisation,Expense Type
West Northamptonshire Council,05-Jun-23,51400308249,"-£786,580.15",25-May-23,SUEZ RECYCLING AND RECOVERY UK LTD,TRADE SUPPLIER,80341692,B5000,II,Incoming Invoice Posting,,Domestic Waste [NCC],Domestic Waste,Waste Service,Waste Management [NCC],Cleaning and Domestic Supplies
West Northamptonshire Council,16-Jun-23,51400312439,"-£261,826.48",15-Jun-23,Access UK Limited t/a Adam,COMPANY,SI24161BD,C6400,SPS,AP Spreadsheet Import - Payments,,Social Care & Health Transport,Social Care & Health Transport,Highways & Transport Service WNC,Passenger Transport WNC,Social Care Transport
West Northamptonshire Council,21-Jun-23,65400001733,"-£100,245.42",05-May-23,LOCAL GOVERNMENT ASSOCIATION,PENSION,64008890,D7000,RV,Reversals,,Executive Support [NCC],Executive Support,Assistant Chief Executive,Assistant Chief Executive,Subscriptions
West Northamptonshire Council,28-Jun-23,51400319478,"-£59,112.04",27-Jun-23,EJC GROUP LTD,CARE ESTABLISHMENT,NT976046 P136106-00006,E7170,CPN,Social Care West Northampton Council CareCost Payments,,LD Learning Disability CCP LT [NCC],Learning Disability Support CCP Long Term LD,Adult Services,Specialist and Complex - Working Age Adults [NCC],Suppported Living
West Northamptonshire Council,30-Jun-23,51400319014,"-£35,469.27",22-Jun-23,"LASER, KENT COUNTY COUNCIL",OTHER PUBLIC BODIES,E8872829,B1010,II,Incoming Invoice Posting,,Utility Services,Utility Services [DDC],Assets and Environment,A&E Works,Electricity
West Northamptonshire Council,05-Jun-23,51400299849,"-£25,535.09",09-May-23,CIVICA UK LTD,TRADE SUPPLIER,C/XP273273,D5035,II,Incoming Invoice Posting,,Elections and electoral registration [DDC],Electoral Registration,Legal and Democratic Services,Electoral Services [DDC],Computer software - annual licence agreement
West Northamptonshire Council,23-Jun-23,51400318602,"-£18,592.86",22-Jun-23,HOLLY HOUSE RESIDENTIAL HOME,CARE ESTABLISHMENT,N2310299 P135853-00007,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,19-Jun-23,51400313291,"-£16,220.33",16-Jun-23,CAMBIAN CHILDCARE,CARE ESTABLISHMENT,CCC0000852,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,19-Jun-23,51400313293,"-£16,220.33",16-Jun-23,CAMBIAN CHILDCARE,CARE ESTABLISHMENT,CCC0000854,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,23-Jun-23,51400317281,"-£15,782.06",01-Jun-23,NORTHAMPTON SCHOOLS LTD,EDUCATION,2023-48f,B0500,SPV,AP VAT Spreadsheet Import - Payments,,Northampton Schools PFI,Northampton PFI Contract - UNITARY CHARGE,Assets and Environment,A&E Works,Specialist Works and Repairs
West Northamptonshire Council,23-Jun-23,51400318532,"-£13,042.86",22-Jun-23,Admire Healthcare Limited -Apollo House,CARE ESTABLISHMENT,NT942892 P135952-00024,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,28-Jun-23,51400319394,"-£12,057.65",27-Jun-23,NOTTINGHAM COMMUNITY HOUSING ASSOC,TRADE SUPPLIER,N0123540 P136143-00003,E7170,CPN,Social Care West Northampton Council CareCost Payments,,TR Transitions CCP LT [NCC],Learning Disability Support CCP Long Term TR,Adult Services,Specialist and Complex - Working Age Adults [NCC],Suppported Living
West Northamptonshire Council,28-Jun-23,51400307875,"-£10,550.00",24-May-23,CARE & REPAIR (NORTHAMPTON)LTD,TRADE SUPPLIER,7247.2,XB000,II,Incoming Invoice Posting,,DFG's Owner Occupiers,DFG's Owner Occupiers,Housing and Communities Capital,Disabled Facilities Grants [NBC],"New Construction, Conversion and Renovation"
West Northamptonshire Council,09-Jun-23,51400309903,"-£10,542.86",08-Jun-23,Hampton Burlington Court Care,CARE ESTABLISHMENT,N1133805 P135035-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,23-Jun-23,51400318108,"-£9,385.72",22-Jun-23,Minster Care Services Ltd,CARE ESTABLISHMENT,WN15184 P135955-00014,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,16-Jun-23,51400311937,"-£8,748.00",14-Jun-23,CSK Support 24 Ltd,CARE ESTABLISHMENT,N2024507 P135186-00011,E7150,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People CCP LT [NCC],Physical Support CCP Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,23-Jun-23,51400318014,"-£8,428.57",22-Jun-23,SHRUBBERY RESIDENTIAL HOME,CARE ESTABLISHMENT,N2310290 P135860-00006,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,23-Jun-23,51400318746,"-£7,997.90",22-Jun-23,Interhaze Contracts Ltd,CARE ESTABLISHMENT,N1627219 P135979-00006,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,16-Jun-23,51400312442,"-£7,980.00",15-Jun-23,STAGECOACH SERVICES LTD,TRADE SUPPLIER,504978,C6005,SPS,AP Spreadsheet Import - Payments,,Sustainable Travel WNC,Bus Subsidy-3rd Party Funded Contracts,Highways & Transport Service WNC,Transport Strategy & Development WNC,Support - subsidised bus routes
West Northamptonshire Council,19-Jun-23,51400313292,"-£7,966.67",16-Jun-23,CAMBIAN CHILDCARE,CARE ESTABLISHMENT,CCC0000853,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,19-Jun-23,51400313294,"-£7,966.67",16-Jun-23,CAMBIAN CHILDCARE,CARE ESTABLISHMENT,CCC0000855,E7180,SPS,AP Spreadsheet Import - Payments,,High Needs Out County [NCC],Out County Ind Special,High Needs Block,High Needs Out County [NCC],Independent School Placements
West Northamptonshire Council,23-Jun-23,51400318297,"-£7,778.29",22-Jun-23,MENTAUR LTD,CARE ESTABLISHMENT,CK977064 P135806-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health RES LT [NCC],Mental Health Support Res Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Residential Care
West Northamptonshire Council,16-Jun-23,51400312437,"-£7,748.00",15-Jun-23,Access UK Limited t/a Adam,COMPANY,SI24160a,C6400,SPS,AP Spreadsheet Import - Payments,,Social Care & Health Transport,Social Care & Health Transport,Highways & Transport Service WNC,Passenger Transport WNC,Social Care Transport
West Northamptonshire Council,19-Jun-23,51400312869,"-£7,685.00",16-Jun-23,NORTHAMPTON SCHOOL GIRLS ACADEMY,EDUCATION,16MONTHLYTRANSFERSJUN23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Northampton School for Girls,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,19-Jun-23,51400312785,"-£6,981.00",16-Jun-23,ABBEYFIELD SCHOOL,EDUCATION,16MONTHLYTRANSFERSJUN23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Abbeyfield School,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,19-Jun-23,51400312968,"-£6,320.00",16-Jun-23,NORTHAMPTON INTERNATIONAL ACADEMY,PENSION,16MONTHLYTRANSFERSJUN23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],NIA Northampton International Academy,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,23-Jun-23,51400318544,"-£6,285.71",22-Jun-23,HC-ONE LIMITED,CARE ESTABLISHMENT,N0412242 P135857-00003,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Physical Support Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,12-Jun-23,51400310004,"-£6,255.00",08-Jun-23,Access UK Limited t/a Adam,COMPANY,SI24093,C6400,SPS,AP Spreadsheet Import - Payments,,Social Care & Health Transport,Social Care & Health Transport,Highways & Transport Service WNC,Passenger Transport WNC,Social Care Transport
West Northamptonshire Council,28-Jun-23,51400319501,"-£6,237.14",27-Jun-23,VOGUE FUTURE LIVING LTD,TRADE SUPPLIER,N0423384 P136099-00009,E7170,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Suppported Living
West Northamptonshire Council,30-Jun-23,51400320055,"-£5,571.43",29-Jun-23,Banbury Heights Ltd t/a Banbury Heights Nursing Home,CARE ESTABLISHMENT,N1520513 P136046-00001,E7140,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Support with Memory & Cognition Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,23-Jun-23,51400318395,"-£5,157.14",22-Jun-23,COLLINGTREE PARK CARE HOME,CARE ESTABLISHMENT,N2212289 P135830-00014,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,21-Jun-23,51400316792,"-£5,100.00",20-Jun-23,Say Opal Ltd,CARE ESTABLISHMENT,NT941940 P135524-00002,E7170,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Suppported Living
West Northamptonshire Council,19-Jun-23,51400312738,"-£5,090.00",16-Jun-23,MOULTON SCHOOL AND SCIENCE COLLEGE,EDUCATION,16MONTHLYTRANSFERSJUN23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Moulton School & Science College,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,19-Jun-23,51400312828,"-£4,666.00",16-Jun-23,BLACKTHORN PRIMARY SCHOOL,EDUCATION,50MONTHLYTRANSFERSJUN23,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Blackthorn Primary School,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,21-Jun-23,51400316996,"-£4,648.24",20-Jun-23,LIFEWAYS SIL LTD,CARE ESTABLISHMENT,N1019679 P135443-00003,E7170,CPN,Social Care West Northampton Council CareCost Payments,,MH Mental Health CCP LT [NCC],Mental Health Support CCP Long Term MH,Adult Services,Specialist and Complex - Mental Health [NCC],Suppported Living
West Northamptonshire Council,09-Jun-23,51400309927,"-£4,428.57",08-Jun-23,Timken Grange ( Anchor Hanover Group ),CARE ESTABLISHMENT,N2210943 P135070-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,23-Jun-23,51400318080,"-£4,007.14",22-Jun-23,Crown Care X Ltd,CARE ESTABLISHMENT,N2027486 P135959-00017,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,19-Jun-23,51400312713,"-£3,962.00",16-Jun-23,SPONNE SCHOOL,EDUCATION,16MONTHLYTRANSFERSJUN23 CFR I01,E6000,SPS,AP Spreadsheet Import - Payments,,Academies [NCC],Sponne School Technology College,Schools Block,Schools Block [NCC],Payments to Other Establishments
West Northamptonshire Council,23-Jun-23,51400318664,"-£3,640.25",22-Jun-23,FOUR SEASONS (BAMFORD) LIMITED,CARE ESTABLISHMENT,N0629509 P135865-00002,E7130,CPN,Social Care West Northampton Council CareCost Payments,,OP North Older People RES LT [NCC],Physical Support Res Long Term OP North,Adult Services,Specialist and Complex - Older People [NCC],Nursing Care
West Northamptonshire Council,30-Jun-23,51400320045,"-£3,571.43",29-Jun-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,N2212341 P136196-00007,E7140,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES ST [NCC],Support with Memory & Cognition Res other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Rehabilitation And Respite Care
West Northamptonshire Council,16-Jun-23,51400311696,"-£3,523.50",14-Jun-23,SANCTUARY OASIS LTD,CARE ESTABLISHMENT,WN16265 P135153-00033,E7150,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People CCP LT [NCC],Physical Support CCP Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
West Northamptonshire Council,23-Jun-23,51400318339,"-£3,441.25",22-Jun-23,ST CHRISTOPHERS HOME,CARE ESTABLISHMENT,N0420281 P135835-00003,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Physical Support Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,28-Jun-23,51400301652,"-£3,390.00",10-Feb-23,CS2,TRADE SUPPLIER,10412523.CR,D4110,II,Incoming Invoice Posting,,Property Management [NBC],Hard Facilities Management,Assets and Environment,A&E Works,Professional Fees and Hired Services
West Northamptonshire Council,30-Jun-23,51400320039,"-£3,190.09",29-Jun-23,B & M CARE  (Templemore),CARE ESTABLISHMENT,CK995207 P136196-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,26-Jun-23,51400314627,"-£3,048.29",13-Jun-23,HEALTH MANAGEMENT LTD,TRADE SUPPLIER,C403790,A6400,II,Incoming Invoice Posting,,(Closed) Occupational Health - NCC managed [NCC],[CLOSED] Occupational Health (400001314),Human Resources & Staff Wellbeing,(Closed) Policy & Strategy - Managed NCC(NCC),Staff health & welfare Costs
West Northamptonshire Council,30-Jun-23,51400319996,"-£3,028.57",29-Jun-23,CRESCENT HOMES,CARE ESTABLISHMENT,N0095073 P136192-00001,E7145,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People RES LT [NCC],Support with Memory & Cognition Res Long Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Residential Care
West Northamptonshire Council,16-Jun-23,51400311873,"-£2,997.00",14-Jun-23,PRECIOUS HOPE HEALTH AND HOMECARE LTD,CARE ESTABLISHMENT,N2211071 P135162-00009,E7150,CPN,Social Care West Northampton Council CareCost Payments,,OP South Older People CCP ST [NCC],Physical Support CCP other Short Term OP South,Adult Services,Specialist and Complex - Older People [NCC],Domiciliary Care
