Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type

S B SKIP HIRE,Waste Disposal Services,02-Sep-24, £810.00 ,PO00045666,WASTE2,Purchase order

VANITORIALS LTD,Cleaning Supplies,02-Sep-24, £665.19 ,PO00045669,CLEAN1,Purchase order

PALL MALL PREMIER CARS,Vehicle Hire,02-Sep-24," £1,558.50 ",PO00045670,VEHIC5,Purchase order

VINEHR LIMITED,Subscriptions,02-Sep-24," £2,656.50 ",PO00045671,SUBS,Purchase order

ESSEX COUNTY COUNCIL,Recruitment Services,02-Sep-24," £1,276.00 ",PO00045672,HR1,Purchase order

HAYS MONTROSE,Temporary Staff,02-Sep-24, £515.38 ,PO00045674,HR2,Purchase order

New Hope Rentals,Homelessness Provision,02-Sep-24, £550.00 ,PO00045676,HOMEPROV,Purchase order

BADDOW ROAD SUPPLIES LTD,PPE Workwear,02-Sep-24," £4,202.49 ",PO00045678,PPE1,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,02-Sep-24," £1,197.00 ",PO00045681,CAT2,Purchase order

PLENTY OF THYME,Catering Supplies - Food & Drink,02-Sep-24, £820.00 ,PO00045682,CAT2,Purchase order

Letting International Ltd,Homelessness Provision,02-Sep-24," £15,655.00 ",PO00045684,HOMEPROV,Purchase order

DIAL A JET DRAINAGE LTD,Building Repairs,02-Sep-24, £290.00 ,PO00045685,BUILD07,Purchase order

TMP (UK) LTD,Statutory Advertising,02-Sep-24, £266.45 ,PO00045686,ADVRT2,Purchase order

The Rent Guarantee Company Ltd,Homelessness Provision,02-Sep-24," £3,600.94 ",PO00045687,HOMEPROV,Purchase order

MEDIGOLD HEALTH CONSULTANCY LIMITED,Healthcare Fees,02-Sep-24, £500.00 ,PO00045690,HEALTH3,Purchase order

LINK CCTV SYSTEMS,CCTV,02-Sep-24," £8,320.27 ",PO00045691,CCTV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £4,830.00 ",PO00045693,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,670.00 ",PO00045694,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,285.00 ",PO00045695,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,775.00 ",PO00045697,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,040.00 ",PO00045698,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,895.00 ",PO00045699,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,565.00 ",PO00045700,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £4,970.00 ",PO00045701,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,600.00 ",PO00045702,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £6,045.00 ",PO00045703,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £5,180.00 ",PO00045704,HOMEPROV,Purchase order

Nickolds Property Management,Homelessness Provision,02-Sep-24," £4,900.00 ",PO00045705,HOMEPROV,Purchase order

110 UK LTD T/A ALTERNATIVE SYSTEMS PROTECTION,Property Maintenance,02-Sep-24," £2,235.97 ",PO00045706,PROP3,Purchase order

ROYAL MAIL FINANCE,Postage,02-Sep-24, £424.20 ,,,Direct Debit

VIRGIN MEDIA PYMTS,Banking,02-Sep-24, £358.70 ,,,Direct Debit

CHAMPION SERVICES GROUP,Cleaning Services - External,03-Sep-24," £9,632.50 ",PO00045708,CLEAN2,Purchase order

CHOOSEYOUREVENT.COM LIMITED,Promotional Advertising,03-Sep-24, £395.00 ,PO00045709,ADVRT1,Purchase order

CHAMPION SERVICES GROUP,Cleaning Services - External,03-Sep-24," £2,390.36 ",PO00045710,CLEAN2,Purchase order

CHAMPION SERVICES GROUP,Property Maintenance,03-Sep-24, £437.50 ,PO00045712,PROP3,Purchase order

CLAAS MANNS LTD,Vehicle Maintenance,03-Sep-24, £679.63 ,PO00045713,VEHIC8,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £420.00 ,PO00045714,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £560.00 ,PO00045715,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £420.00 ,PO00045716,HOMEPROV,Purchase order

P TUCKWELL LTD,Digital Maintenance & Support,03-Sep-24, £524.57 ,PO00045717,DIGIT6,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £420.00 ,PO00045718,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £420.00 ,PO00045720,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £420.00 ,PO00045721,HOMEPROV,Purchase order

New Hope Rentals,Homelessness Provision,03-Sep-24, £420.00 ,PO00045723,HOMEPROV,Purchase order

VIP SECURITY (ESSEX) LTD,Security Personnel,03-Sep-24," £3,249.47 ",PO00045724,SECUR4,Purchase order

