Supplier,Purpose of Spend,Date,Net Amount,Order Reference,Procurement Code,Type
KI SOUND & LIGHT LIMITED,Electrical Services,2024-10-01 00:00:00,30306.24,PO00046622,BUILD10,Purchase Order
Letting International Ltd,Homelessness Provision,2024-10-01 00:00:00,15150,PO00046635,HOMEPROV,Purchase Order
NPOWER,Utilities Gas,2024-10-01 00:00:00,9189.29,,GAS,Diretc Debit
CENTENNIAL PROPERTY LTD T/A RENT CONNECT,Homelessness Provision,2024-10-01 00:00:00,7608,PO00046662,HOMEPROV,Purchase Order
ENTERTAINERS SHOW PROVIDERS,Performing Arts,2024-10-01 00:00:00,6226.96,PO00046645,PERFORM,Purchase Order
ELITE PRODUC TIONS GROUP LIMITED,Performing Arts,2024-10-01 00:00:00,6102.18,PO00046644,PERFORM,Purchase Order
ESSEX COUNTY COUNCIL,Consultancy,2024-10-01 00:00:00,5698,PO00046642,CONSULT,Purchase Order
TRAVELERS INSURANCE COMPANY LTD,Insurance,2024-10-01 00:00:00,5000,PO00046658,INSURE,Purchase Order
Nickolds Property Management,Homelessness Provision,2024-10-01 00:00:00,4865,PO00046631,HOMEPROV,Purchase Order
Nickolds Property Management,Homelessness Provision,2024-10-01 00:00:00,4375,PO00046665,HOMEPROV,Purchase Order
VIVEDIA LTD,Crematorium Equipment,2024-10-01 00:00:00,4238,PO00046681,CREM1,Purchase Order
Nickolds Property Management,Homelessness Provision,2024-10-01 00:00:00,4200,PO00046633,HOMEPROV,Purchase Order
HIGHLINE ROADMARKINGS LTD,Signage - Highway,2024-10-01 00:00:00,3921.7,PO00046672,SIGN4,Purchase Order
FARGRO LTD,Seeds & Plants,2024-10-01 00:00:00,2254.68,PO00046629,HORT2,Purchase Order
BIRKETTS LLP,Property Management,2024-10-01 00:00:00,2000,PO00046664,PROP4,Purchase Order
TWOFOLD DOCUMENT MANAGEMENT SYSTEMS,Digital Maintenance & Support,2024-10-01 00:00:00,1559.38,PO00046673,DIGIT6,Purchase Order
PALL MALL PREMIER CARS,Vehicle Hire,2024-10-01 00:00:00,1405.25,PO00046624,VEHIC5,Purchase Order
REDACTED ,Burial & Cremation,2024-10-01 00:00:00,1298,PO00046625,CREM4,Purchase Order
REDACTED ,Burial & Cremation,2024-10-01 00:00:00,1232,PO00046626,CREM4,Purchase Order
ARNOLD CLARK FINANCE LIMITED,Insurance,2024-10-01 00:00:00,1150.06,PO00046657,INSURE,Purchase Order
SITEXORBIS LIMITED,Traffic Wardens,2024-10-01 00:00:00,1144.56,PO00046668,TRAFF2,Purchase Order
,PRINTED EASY LETCHWORTH GA,2024-10-01 00:00:00,894,,ADVERTISING,Procurement Card
EMS,Lift Maintenance,2024-10-01 00:00:00,802.16,,LIFT2,Diretc Debit
REACH EVERY GENERATION,Events,2024-10-01 00:00:00,800,PO00046628,EVENTS,Purchase Order
Facebook,FACEBK ADS > sports marketing,2024-10-01 00:00:00,700,,ADVERTISING,Procurement Card
Facebook,FACEBK  NE666BQ9K2 FB.ME/ADS,2024-10-01 00:00:00,700,,ADVERTISING,Procurement Card
Brontide Consulting Limited,Consultancy,2024-10-01 00:00:00,595,PO00046623,CONSULT,Purchase Order
BADDOW ROAD SUPPLIES LTD,Vehicles Parts,2024-10-01 00:00:00,565.25,PO00046680,VEHIC7,Purchase Order
,HSFLORALDESIGNS.CO.UK BLACKMORE IN,2024-10-01 00:00:00,540,,PCARDTRAN,Procurement Card
TRAVELODG TRAVELODGE,,2024-10-01 00:00:00,534.78,,GENEXPENSE,Procurement Card
BUCHANAN COMPUTING,Statutory Advertising,2024-10-01 00:00:00,456,PO00046674,ADVRT2,Purchase Order
New Hope Rentals,Homelessness Provision,2024-10-01 00:00:00,420,PO00046636,HOMEPROV,Purchase Order
New Hope Rentals,Homelessness Provision,2024-10-01 00:00:00,420,PO00046637,HOMEPROV,Purchase Order
New Hope Rentals,Homelessness Provision,2024-10-01 00:00:00,420,PO00046638,HOMEPROV,Purchase Order
New Hope Rentals,Homelessness Provision,2024-10-01 00:00:00,420,PO00046639,HOMEPROV,Purchase Order
New Hope Rentals,Homelessness Provision,2024-10-01 00:00:00,420,PO00046640,HOMEPROV,Purchase Order
