"Invoices Paid for Direct Payments, Foster/Adoption/Pathway Payments for Westmorland & Furness Council",,,,,,,,,
company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure ,Line Number,Line Amount
WF,FP1172559,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195827,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1172559,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195829,FOSTER PARENT TRAVEL CLAIMS,Revenue,1,254.87
WF,FP1253991,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195838,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1253991,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195839,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1294707,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195849,FOST PROFESSIONAL FEES ADD,Revenue,1,495.88
WF,FP1303131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195854,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1303131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195855,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1303131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195856,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1303131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195857,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1338231,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195868,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1338231,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195869,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1338231,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195870,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1359291,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195875,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1359291,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195876,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1541811,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195894,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1602183,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195903,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1602183,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195904,FOST PROFESSIONAL FEES ADD,Revenue,1,495.88
WF,FP1649919,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195913,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1649919,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195914,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1649919,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195915,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1654131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195918,FOST PROFESSIONAL FEES ADD,Revenue,1,495.88
WF,FP1654131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195919,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1654131,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195921,PWAY SERV RENTS,Revenue,1,308.42
WF,FP1677999,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195927,PWAY SERV OTHR NEEDS,Revenue,1,88.00
WF,FP1677999,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195927,PWAY SERV OTHR NEEDS,Revenue,2,163.41
WF,FP1692039,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195930,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1706079,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195934,STD FOSTERING ALLOWANCES,Revenue,1,178.71
WF,FP1706079,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195934,FOST ALLOW SINGLE ADD OTHER,Revenue,2,85.00
WF,FP1706079,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195936,FOST PROFESSIONAL FEES ADD,Revenue,1,264.37
WF,FP1706079,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195937,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1706079,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195938,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1706079,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195939,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1751007,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195948,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1765047,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195955,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1765047,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195956,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1798743,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195966,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1798743,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195967,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1812783,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195972,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1812783,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195973,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1812783,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195974,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1828227,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195978,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1845075,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195983,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1845075,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195984,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
WF,FP1845075,01/11/2023,CHILDRENS SERVICES,CHILDREN & FAMILIES           ,195985,FOST PROFESSIONAL FEES ADD,Revenue,1,308.42
