Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement Category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount,Purpose
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,BAKER MALLETT LLP,BAK010,02/05/2023,209059,732,cost/tender/fees nr28
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,BAKER MALLETT LLP,BAK010,02/05/2023,209060,4070,project manager 1.3.23-31.3.23 nr27
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Bank charges,ALLPAY LTD,ALL023,02/05/2023,209061,692.38,account fees edbr
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Bank charges,ALLPAY LTD,ALL023,02/05/2023,209063,825.51,accounts fee edcx
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Bank charges,ALLPAY LTD,ALL023,02/05/2023,209065,692.38,account fees edhb
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Marketing,LIFESTYLE MEDIA GROUP LTD,CAT003,02/05/2023,209143,1767.62,BROCHURES 13.3.23-09.4.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Agency Staff,DEYTON BELL,DEY002,02/05/2023,209147,6400,PROVISION ECO DEV SUPPORT MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Industrial Estates,Gas,BRITISH GAS TRADING LIMITED,BRI005,02/05/2023,209151,527.81,corney sq gas 083.23-31.3.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Chief Executive's,Local Government Review,Local Government Reorganisation - Costs,APSE,APS001,02/05/2023,209169,5685,LGR WASTE WORK PACKAGE MAR 23 DAYS FEE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Home Improvement Agency,Professional fees,ANTHONY COLLINS SOLICITORS LLP,ANT007,02/05/2023,209218,3200,FEES RE ADVICE CUMBRIA CONSORT BEIS FUND
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Vehicle Parking Off Street,Cash collection,CUMBERLAND COUNCIL,CUM139,02/05/2023,209227,3796,off street cash collect final qtr22/23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,02/05/2023,207182,2625.06,BIZ HUB 1.1.23-31.03.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,IT PROFESSIONAL SERVICES LTD,ITP001,02/05/2023,208319,8500,MANAGE/MONITOR HYPERV ENVIRONMENT 23/24
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Sustainability,Capital grants,EDEN ANIMAL RESCUE,EDE006,02/05/2023,208852,7039.32,GREENING EDEN SCHEME
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Enforcement,Vehicle Insurance,MARSH COMMERCIAL,MAR004,02/05/2023,208855,1347.98,VAN INSURANCE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Register of Electors,Software – maintenance,IDOX SOFTWARE LIMITED,IDO003,02/05/2023,208982,1611.31,SUPPORT/MAIN EROS PVC  ETC 1.3.23-31.3.2
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,MBSP CONSULTANCY LTD,MBS001,02/05/2023,209075,9750,voreda and single site  mar 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,KIRKSTONE PLANNING & REGENERATION LTD,KIR053,02/05/2023,209091,12333.69,PROJECT MANAGEMENT / MEALS/ ACCOM/MAR 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Homelessness,Agency Agreement,EDEN HOUSING ASSOCIATION LTD,EDE001,02/05/2023,209111,107316.72,QTR 4 22/23 HOMELESSNESS
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Planning & Projects,Sustainability,Agency Staff,G2 RECRUITMENT SOLUTIONS,G2R001,02/05/2023,209113,3250,TIME SHEET WE 31.3.23 PG
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,SEFE ENERGY,GAZ001,02/05/2023,209187,968.43,TH MAR 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,SEFE ENERGY,GAZ001,02/05/2023,209189,718.07,MH MAR 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Community Development & Engagement,Community engagement development,Ragged Edge Productions,RAG002,02/05/2023,208868,1500,SUPPORT ADDITIONAL AUDIO ADVENTURE WORKS
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Community Development & Engagement,Community Fund,PENRITH CRICKET SPORTS AND SOCIAL CLUB,PEN023,02/05/2023,208983,2500,2nd payment eden community fund
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,OYSTER PARTNERSHIP,OYS001,02/05/2023,208996,925,time sheet wc20.3.23AA
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,OYSTER PARTNERSHIP,OYS001,02/05/2023,208997,935.8,time sheet wc20.3.23BO
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Discretionary Renovation Grants,Capital grants,REDACTED INFORMATION,RED015,02/05/2023,209026,703.3,RE-IMBURSEMENT HEATING GRANT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Elections,Printing and stationary,PRINT IMAGE FACILITIES LLP,PRI014,02/05/2023,209032,925.94,23 MAY ELECTION POLL LTR POSTAGE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,OYSTER PARTNERSHIP,OYS001,02/05/2023,209085,925,TIME SHEET W/C27.3.23 BO
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,OYSTER PARTNERSHIP,OYS001,02/05/2023,209086,925,TIME SHEET WC 27.03.23 AA
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,IRG ADVISORS LLP / T/A ODGERS INTERIM,ODG001,02/05/2023,209141,16241.25,INTERIM ASS DIRECTOR COMMUNITIE PA MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Grants and contributions,PENRITH RUGBY UNION FOOTBALL CLUB,PEN005,02/05/2023,209145,10000,INSPIRING EDEN GRANT AWARD
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,IT Contracts & Maintenance,OPTECH FIBRES LTD,OPT002,02/05/2023,209168,805,charge for re-terminate on end of fibre
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,02/05/2023,209215,-2707.29,CREDIT TH 1.8.22-31.8.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,02/05/2023,209216,2530.17,MH1.3.23-31.3.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,TOP NOTCH CONTRACTORS LTD,TOP003,02/05/2023,208870,4500,FIN PAYMENT GRANT REF 220079
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Building Maintenance,URBASER LIMITED,URB002,02/05/2023,208871,6418.16,BR CONTRACT AD HOC JAN23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Cemeteries,Supplies general,TOMAN CONTRACTING LTD,TOM005,02/05/2023,209058,713.16,grave bed paths
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Enforcement,Dog Contract O.O.H retainer,URBASER LIMITED,URB002,02/05/2023,209082,1290.01,STRAY DOG MAR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,02/05/2023,209099,3838.83,time sheets 20.3.23-31.3.23sf
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Water charges – metered,WATER PLUS,UNI008,02/05/2023,209120,844.54,MH 02.3.23-01.4.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,02/05/2023,209183,1922,TIME SHEET 3.4.23-9.4.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Professional fees,WALTON GOODLAND LTD,WAL008,02/05/2023,208368,595,pro fees a66 transpennine project
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,VIVID RESOURCING,VIV001,02/05/2023,208985,1740,time sheet we 26.3.23 pj
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Community Capital,Professional expenses,WALTON GOODLAND LTD,WAL008,02/05/2023,209057,1040.42,castle park works
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Professional fees,WALTON GOODLAND LTD,WAL008,02/05/2023,209074,920.5,rate for surveyor mar 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Refuse Collection,RC WEEE,URBASER LIMITED,URB002,02/05/2023,209098,1911.97,CERT RC124
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,VIVID RESOURCING,VIV001,02/05/2023,209104,1702,TIME SHEET WE 31.3.23 RM
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Technical Services,Agency Staff,VIVID RESOURCING,VIV001,02/05/2023,209108,1785,TIME SHEET WE 31.3.23 PB
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Legal Services,Agency Staff,VENN GROUP LIMITED,VEN003,02/05/2023,209149,1031,time sheet we2.4.23 ld
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Public Conveniences,Building Maintenance,URBASER LIMITED,URB002,02/05/2023,209844,-6418.16,Cr BR adhoc Jan 2023
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,Bank charges,BARCLAYCARD,BAR001,02/05/2023,237653,2742.88,BARCLAYCARD
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Housing Standards,Equipment – purchase,THE TAPE STORE,TAP001,02/05/2023,237812,885,MOISTURE METERS
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Corporate Costs,Hospitality,THE GEORGE HOTEL,GEO001,02/05/2023,237821,1695,CORPORATE EVENT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Transformation & Customers Head of,Central Expenses,Postages,NEOPOST,EDC001,02/05/2023,237824,2000,FRANKING MACHINE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Transformation & Customers Head of,Central Expenses,Postages,NEOPOST,EDC001,02/05/2023,237835,2000,FRANKING MACHINE
