element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,2,15147,EXP REIMBURS PROF STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15147,EXP REIMBURS PROF STFF,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,15147,EXP REIMBURS PROF STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,15156,EXP REIMBURS MID-DAY SUPER,A,employee costs,51,reimbursmnt emp'ee expenses
COUNCIL  CUMBERLAND COUNCIL,2,15156,EXP REIMBURS MID-DAY SUPER,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15156,EXP REIMBURS MID-DAY SUPER,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,15156,EXP REIMBURS MID-DAY SUPER,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,15160,EXP REIMBURS PREMISES STFF,A,employee costs,51,reimbursmnt emp'ee expenses
COUNCIL  CUMBERLAND COUNCIL,2,15160,EXP REIMBURS PREMISES STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15160,EXP REIMBURS PREMISES STFF,A,employee costs,24,premises staff
COUNCIL  CUMBERLAND COUNCIL,4,15160,EXP REIMBURS PREMISES STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,15161,EXP REIMBURS CATERING STFF,A,employee costs,51,reimbursmnt emp'ee expenses
COUNCIL  CUMBERLAND COUNCIL,2,15161,EXP REIMBURS CATERING STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15161,EXP REIMBURS CATERING STFF,A,employee costs,42,catering staff
COUNCIL  CUMBERLAND COUNCIL,4,15161,EXP REIMBURS CATERING STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,15164,EXP REIMBURS OP STFF GENERAL,A,employee costs,51,reimbursmnt emp'ee expenses
COUNCIL  CUMBERLAND COUNCIL,2,15164,EXP REIMBURS OP STFF GENERAL,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15164,EXP REIMBURS OP STFF GENERAL,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,15164,EXP REIMBURS OP STFF GENERAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,15201,PROF FEES SNR MANGMT,A,employee costs,52,professional fees reimbursed
COUNCIL  CUMBERLAND COUNCIL,2,15201,PROF FEES SNR MANGMT,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15201,PROF FEES SNR MANGMT,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,15201,PROF FEES SNR MANGMT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,15204,PROF FEES ADMIN & CLERCL,A,employee costs,52,professional fees reimbursed
COUNCIL  CUMBERLAND COUNCIL,2,15204,PROF FEES ADMIN & CLERCL,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,15204,PROF FEES ADMIN & CLERCL,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,15204,PROF FEES ADMIN & CLERCL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,17500,PENSION PYMTS/ADJUST,A,employee costs,75,other pension costs
COUNCIL  CUMBERLAND COUNCIL,2,17500,PENSION PYMTS/ADJUST,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,17500,PENSION PYMTS/ADJUST,A,employee costs,56,non cfr direct empee costs
COUNCIL  CUMBERLAND COUNCIL,4,17500,PENSION PYMTS/ADJUST,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,17610,AGENCY STAFF,A,employee costs,76,agency  staff
COUNCIL  CUMBERLAND COUNCIL,2,17610,AGENCY STAFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,17610,AGENCY STAFF,E,supplies and services,64,agency supply staff
COUNCIL  CUMBERLAND COUNCIL,4,17610,AGENCY STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,17800,OTH EMPLOYEE COSTS,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,17800,OTH EMPLOYEE COSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,17800,OTH EMPLOYEE COSTS,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,17800,OTH EMPLOYEE COSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,17810,MEDICAL EXPS STAFF,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,17810,MEDICAL EXPS STAFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,17810,MEDICAL EXPS STAFF,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,17810,MEDICAL EXPS STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18020,RECRUITMENT COSTS,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,18020,RECRUITMENT COSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18020,RECRUITMENT COSTS,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,18020,RECRUITMENT COSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18027,EMPLOYMENT CHECKS,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,18027,EMPLOYMENT CHECKS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18027,EMPLOYMENT CHECKS,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,18027,EMPLOYMENT CHECKS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18130,RELOCATION/LODGING,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,18130,RELOCATION/LODGING,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18130,RELOCATION/LODGING,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,18130,RELOCATION/LODGING,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18140,SUBSISTENCE OF STAFF,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,18140,SUBSISTENCE OF STAFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18140,SUBSISTENCE OF STAFF,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,18140,SUBSISTENCE OF STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18150,APPRENTICE LEVY,A,employee costs,80,indirect costs
COUNCIL  CUMBERLAND COUNCIL,2,18150,APPRENTICE LEVY,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18150,APPRENTICE LEVY,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,18150,APPRENTICE LEVY,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18240,L&D-QUAL BELOW NVQ2,A,employee costs,82,learning & development
COUNCIL  CUMBERLAND COUNCIL,2,18240,L&D-QUAL BELOW NVQ2,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18240,L&D-QUAL BELOW NVQ2,A,employee costs,68,development & training
COUNCIL  CUMBERLAND COUNCIL,4,18240,L&D-QUAL BELOW NVQ2,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18270,L&D-OTHR QUALS,A,employee costs,82,learning & development
COUNCIL  CUMBERLAND COUNCIL,2,18270,L&D-OTHR QUALS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18270,L&D-OTHR QUALS,A,employee costs,68,development & training
COUNCIL  CUMBERLAND COUNCIL,4,18270,L&D-OTHR QUALS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18420,L&D-CPD,A,employee costs,82,learning & development
COUNCIL  CUMBERLAND COUNCIL,2,18420,L&D-CPD,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18420,L&D-CPD,A,employee costs,68,development & training
COUNCIL  CUMBERLAND COUNCIL,4,18420,L&D-CPD,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18440,L&D-PERSONAL SKILLS DEVT,A,employee costs,82,learning & development
COUNCIL  CUMBERLAND COUNCIL,2,18440,L&D-PERSONAL SKILLS DEVT,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18440,L&D-PERSONAL SKILLS DEVT,A,employee costs,68,development & training
COUNCIL  CUMBERLAND COUNCIL,4,18440,L&D-PERSONAL SKILLS DEVT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18450,OTH CORP TRAIN PROG COSTS,A,employee costs,82,learning & development
COUNCIL  CUMBERLAND COUNCIL,2,18450,OTH CORP TRAIN PROG COSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18450,OTH CORP TRAIN PROG COSTS,A,employee costs,68,development & training
COUNCIL  CUMBERLAND COUNCIL,4,18450,OTH CORP TRAIN PROG COSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,18744,DEATH GRANT BASIC,A,employee costs,87,pension payments grants
COUNCIL  CUMBERLAND COUNCIL,2,18744,DEATH GRANT BASIC,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,18744,DEATH GRANT BASIC,A,employee costs,88,non cfr indirect empee costs
COUNCIL  CUMBERLAND COUNCIL,4,18744,DEATH GRANT BASIC,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19004,SETTLEMENT AGREEMENT,A,employee costs,90,severance payments
COUNCIL  CUMBERLAND COUNCIL,2,19004,SETTLEMENT AGREEMENT,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19004,SETTLEMENT AGREEMENT,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,19004,SETTLEMENT AGREEMENT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19010,SEVERANCE PYMTS (DEPT FUNDED),A,employee costs,90,severance payments
COUNCIL  CUMBERLAND COUNCIL,2,19010,SEVERANCE PYMTS (DEPT FUNDED),X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19010,SEVERANCE PYMTS (DEPT FUNDED),A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,19010,SEVERANCE PYMTS (DEPT FUNDED),A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19020,VOLUNTARY REDUNDANCY PAYMENTS,A,employee costs,90,severance payments
COUNCIL  CUMBERLAND COUNCIL,2,19020,VOLUNTARY REDUNDANCY PAYMENTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19020,VOLUNTARY REDUNDANCY PAYMENTS,A,employee costs,88,non cfr indirect empee costs
COUNCIL  CUMBERLAND COUNCIL,4,19020,VOLUNTARY REDUNDANCY PAYMENTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19122,EMPLOYEE LEAVE ACCRUAL,A,employee costs,92,other employee costs
COUNCIL  CUMBERLAND COUNCIL,2,19122,EMPLOYEE LEAVE ACCRUAL,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19122,EMPLOYEE LEAVE ACCRUAL,A,employee costs,88,non cfr indirect empee costs
COUNCIL  CUMBERLAND COUNCIL,4,19122,EMPLOYEE LEAVE ACCRUAL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19130,ACTUARIAL STRAIN COSTS,A,employee costs,92,other employee costs
COUNCIL  CUMBERLAND COUNCIL,2,19130,ACTUARIAL STRAIN COSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19130,ACTUARIAL STRAIN COSTS,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,19130,ACTUARIAL STRAIN COSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19131,ACTUARIAL STRAIN ILL HLTH COST,A,employee costs,92,other employee costs
COUNCIL  CUMBERLAND COUNCIL,2,19131,ACTUARIAL STRAIN ILL HLTH COST,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19131,ACTUARIAL STRAIN ILL HLTH COST,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,19131,ACTUARIAL STRAIN ILL HLTH COST,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19200,EMPLOYEE INSURANCE,A,employee costs,92,other employee costs
COUNCIL  CUMBERLAND COUNCIL,2,19200,EMPLOYEE INSURANCE,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19200,EMPLOYEE INSURANCE,A,employee costs,80,staff related insurance
COUNCIL  CUMBERLAND COUNCIL,4,19200,EMPLOYEE INSURANCE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19204,SUPPLY TEACHER INSURANCE,A,employee costs,92,other employee costs
COUNCIL  CUMBERLAND COUNCIL,2,19204,SUPPLY TEACHER INSURANCE,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19204,SUPPLY TEACHER INSURANCE,A,employee costs,78,supply teacher insurance
COUNCIL  CUMBERLAND COUNCIL,4,19204,SUPPLY TEACHER INSURANCE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19210,SERVICES OF STAFF RECHARGED,A,employee costs,92,other employee costs
COUNCIL  CUMBERLAND COUNCIL,2,19210,SERVICES OF STAFF RECHARGED,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19210,SERVICES OF STAFF RECHARGED,G,professional services,14,prof services - other
COUNCIL  CUMBERLAND COUNCIL,4,19210,SERVICES OF STAFF RECHARGED,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,19230,COMPENSATION TO STAFF,A,employee costs,90,severance payments
COUNCIL  CUMBERLAND COUNCIL,2,19230,COMPENSATION TO STAFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,19230,COMPENSATION TO STAFF,A,employee costs,60,indirect employee costs
COUNCIL  CUMBERLAND COUNCIL,4,19230,COMPENSATION TO STAFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20110,CONTRACTUAL PAYMENTS (MAIN),B,premises,4,property alteration/improvmnt
COUNCIL  CUMBERLAND COUNCIL,2,20110,CONTRACTUAL PAYMENTS (MAIN),X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20110,CONTRACTUAL PAYMENTS (MAIN),C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20110,CONTRACTUAL PAYMENTS (MAIN),A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20210,PROPERTY SECURITY,B,premises,4,property alteration/improvmnt
COUNCIL  CUMBERLAND COUNCIL,2,20210,PROPERTY SECURITY,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20210,PROPERTY SECURITY,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20210,PROPERTY SECURITY,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20250,BUILDING REPAIRS,B,premises,4,property alteration/improvmnt
COUNCIL  CUMBERLAND COUNCIL,2,20250,BUILDING REPAIRS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20250,BUILDING REPAIRS,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20250,BUILDING REPAIRS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20403,PLANNING FEES,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20403,PLANNING FEES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20403,PLANNING FEES,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20403,PLANNING FEES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20404,PROPERTY SURVEYS,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20404,PROPERTY SURVEYS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20404,PROPERTY SURVEYS,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20404,PROPERTY SURVEYS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20405,BLDING CONSULTANTS FEES,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20405,BLDING CONSULTANTS FEES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20405,BLDING CONSULTANTS FEES,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20405,BLDING CONSULTANTS FEES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20406,CONSULTANTS FEES-TIME CHG,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20406,CONSULTANTS FEES-TIME CHG,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20406,CONSULTANTS FEES-TIME CHG,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20406,CONSULTANTS FEES-TIME CHG,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20408,HEALTH & SAFETY,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20408,HEALTH & SAFETY,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20408,HEALTH & SAFETY,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,20408,HEALTH & SAFETY,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20420,"DOORS,WINDOWS AND GLAZING",B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20420,"DOORS,WINDOWS AND GLAZING",X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20420,"DOORS,WINDOWS AND GLAZING",C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20420,"DOORS,WINDOWS AND GLAZING",A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20422,ELECTRICAL TESTING,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20422,ELECTRICAL TESTING,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20422,ELECTRICAL TESTING,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,20422,ELECTRICAL TESTING,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20452,REPAIRS & MAINTENANCE,B,premises,6,repairs & maintenance
COUNCIL  CUMBERLAND COUNCIL,2,20452,REPAIRS & MAINTENANCE,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20452,REPAIRS & MAINTENANCE,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,20452,REPAIRS & MAINTENANCE,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20810,ELECTRICITY,B,premises,12,energy costs
COUNCIL  CUMBERLAND COUNCIL,2,20810,ELECTRICITY,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20810,ELECTRICITY,C,premises,44,energy
COUNCIL  CUMBERLAND COUNCIL,4,20810,ELECTRICITY,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20820,GAS (INCL LPG),B,premises,12,energy costs
COUNCIL  CUMBERLAND COUNCIL,2,20820,GAS (INCL LPG),X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20820,GAS (INCL LPG),C,premises,44,energy
COUNCIL  CUMBERLAND COUNCIL,4,20820,GAS (INCL LPG),A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20830,HEATING OIL,B,premises,12,energy costs
COUNCIL  CUMBERLAND COUNCIL,2,20830,HEATING OIL,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20830,HEATING OIL,C,premises,44,energy
COUNCIL  CUMBERLAND COUNCIL,4,20830,HEATING OIL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20835,SOLID FUEL,B,premises,12,energy costs
COUNCIL  CUMBERLAND COUNCIL,2,20835,SOLID FUEL,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20835,SOLID FUEL,C,premises,44,energy
COUNCIL  CUMBERLAND COUNCIL,4,20835,SOLID FUEL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,20840,OTHR ENERGY COSTS,B,premises,12,energy costs
COUNCIL  CUMBERLAND COUNCIL,2,20840,OTHR ENERGY COSTS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,20840,OTHR ENERGY COSTS,C,premises,44,energy
COUNCIL  CUMBERLAND COUNCIL,4,20840,OTHR ENERGY COSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21010,BUSINESS / NON-DOMESTIC RATES,B,premises,16,rates
COUNCIL  CUMBERLAND COUNCIL,2,21010,BUSINESS / NON-DOMESTIC RATES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21010,BUSINESS / NON-DOMESTIC RATES,C,premises,52,rates
COUNCIL  CUMBERLAND COUNCIL,4,21010,BUSINESS / NON-DOMESTIC RATES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21050,ANNUAL RENTS/LEASES,B,premises,14,rents
COUNCIL  CUMBERLAND COUNCIL,2,21050,ANNUAL RENTS/LEASES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21050,ANNUAL RENTS/LEASES,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,21050,ANNUAL RENTS/LEASES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21060,CASUAL HIRE-PREMISES/VENUES,B,premises,14,rents
COUNCIL  CUMBERLAND COUNCIL,2,21060,CASUAL HIRE-PREMISES/VENUES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21060,CASUAL HIRE-PREMISES/VENUES,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,21060,CASUAL HIRE-PREMISES/VENUES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21065,"GRND RENTS,WAYLEAVES & EASMNTS",B,premises,14,rents
COUNCIL  CUMBERLAND COUNCIL,2,21065,"GRND RENTS,WAYLEAVES & EASMNTS",X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21065,"GRND RENTS,WAYLEAVES & EASMNTS",C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,21065,"GRND RENTS,WAYLEAVES & EASMNTS",A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21075,METERED WATER/ WATER RATES,B,premises,18,water services
COUNCIL  CUMBERLAND COUNCIL,2,21075,METERED WATER/ WATER RATES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21075,METERED WATER/ WATER RATES,C,premises,38,water & sewerage
COUNCIL  CUMBERLAND COUNCIL,4,21075,METERED WATER/ WATER RATES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21210,INST & MTCE-FIRE EXT & SEC SYS,B,premises,20,fixtures & fittings
COUNCIL  CUMBERLAND COUNCIL,2,21210,INST & MTCE-FIRE EXT & SEC SYS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21210,INST & MTCE-FIRE EXT & SEC SYS,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,21210,INST & MTCE-FIRE EXT & SEC SYS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21220,GENERAL FITTINGS,B,premises,20,fixtures & fittings
COUNCIL  CUMBERLAND COUNCIL,2,21220,GENERAL FITTINGS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21220,GENERAL FITTINGS,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,21220,GENERAL FITTINGS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21230,PROPERTY CONSUMABLES,B,premises,20,fixtures & fittings
COUNCIL  CUMBERLAND COUNCIL,2,21230,PROPERTY CONSUMABLES,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21230,PROPERTY CONSUMABLES,C,premises,2,building maint & improvemt
COUNCIL  CUMBERLAND COUNCIL,4,21230,PROPERTY CONSUMABLES,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21505,CLEANING MATERIALS,B,premises,24,cleaning & domestic supplies
COUNCIL  CUMBERLAND COUNCIL,2,21505,CLEANING MATERIALS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21505,CLEANING MATERIALS,C,premises,26,cleaning & caretaking
COUNCIL  CUMBERLAND COUNCIL,4,21505,CLEANING MATERIALS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21510,SWIMMING POOL CHEMICALS,B,premises,24,cleaning & domestic supplies
COUNCIL  CUMBERLAND COUNCIL,2,21510,SWIMMING POOL CHEMICALS,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21510,SWIMMING POOL CHEMICALS,E,supplies and services,50,special facilities
COUNCIL  CUMBERLAND COUNCIL,4,21510,SWIMMING POOL CHEMICALS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21515,PEST CONTROL,B,premises,24,cleaning & domestic supplies
COUNCIL  CUMBERLAND COUNCIL,2,21515,PEST CONTROL,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21515,PEST CONTROL,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,21515,PEST CONTROL,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21520,REFUSE COLLECTION,B,premises,24,cleaning & domestic supplies
COUNCIL  CUMBERLAND COUNCIL,2,21520,REFUSE COLLECTION,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21520,REFUSE COLLECTION,C,premises,60,other occupation costs
COUNCIL  CUMBERLAND COUNCIL,4,21520,REFUSE COLLECTION,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,21525,SEPTIC TANKS EMPTYING,B,premises,24,cleaning & domestic supplies
COUNCIL  CUMBERLAND COUNCIL,2,21525,SEPTIC TANKS EMPTYING,X,revenue,20,premises
COUNCIL  CUMBERLAND COUNCIL,3,21525,SEPTIC TANKS EMPTYING,C,premises,38,water & sewerage
