element level code 02 + description,version,nominal,nominal description,group,group description,category,category description
COUNCIL  CUMBERLAND COUNCIL,4,10107,STD PAY PROFSSNL SRVCS STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10110,STD PAY TEACHERS F/T,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10110,STD PAY TEACHERS F/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10110,STD PAY TEACHERS F/T,A,employee costs,2,teaching staff - full time
COUNCIL  CUMBERLAND COUNCIL,4,10110,STD PAY TEACHERS F/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10111,STD PAY TEACHERS P/T,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10111,STD PAY TEACHERS P/T,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10111,STD PAY TEACHERS P/T,A,employee costs,6,teaching staff - part time
COUNCIL  CUMBERLAND COUNCIL,4,10111,STD PAY TEACHERS P/T,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10112,STD PAY TEACHERS  PERIPATETIC,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10112,STD PAY TEACHERS  PERIPATETIC,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10112,STD PAY TEACHERS  PERIPATETIC,A,employee costs,6,teaching staff - part time
COUNCIL  CUMBERLAND COUNCIL,4,10112,STD PAY TEACHERS  PERIPATETIC,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10113,STD PAY SUPPLY TEACHERS,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10113,STD PAY SUPPLY TEACHERS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10113,STD PAY SUPPLY TEACHERS,A,employee costs,12,supply teaching staff
COUNCIL  CUMBERLAND COUNCIL,4,10113,STD PAY SUPPLY TEACHERS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10114,STD PAY EDUCTN WELF OFFCR,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10114,STD PAY EDUCTN WELF OFFCR,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10114,STD PAY EDUCTN WELF OFFCR,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10114,STD PAY EDUCTN WELF OFFCR,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10116,STD PAY LEARN SUPP TEACHING,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10116,STD PAY LEARN SUPP TEACHING,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10116,STD PAY LEARN SUPP TEACHING,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10116,STD PAY LEARN SUPP TEACHING,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10117,STD PAY LEARN SUPP NON-TEACHIN,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10117,STD PAY LEARN SUPP NON-TEACHIN,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10117,STD PAY LEARN SUPP NON-TEACHIN,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10117,STD PAY LEARN SUPP NON-TEACHIN,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10118,STD PAY SCHOOL GOVERNORS CLERK,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10118,STD PAY SCHOOL GOVERNORS CLERK,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10118,STD PAY SCHOOL GOVERNORS CLERK,A,employee costs,32,admin & clerical staff
COUNCIL  CUMBERLAND COUNCIL,4,10118,STD PAY SCHOOL GOVERNORS CLERK,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10123,STD PAY LIBRARY ASSISTANT,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10123,STD PAY LIBRARY ASSISTANT,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10123,STD PAY LIBRARY ASSISTANT,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10123,STD PAY LIBRARY ASSISTANT,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10128,STD PAY NON TEACH ASSTS,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10128,STD PAY NON TEACH ASSTS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10128,STD PAY NON TEACH ASSTS,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10128,STD PAY NON TEACH ASSTS,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10129,STD PAY OUT OF SCHL STFF,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10129,STD PAY OUT OF SCHL STFF,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10129,STD PAY OUT OF SCHL STFF,A,employee costs,50,other staff
COUNCIL  CUMBERLAND COUNCIL,4,10129,STD PAY OUT OF SCHL STFF,A,revenue,2,revenue income and expenditure
COUNCIL  CUMBERLAND COUNCIL,1,10130,STD PAY LAB TECHNS,A,employee costs,1,basic pay
COUNCIL  CUMBERLAND COUNCIL,2,10130,STD PAY LAB TECHNS,X,revenue,10,employees
COUNCIL  CUMBERLAND COUNCIL,3,10130,STD PAY LAB TECHNS,A,employee costs,18,education support staff
COUNCIL  CUMBERLAND COUNCIL,4,10130,STD PAY LAB TECHNS,A,revenue,2,revenue income and expenditure
