"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Company,Supplier Number,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,12/09/2023,149901,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"31,471.75",
WF,SU000060    ,SU84459,B & K BUILDERS LTD,12/09/2023,149901,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,2,"18,845.00",
WF,SU000060    ,SU84459,B & K BUILDERS LTD,14/09/2023,153856,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"2,359.00",
WF,SU000060    ,SU84459,B & K BUILDERS LTD,14/09/2023,153856,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"4,276.00",
WF,SU000060    ,SU84459,B & K BUILDERS LTD,14/09/2023,153857,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,146.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,14/09/2023,153857,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,266.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,15/09/2023,154693,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,"SPORTS&P.E.EQUIP-PURCH, REPAIR",Revenue,1,"2,260.00",
WF,SU000060    ,SU84459,B & K BUILDERS LTD,20/09/2023,159487,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"1,004.40",
WF,SU000060    ,SU84459,B & K BUILDERS LTD,20/09/2023,159487,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,2,226.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,25/09/2023,161993,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,180.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,25/09/2023,161993,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,675.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,25/09/2023,161995,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,35.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,25/09/2023,161995,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,320.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,25/09/2023,161996,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,821.00,
WF,SU000060    ,SU84459,B & K BUILDERS LTD,25/09/2023,161996,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"1,150.00",
WF,SU000069    ,SU97095,BORDER FOOD MACHINERY LTD,14/09/2023,153678,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1522501,PENRUDDOCK SCHOOL             ,MEAL COSTS,Revenue,1,607.00,
WF,SU000072    ,SU101307,CHRIS BOWKER LTD,07/09/2023,147186,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1101101,BARROW HINDPOOL NURSERY SCHOOL,REPAIRS & MAINTENANCE,Revenue,1,939.49,
WF,SU000080    ,SU112539,BRAMPTON WOODWORKS,12/09/2023,149817,THRIVING PLACES,SUSTAINABLE TRANSPORT&HIGHWAYS,5221001,COUNTRYSIDE ACCESS UNIT       ,GROUNDS MAINTENANCE,Revenue,1,836.00,
WF,SU000110    ,SU154659,W CLEMENTSON & SON,18/09/2023,155256,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1204001,NENTHEAD SCHOOL               ,BUILDING REPAIRS,Revenue,1,"2,790.72",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,03/09/2023,140771,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,GROUNDS MAINTENANCE,Revenue,1,555.46,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147168,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00040,BA00 Playground               ,GROUNDS MAINTENANCE,Revenue,1,"19,353.85",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147168,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00040,BA00 Playground               ,GROUNDS MAINTENANCE,Revenue,2,"2,266.44",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147239,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,GROUNDS MAINTENANCE,Revenue,1,323.67,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147350,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,SLDC Tipping & Disposal Chgs,Revenue,1,"2,795.27",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147356,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,GROUNDS MAINTENANCE,Revenue,1,"1,772.04",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147357,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGCM01,SL Cemeteries                 ,REPAIRS & MAINTENANCE,Revenue,1,"5,082.68",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,07/09/2023,147600,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,REPAIRS & MAINTENANCE,Revenue,1,618.58,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149184,THRIVING COMMUNITIES,HOUSING                       ,BA00212,BA00 HRA Estates              ,GROUNDS MAINTENANCE,Revenue,1,"6,833.00",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,1,"32,737.71",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,2,"25,829.09",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,3,"2,728.55",
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,4,736.95,
WF,SU000114    ,SU160275,CONTINENTAL LANDSCAPING LT,11/09/2023,149186,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,5,"1,897.87",
