"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,
Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU11451,ADT FIRE AND SECURITY PLC,12/10/2023,180683,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1330901,IVEGILL C OF E SCHOOL         ,REPAIRS & MAINTENANCE,Revenue,1,323.33
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,02/10/2023,168281,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"148,749.03"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,02/10/2023,168282,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,QSTRAMG,STRAMONGATE KENDAL DESIGN WORK,HIGHWAYS: CONTRACTOR,Capital,1,"145,888.65"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,16/10/2023,182229,CORPORATE BUDGETS,CORPORATE BUDGETS             ,6400601,MISC UNALLOCATED BUDGETS      ,CREDITORS OTH ENTITIES & INDIV,Capital,1,"99,887.70"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,18/10/2023,186184,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QMARVIL,MARINA VILLAGE                ,HIGHWAYS: CONTRACTOR,Capital,1,"100,000.00"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,18/10/2023,186184,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QMARVIL,MARINA VILLAGE                ,HIGHWAYS: CONTRACTOR,Capital,2,"195,411.35"
WF,SU84459,B & K BUILDERS LTD,02/10/2023,168283,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"41,229.01"
WF,SU84459,B & K BUILDERS LTD,02/10/2023,168283,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,2,"11,215.27"
WF,SU84459,B & K BUILDERS LTD,20/10/2023,187961,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,120.00
WF,SU84459,B & K BUILDERS LTD,20/10/2023,187961,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,530.00
