Body Name,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Barrow Borough Council,Street fittings,Street nameplates,03-May-23,200059613,Hughes Brothers,583.83
Barrow Borough Council,The park leisure centre,Water,18-May-23,200059835,Water Plus Ltd,962.43
Barrow Borough Council,Capitalised Planned Maintenance,Kitchens,25-May-23,200059905,Howdens Joinery Ltd,891.3
Barrow Borough Council,Housing Benefits Admin,Benefits private tenants,03-May-23,200059609,Liberata Uk Ltd,"3,121.33"
Barrow Borough Council,Disabled Facilities Grant,Grants,09-May-23,200059650,Ward Contracting Ltd,"8,235.87"
Barrow Borough Council,Major works maintenance - HRA,Door entry,25-May-23,200059898,Keith Wilson Elec Con Ltd,"3,500.00"
Barrow Borough Council,Customer services,Agency staff,11-May-23,200059746,James Andrews Recruitment Solutions,"1,015.00"
Barrow Borough Council,Street fittings,Seats,11-May-23,200059753,Hughes Brothers,644.04
Barrow Borough Council,Waste collection,Agency staff,03-May-23,200059587,ALS Managed Services,792.62
Barrow Borough Council,Barrow town hall,Buildings repairs and maintenance,25-May-23,200059899,Ward Contracting Ltd,"3,770.76"
Barrow Borough Council,The markets,Buildings repairs and maintenance,11-May-23,200059724,Bob Pedley Safety Services,600
Barrow Borough Council,Waste collection,Vehicle hire,11-May-23,200059712,Pye Motors,500
Barrow Borough Council,How Sweet it is 29.04.23,Recoverable charges,18-May-23,200059816,Nett UK Ltd,-838.3
Barrow Borough Council,Barrow Parish Council,Other expenses,18-May-23,200059841,Democracy Counts Ltd,"4,500.00"
Barrow Borough Council,Forum catering,Catering contract - Forum,11-May-23,200059762,Elior UK Ltd,"1,125.19"
Barrow Borough Council,Forum 28,Building cleaning,11-May-23,200059762,Elior UK Ltd,"3,031.90"
Barrow Borough Council,Recycling,Waste Transfer Charges,25-May-23,200059900,FCC Recycling (UK) Ltd,"15,107.11"
Barrow Borough Council,Recycling,Waste Transfer Charges,03-May-23,200059626,Sinkfall Recycling,525
Barrow Borough Council,Craven house,Gas,11-May-23,200059699,Corona Energy,908.41
Barrow Borough Council,The park leisure centre,Buildings repairs and maintenance,18-May-23,200059785,Phosters (FM) Ltd,"1,388.20"
Barrow Borough Council,Waste collection,Vehicle hire,18-May-23,200059780,CP Davidson & Sons Ltd,723.45
Barrow Borough Council,Housing repairs control account,Housing repairs invoices,18-May-23,200059856,Howdens Joinery Ltd,"1,319.89"
Barrow Borough Council,Off street car parking,Water,18-May-23,200059835,Water Plus Ltd,"3,872.69"
