"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,
Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU11451,ADT FIRE AND SECURITY PLC,13/11/2023,209237,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1331901,STAINTON C OF E SCHOOL        ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,428.20
WF,SU11451,ADT FIRE AND SECURITY PLC,15/11/2023,211790,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,391.97
WF,SU11451,ADT FIRE AND SECURITY PLC,27/11/2023,221624,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1331901,STAINTON C OF E SCHOOL        ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,446.80
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,01/11/2023,199660,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QRDSAFE,A592/A684 Road Safety Fnd Sch ,HIGHWAYS:EXTERNAL DESIGN STAFF,Capital,1,"20,004.15"
WF,SU39531,ASHLEA LTD,15/11/2023,212897,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,BA00048,BA00 Coast protection         ,VERGE MAINTENANCE,Revenue,1,"2,388.58"
WF,SU39531,ASHLEA LTD,15/11/2023,212898,THRIVING PLACES,CLIMATE & NATURAL ENVIRONMENT ,BA00048,BA00 Coast protection         ,VERGE MAINTENANCE,Revenue,1,"1,043.28"
WF,SU46551,ATKINSON BUILDING CONTRACTORS LTD,21/11/2023,216119,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1331501,PENRITH ST CATHERINES SCHOOL  ,BUILDING REPAIRS,Revenue,1,775.83
WF,SU84459,B & K BUILDERS LTD,01/11/2023,199661,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,333.00"
WF,SU84459,B & K BUILDERS LTD,01/11/2023,199661,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,420.00
WF,SU84459,B & K BUILDERS LTD,01/11/2023,199662,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"25,363.40"
WF,SU84459,B & K BUILDERS LTD,01/11/2023,199662,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,2,"27,281.00"
WF,SU84459,B & K BUILDERS LTD,03/11/2023,201224,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,450.00
WF,SU84459,B & K BUILDERS LTD,03/11/2023,201224,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,65.20
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207574,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,391.00
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207575,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,416.40
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207575,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"1,261.00"
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207576,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,178.00
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207576,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,492.00
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207577,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,940.00
WF,SU84459,B & K BUILDERS LTD,09/11/2023,207577,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"1,860.00"
WF,SU84459,B & K BUILDERS LTD,15/11/2023,212826,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,QCMBRES,CARE SERVICES                 ,CAPITAL ADDITIONS - OTHER,Capital,1,"26,785.75"
WF,SU84459,B & K BUILDERS LTD,15/11/2023,212826,CAPITAL COST CENTRES,CAPITAL -ADULT SOCIAL CARE    ,QCMBRES,CARE SERVICES                 ,CAPITAL ADDITIONS - OTHER,Capital,2,"20,744.25"
WF,SU84459,B & K BUILDERS LTD,20/11/2023,215401,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"5,659.87"
WF,SU84459,B & K BUILDERS LTD,24/11/2023,220808,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1270101,DALTON GEORGE ROMNEY JNR SCHL ,BUILDING REPAIRS,Revenue,1,"5,756.20"
WF,SU97095,BORDER FOOD MACHINERY LTD,02/11/2023,200516,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1331901,STAINTON C OF E SCHOOL        ,BUILDING REPAIRS,Revenue,1,598.00
WF,SU97095,BORDER FOOD MACHINERY LTD,02/11/2023,200521,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1331901,STAINTON C OF E SCHOOL        ,REPAIRS & MAINTENANCE,Revenue,1,364.00
WF,SU97095,BORDER FOOD MACHINERY LTD,02/11/2023,200620,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1330901,IVEGILL C OF E SCHOOL         ,PURCH/REPAIR -FURN EDUC USE,Revenue,1,257.50
WF,SU97095,BORDER FOOD MACHINERY LTD,15/11/2023,212732,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1337201,PATTERDALE C OF E SCHOOL      ,MEAL COSTS,Revenue,1,298.00
WF,SU97095,BORDER FOOD MACHINERY LTD,21/11/2023,216137,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1204601,"NORTH LAKES SCHOOL, PENRITH   ",REPAIRS & MAINTENANCE,Revenue,1,"1,260.00"
WF,SU97095,BORDER FOOD MACHINERY LTD,21/11/2023,216166,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1337201,PATTERDALE C OF E SCHOOL      ,REPAIRS & MAINTENANCE,Revenue,1,930.00
WF,SU98499,BORDER FLOOR LTD,07/11/2023,203057,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1241301,ULVERSTON CROFTLANDS INF SCHL ,CLEANING MATERIALS,Revenue,1,380.00
WF,SU160275,CONTINENTAL LANDSCAPING LT,02/11/2023,200535,THRIVING COMMUNITIES,HOUSING                       ,BA00212,BA00 HRA Estates              ,GROUNDS MAINTENANCE,Revenue,1,"6,946.57"
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203085,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGCM01,SL Cemeteries                 ,REPAIRS & MAINTENANCE,Revenue,1,"5,082.68"
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203088,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,REPAIRS & MAINTENANCE,Revenue,1,"4,023.20"
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203091,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,SLDC Tipping & Disposal Chgs,Revenue,1,"2,795.26"
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203094,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,GROUNDS MAINTENANCE,Revenue,1,323.67
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203099,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,GROUNDS MAINTENANCE,Revenue,1,"1,762.19"
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203100,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,GROUNDS MAINTENANCE,Revenue,1,"1,772.04"
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203102,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,REPAIRS & MAINTENANCE,Revenue,1,767.04
WF,SU160275,CONTINENTAL LANDSCAPING LT,07/11/2023,203105,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,SLGPK61,SL Parks                      ,REPAIRS & MAINTENANCE,Revenue,1,296.92
WF,SU160275,CONTINENTAL LANDSCAPING LT,21/11/2023,216080,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00039,BA00 Parks and open spaces    ,GROUNDS MAINTENANCE,Revenue,1,"32,737.71"
WF,SU160275,CONTINENTAL LANDSCAPING LT,21/11/2023,216080,THRIVING COMMUNITIES,COMMUNITY INFRASTRUCTURE      ,BA00038,BA00 Barrow park              ,GROUNDS MAINTENANCE,Revenue,2,"25,829.09"
