"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,
,,,,,,,,,,,,
Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU11451,ADT FIRE AND SECURITY PLC,15/05/23,36098,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,302.32
WF,SU11451,ADT FIRE AND SECURITY PLC,30/05/23,49428,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,353.13
WF,SU32511,ARC ELECTRICS,02/05/23,24879,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1305601,OLD HUTTON C OF E SCHOOL      ,SCHOOLS ONLY BLDING WK CAPITAL,Revenue,1,"2,085.00"
WF,SU46551,ATKINSON BUILDING CONTRACTORS LTD,09/05/23,30568,THRIVING PLACES,INCLUSIVE & GREEN GROWTH      ,ED03017,ED0Building Regulations       ,EDC Charges for services,Revenue,1,545.00
WF,SU59187,BAY BUILDING SERVICES LTD,10/05/23,34311,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"43,170.95"
WF,SU84459,B & K BUILDERS LTD,12/05/23,35369,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,808.50
WF,SU84459,B & K BUILDERS LTD,12/05/23,35370,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,630.00"
WF,SU84459,B & K BUILDERS LTD,16/05/23,37653,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,940.00
WF,SU84459,B & K BUILDERS LTD,23/05/23,44276,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,023.20"
WF,SU84459,B & K BUILDERS LTD,23/05/23,44276,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,972.00
