"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,
,,,,,,,,,,,,
Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,13/06/2023,65666,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QBAECAR,BAE CAR PARK                  ,HIGHWAYS: CONTRACTOR,Capital,1,"12,480.31"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,13/06/2023,65666,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QBAECAR,BAE CAR PARK                  ,HIGHWAYS: CONTRACTOR,Capital,2,"-12,480.31"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,13/06/2023,65666,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QBAECAR,BAE CAR PARK                  ,WIP RETENTIONS,Capital,3,"12,480.31"
WF,SU59187,BAY BUILDING SERVICES LTD,26/06/2023,77448,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,ADDITION LAND & BUILDINGS,Capital,1,"18,271.89"
WF,SU71823,BELL DECORATING GROUP LIMITED,21/06/2023,75752,CAPITAL COST CENTRES,CAPITAL - RESOURCES           ,QCORPPM,Corporate Property Plan Maint ,ADDITION LAND & BUILDINGS,Capital,1,"3,300.50"
WF,SU84459,B & K BUILDERS LTD,07/06/2023,57863,COUNTY COST CENTRES,,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,566
WF,SU84459,B & K BUILDERS LTD,07/06/2023,57863,COUNTY COST CENTRES,,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,"1,124.00"
WF,SU84459,B & K BUILDERS LTD,07/06/2023,57864,COUNTY COST CENTRES,,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,"1,454.64"
WF,SU84459,B & K BUILDERS LTD,07/06/2023,57864,COUNTY COST CENTRES,,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,2,220
WF,SU84459,B & K BUILDERS LTD,20/06/2023,72313,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1251201,BARROW RAMSDEN INF SCHOOL     ,BUILDING REPAIRS,Revenue,1,"1,834.00"
