Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-12-2023,0000191180,"4,124.03",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-12-2023,0000191180,336.29,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-12-2023,0000191180,"20,990.39",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,ALLPAY.NET LTD (NCR),6871069,01-12-2023,0000191190,570.56,0.00,Commission,209999,Financial Services Not Elsewhere Classif,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-12-2023,0000191193,"5,141.79",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-12-2023,0000191193,489.78,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-12-2023,0000191193,"19,400.22",0.00,Fuel,381600,Vehicle Mgt Leasing,
Local Taxpayers Account,Non-Service Payments,National Westminister Bank PLC (CHAPS),,01-12-2023,0000191194,431.24,0.00,Refunds,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-12-2023,0000191198,"1,243.37",0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-12-2023,0000191198,"4,260.43",0.00,Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,National Westminister Bank PLC (CHAPS),,01-12-2023,0000191201,251.10,0.00,Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191206,"5,259.65",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191207,"5,217.36",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191210,"4,830.26",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191212,"7,234.11",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191214,"6,973.86",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191215,"4,913.79",0.00,Credit Card Commission,201200,Financial Services Banking,
Car Parks,Highways & Transport Services,Worldpay (UK) Limited (NCR),,01-12-2023,0000191220,"4,905.89",0.00,Credit Card Commission,201200,Financial Services Banking,
