,Service Code,Expenditure Category,Payment Date,Transaction Number,Supplier,Net Amount
Westmorland and Furness Council,Corporate Costs,Professional Fees,01-Aug-23,DD010823,Security Plus,559.45
Westmorland and Furness Council,Homelessness,Accommodation,15-Aug-23,DD150823,Travelodge,816.76
Westmorland and Furness Council,Corporate Costs,Bank Charges,16-Aug-23,DD160823,HSBC,"1,826.14"
Westmorland and Furness Council,Corporate Costs,Bank Charges,16-Aug-23,DD160823,HSBC,563.04
Westmorland and Furness Council,Off Street Car Parking,Water,17-Aug-23,DD170823,Water Plus,"1,851.49"
Westmorland and Furness Council,Corporate Costs,Professional Fees,29-Aug-23,DD290823,Allpay,"2,715.69"
Westmorland and Furness Council,Corporate Costs,Bank Charges,29-Aug-23,DD290823,Pay360,831.09
