"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,
Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU11451,ADT FIRE AND SECURITY PLC,04/01/2024,259747,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,ED00500,ED00Town Hall                 ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,"1,189.32"
WF,SU11451,ADT FIRE AND SECURITY PLC,04/01/2024,259747,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,ED00502,ED00Mansion House             ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,2,"1,189.32"
WF,SU11451,ADT FIRE AND SECURITY PLC,08/01/2024,261250,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,484.00
WF,SU11451,ADT FIRE AND SECURITY PLC,08/01/2024,261252,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,920.88
WF,SU11451,ADT FIRE AND SECURITY PLC,08/01/2024,261256,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1701301,SANDSIDE LODGE SCHOOL         ,INST & MTCE-FIRE EXT & SEC SYS,Revenue,1,539.00
WF,SU11451,ADT FIRE AND SECURITY PLC,25/01/2024,281457,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1330901,IVEGILL C OF E SCHOOL         ,REPAIRS & MAINTENANCE,Revenue,1,347.51
WF,SU32511,ARC ELECTRICS,16/01/2024,269076,SCHOOLS,NON CHEQUE BOOK SCHOOLS       ,1337301,SELSIDE ENDOWED SCHOOL        ,HEALTH & SAFETY,Revenue,1,480.00
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,05/01/2024,260223,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,BA00100,BA00 Estates management       ,REPAIRS & MAINTENANCE,Revenue,1,"11,747.00"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,26/01/2024,282359,CAPITAL COST CENTRES,CAPITAL - THRIVING COMMUNITIES,QSTRAMG,STRAMONGATE KENDAL DESIGN WORK,HIGHWAYS: CONTRACTOR,Capital,1,"65,182.75"
WF,SU84459,B & K BUILDERS LTD,05/01/2024,260239,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"46,977.52"
WF,SU84459,B & K BUILDERS LTD,11/01/2024,266677,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"2,355.45"
WF,SU84459,B & K BUILDERS LTD,16/01/2024,269470,CAPITAL COST CENTRES,CAPITAL - CHILDRENS           ,QPCMSCH,Prioritised Cap Maint Projects,CAPITAL ADDITIONS - OTHER,Capital,1,"4,128.20"
WF,SU84459,B & K BUILDERS LTD,23/01/2024,276424,RESOURCES,ASSETS FLEET & CAPITAL PROG   ,7143301,MAINTENANCE & SERVICES        ,CONTRACTUAL PAYMENTS (MAIN),Revenue,1,415.90
