"Invoices Paid for Factor Suppliers, Sub-Contractors, Trade Suppliers for Westmorland & Furness",,,,,,,,,,,,
Company,coded supplier,Supplier Name,Date,System Reference,Directorate Description,Directorate Area,Cost Centre,Cost Centre Description,Expenditure Description,Type of Expenditure,Line Number,Line Amount
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,HIGHWAYS: CONTRACTOR,Capital,1,"1,357.31"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,HIGHWAYS: CONTRACTOR,Capital,2,71.44
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,WIP RETENTIONS,Capital,3,-71.44
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,HIGHWAYS: CONTRACTOR,Capital,4,"8,969.23"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,HIGHWAYS: CONTRACTOR,Capital,5,472.07
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,WIP RETENTIONS,Capital,6,-472.07
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,HIGHWAYS: CONTRACTOR,Capital,7,"1,175.62"
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,HIGHWAYS: CONTRACTOR,Capital,8,61.88
WF,SU33915,THOMAS ARMSTRONG (CONSTRUCTION) LTD,25/03/2024,341692,CAPITAL COST CENTRES,CAPITAL - THRIVING PLACES     ,QSLHTBS,H&T Bridges & Struct South Lks,WIP RETENTIONS,Capital,9,-61.88
WF,SU46551,ATKINSON BUILDING CONTRACTORS LTD,04/03/2024,317760,THRIVING PLACES,INCLUSIVE & GREEN GROWTH      ,ED03010,ED0Development Control&Enforce,EDC Charges for services,Revenue,1,"16,170.00"
