Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement Category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount,Purpose
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,05/06/2023,209172,5901.08,CERT BS-F12 22/23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,05/06/2023,210038,4538.67,CERT F12 2022/23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,05/06/2023,210051,11186,TIME SHEET 11.4.23-14.05.23 ML
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,05/06/2023,210052,1668.83,TIME SHEET 8.5.23 - 14.05.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Repairs & Renewals Fund,Equipment – purchase,LIFE FITNESS (UK) LTD,LIF002,05/06/2023,210075,7918.4,GYM EQUIPMENT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,09/06/2023,210036,-2535.18,CREDIT TH 01.9.22-30.9.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,09/06/2023,210041,2425.39,TH 1.9.22-30.9.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,BAKER MALLETT LLP,BAK010,09/06/2023,210245,1189.5,PLAN/TENDER/FEES NR30
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Management,Professional expenses,BAKER MALLETT LLP,BAK010,09/06/2023,210246,4290,PROJECT MANAGER MAY23 NR29
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Eden Leisure Centre & Appleby Swimming P,Building Maintenance - Leisure,A DAVIDSON LTD,DAV038,09/06/2023,210247,1836,CHANGING ROOM PENRITH LEISURE CENTRE
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Play areas - maintenance,Rural Playgrounds Ltd,PLA030,09/06/2023,210251,1762.5,SEESAW CLIFTON
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,09/06/2023,210252,3760,TIME SHEET M L 15.5.23-21.5.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Planning Services,Planning Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,09/06/2023,210253,3854,TIME SHEET M L 22.5.23-28.5.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Corporate Costs,National Fraud Initiative,CABINET OFFICE,CAB002,09/06/2023,210254,2660,INCOME FROM OGDS SALES OF FEES
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Human Resources Manager,Staff Development,Training Expenses,KILLGERM CHEMICALS LIMITED,KIL001,16/06/2023,210261,900,RSPH BPCA LEVEL2 PEST MANAGEMENT
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Distribution,DURHAM COUNTY COUNCIL,DUR008,16/06/2023,209972,2000,FELLFOOT FORWARD 22/23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Distribution,LIFESTYLE MEDIA GROUP LTD,CAT003,16/06/2023,210262,3435.05,BROCHURES 1-31.3.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Distribution,LIFESTYLE MEDIA GROUP LTD,CAT003,16/06/2023,210263,2764.58,COMPLETION 10K LEAD GEN CAMPAIGN 2023
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Tourism Promotion,Distribution,LIFESTYLE MEDIA GROUP LTD,CAT003,16/06/2023,210264,2865.5,BROCHURES 1-30.4.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Museum,Electricity,NPOWER LTD,NPO001,16/06/2023,210269,1310.22,TIC APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Museum,Electricity,NPOWER LTD,NPO001,16/06/2023,210270,991.89,TIC MAY 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,16/06/2023,210271,3018.79,TH MAY23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,16/06/2023,210272,3083.8,TH APR 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,16/06/2023,210273,1657.15,MH APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,16/06/2023,210274,1658.92,MH MAY 23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Electricity,NPOWER LTD,NPO001,16/06/2023,210288,919.57,TH ANNEXE APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,204105,1057.74,BIZ HUB 1.4.22-30.6.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,205389,3178.04,BIZHUB 1.7.22-10.08.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,206788,1275.39,BIZ HUB 1.10.22-31.12.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,208833,1411.69,BIZ HUB 1.1.23-31.3.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,209220,-1411.69,CREDIT FOR INVOICE 1164704348 24.3.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,209221,-1275.39,CREDIT FOR INV 1163429359 21.12.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,209222,-1057.74,CREDIT FOR INV1161670975 30.07.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Information Technology Manager,Information Technology,Printers Contract,Konica Minolta Business Solutions UK Limited,KON003,16/06/2023,209226,-3178.04,credit for inv1162389659 30.9.22
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Administrative Buildings,Gas,BRITISH GAS TRADING LIMITED,BRI005,30/06/2023,210293,823.77,CORNEY SQ 3.5.23-1.6.23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,30/06/2023,210294,2015,TIME SHEET 15.5.23-21.5.23 SF
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,30/06/2023,210295,2890.5,TIME SHEET 29.5.23-04.6.23 ML
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Environmental Services,Agency Staff,Stonehouse Recruitment Group Limited,STO020,30/06/2023,210376,3619,TIME SHEET 5.6-11.6.23 ML
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Land Management,Land Management Contract,WALTON GOODLAND LTD,WAL008,30/06/2023,210385,1928.5,RATE FOR SURVEYOR APR23
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Financial Services Manager,Suspense Account,Balance Sheet entry BS,INLAND REVENUE,INL003,30/06/2023,210390,119025,HOC TAX LIBILITY
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Capital grants,LAKE DISTRICT ESTATES CO LTD,LAK018,30/06/2023,210395,17500,1ST PAYMENT CHANGING PLACE- INSPIRE EDEN
Westmorland and Furness Council,http://opendatacommunities.org/id/district-council/eden,Commercial Services Manager,Economic Development and Promotion,Capital grants,TEBAY SERVICES HOTEL,TEB007,30/06/2023,210396,15000,1ST PAYMENT CHANGING PLACE- INSPIRE EDEN
