"Invoices Paid for Direct Payments, Foster/Adoption/Pathway Payments for Westmorland & Furness Council",,,,,,,,,
,,,,,,,,,
company,coded supplier,Date,Directorate Description,Directorate Area,System Reference,Expenditure Description,Type of Expenditure ,Line Number,Line Amount
WF,DP723279,16/05/2023,COUNTY COST CENTRES,,37032,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,051.08"
WF,DP737319,16/05/2023,COUNTY COST CENTRES,,37033,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,098.80"
WF,DP744339,16/05/2023,COUNTY COST CENTRES,,37034,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,612
WF,DP752763,16/05/2023,COUNTY COST CENTRES,,37035,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,065.08"
WF,DP756975,16/05/2023,COUNTY COST CENTRES,,37036,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,724.96"
WF,DP759783,16/05/2023,COUNTY COST CENTRES,,37037,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,759
WF,DP853851,16/05/2023,COUNTY COST CENTRES,,37039,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,598.32"
WF,DP887547,15/05/2023,COUNTY COST CENTRES,,36105,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,427.72"
WF,DP919839,16/05/2023,COUNTY COST CENTRES,,37040,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,280
WF,DP966171,16/05/2023,COUNTY COST CENTRES,,37041,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,704.16"
WF,DP1033563,16/05/2023,COUNTY COST CENTRES,,37042,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,043.16"
WF,DP1123419,16/05/2023,COUNTY COST CENTRES,,37043,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,755.16"
WF,DP1129035,16/05/2023,COUNTY COST CENTRES,,37044,INDIVIDUAL SERVICE FUNDS,Revenue,1,"3,276.00"
WF,DP1130439,16/05/2023,COUNTY COST CENTRES,,37046,INDIVIDUAL SERVICE FUNDS,Revenue,1,"3,175.60"
WF,DP1159923,16/05/2023,COUNTY COST CENTRES,,37048,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,962.36"
WF,DP1169751,16/05/2023,COUNTY COST CENTRES,,37049,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,664.00"
WF,DP1172559,16/05/2023,COUNTY COST CENTRES,,37050,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,474.96
WF,DP1199235,16/05/2023,COUNTY COST CENTRES,,37051,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,804
WF,DP1275051,16/05/2023,COUNTY COST CENTRES,,37052,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,221.84"
WF,DP1279263,16/05/2023,COUNTY COST CENTRES,,37053,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"5,373.32"
WF,DP1282071,16/05/2023,COUNTY COST CENTRES,,37054,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"2,816.20"
WF,DP1293303,16/05/2023,COUNTY COST CENTRES,,37055,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"3,006.76"
WF,DP1355079,16/05/2023,COUNTY COST CENTRES,,37056,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,946.32
WF,DP1363503,15/05/2023,COUNTY COST CENTRES,,36106,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,820.4
WF,DP1421067,16/05/2023,COUNTY COST CENTRES,,37057,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,465.92
WF,DP1492671,16/05/2023,COUNTY COST CENTRES,,37058,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,075.40"
WF,DP1506711,15/05/2023,COUNTY COST CENTRES,,36107,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,719.76
WF,DP1555851,16/05/2023,COUNTY COST CENTRES,,37059,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,952.12
WF,DP1701867,16/05/2023,COUNTY COST CENTRES,,37060,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,516.24"
WF,DP1756623,15/05/2023,COUNTY COST CENTRES,,36108,DIRECT PAYMENTS TO SERVICE USE,Revenue,1,"1,281.68"
