Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-07-2023,0000191009,"4,643.09",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-07-2023,0000191009,718.58,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-07-2023,0000191009,"18,090.64",0.00,Fuel,381600,Vehicle Mgt Leasing,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-07-2023,0000191012,"14,834.66",0.00,Commission,261500,HR Training & Conferences,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-07-2023,0000191013,"2,123.43",0.00,Credit Card Commission,261500,HR Training & Conferences,
Bank Charges,Central Services,ACCESS PAYSUITE LTD,,01-07-2023,0000191013,"7,954.10",0.00,Commission,261500,HR Training & Conferences,
Support Services,Central Services,MIDLAND SOFTWARE LTD,01852206,01-07-2023,0000191014,"5,372.15",0.00,Software Maintenance,271600,ICT Software Customised & Bespoke,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-07-2023,0000191015,"4,326.12",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-07-2023,0000191015,892.19,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-07-2023,0000191015,"17,974.35",0.00,Fuel,381600,Vehicle Mgt Leasing,
Other Items,Central Services,EBSS AF ENERGY REBATES,,21-07-2023,0000191020,400.00,0.00,Emergency Relief Grants,201711,Financial Services-Grants-Non Charity,
