Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,Supplier,SupplierRegisteredCompanyNumber,PaymentDate,TransactionNumber,NetAmount,IrrecoverableVAT,PurposeOfExpenditureNarrative,Procurement(Merchant)Category,ProClass,ProClass 
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191269,"4,694.82",0.00,Fuel,381600,Vehicle Mgt Leasing,
Transport,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191269,430.03,0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191269,"15,332.86",0.00,Fuel,381600,Vehicle Mgt Leasing,
Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,E ON NEXT ENERGY (DIRECT DEBIT),,01-03-2024,0000191317,532.14,0.00,Electricity,371000,Utilities Electricity,
Parks and Open Spaces,Cultural Environmental Regulatory & Planning Services,E ON NEXT ENERGY (DIRECT DEBIT),,01-03-2024,0000191318,632.91,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191342,358.32,0.00,Electricity,371000,Utilities Electricity,
Town View Field Hostel,Housing Services,NPOWER LTD (NCR),,01-03-2024,0000191343,744.42,0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191344,885.16,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191347,"5,580.76",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191347,"2,208.82",0.00,Electricity,371000,Utilities Electricity,
Street Cleansing,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191352,"4,409.43",0.00,Fuel,381600,Vehicle Mgt Leasing,
Kerbside Coll Recycling Client,Cultural Environmental Regulatory & Planning Services,ALLSTAR BUSINESS SOLUTIONS LTD (NCR),2631112,01-03-2024,0000191352,"17,946.17",0.00,Fuel,381600,Vehicle Mgt Leasing,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191353,"1,193.43",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191361,747.85,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191363,"4,715.03",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191363,"1,866.16",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191365,745.01,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191367,"4,697.20",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191367,"1,859.11",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191369,729.82,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191371,"4,601.64",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191371,"1,821.29",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191373,728.92,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191375,"4,595.57",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191375,"1,818.88",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191378,"1,077.78",0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191379,"6,795.10",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191379,"2,689.43",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191382,855.20,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191383,"5,391.98",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191383,"2,134.09",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191386,969.41,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191387,"6,111.99",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191387,"2,419.07",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191390,"1,008.15",0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191391,"6,356.25",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191391,"2,515.74",0.00,Electricity,371000,Utilities Electricity,
Lake Windermere,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191392,"2,690.24",0.00,Electricity,371000,Utilities Electricity,
Recreation Grounds,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191395,290.06,0.00,Electricity,371000,Utilities Electricity,
SLDC Depots,Transport Planning Policy,NPOWER LTD (NCR),,01-03-2024,0000191396,"1,104.31",0.00,Electricity,371000,Utilities Electricity,
SLDC Depots,Transport Planning Policy,NPOWER LTD (NCR),,01-03-2024,0000191397,277.81,0.00,Electricity,371000,Utilities Electricity,
Offices,Central Services,NPOWER LTD (NCR),,01-03-2024,0000191400,268.16,0.00,Electricity,371000,Utilities Electricity,
District Special Expenses,Highways & Transport Services,NPOWER LTD (NCR),,01-03-2024,0000191407,"5,137.19",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191407,"2,033.25",0.00,Electricity,371000,Utilities Electricity,
Parish Lighting,Council as Agent,NPOWER LTD (NCR),,01-03-2024,0000191408,814.80,0.00,Electricity,371000,Utilities Electricity,
Town View Field Hostel,Housing Services,NPOWER LTD (NCR),,01-03-2024,0000191411,722.73,0.00,Electricity,371000,Utilities Electricity,
Lake Windermere,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191413,"2,689.96",0.00,Electricity,371000,Utilities Electricity,
Car Parks,Highways & Transport Services,ACCESS PAYSUITE LTD,,01-03-2024,0000191416,"3,151.05",0.00,Credit Card Commission,261500,HR Training & Conferences,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191420,296.86,0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191423,"1,035.06",0.00,Electricity,371000,Utilities Electricity,
Offices,Central Services,NPOWER LTD (NCR),,01-03-2024,0000191426,270.96,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191428,450.95,0.00,Electricity,371000,Utilities Electricity,
Museum,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191431,"1,112.74",0.00,Electricity,371000,Utilities Electricity,
Offices,Central Services,NPOWER LTD (NCR),,01-03-2024,0000191437,265.89,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191438,594.68,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191439,560.07,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191440,520.71,0.00,Electricity,371000,Utilities Electricity,
Offices,Central Services,NPOWER LTD (NCR),,01-03-2024,0000191441,265.88,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191442,656.03,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191444,591.27,0.00,Electricity,371000,Utilities Electricity,
Economic Development,Cultural Environmental Regulatory & Planning Services,NPOWER LTD (NCR),,01-03-2024,0000191446,676.41,0.00,Electricity,371000,Utilities Electricity,
