Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £
89222233,Streetsmart,Streetsmart,Waste - Disposal,Supplies and Services,Materials,1ST IMPRESSIONS SIGNS & GRAPHICS LTD,SN1 ,02/06/2023,"1,850.00"
90784233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,14/06/2023,"1,500.03"
89538233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,07/06/2023,"1,140.18"
89842233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,09/06/2023,-3.80
90809245,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,16/06/2023,897.87
90809244,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,16/06/2023,"1,099.98"
91879241,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,23/06/2023,-3.80
92860243,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,30/06/2023,-162.87
92860242,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,30/06/2023,"1,099.98"
92860243,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,30/06/2023,897.87
91879243,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,23/06/2023,"1,099.98"
89843233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,09/06/2023,"1,500.03"
92860240,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Carers,247 HOME CARE LTD,SN5 ,30/06/2023,154.56
92860240,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,30/06/2023,"1,100.56"
89842233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,09/06/2023,"1,184.82"
