Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
95270233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),CATHEDRAL HOMES,GL1 ,14/07/2023,843.75,,,,
95270233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),CATHEDRAL HOMES,GL1 ,14/07/2023,"4,031.25",,,,
95270233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Supported Living,CATHEDRAL HOMES,GL1 ,14/07/2023,-517.75,,,,
95270233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),CATHEDRAL HOMES,GL1 ,14/07/2023,"2,132.85",,,,
95270233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Personal Budget - Fairer Charging,CATHEDRAL HOMES,GL1 ,14/07/2023,-227.00,,,,
97667233,Museums & Heritage,Culture & Heritage,Steam:Operations,3rd Party Payments,Contract Payments,CATHEDRAL LEASING LIMITED,B77 ,31/07/2023,"1,089.48",,,,
96546233,Early Help,Early Intervention & Prevention,"Holiday, Activities & Food Grant",3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN5 ,26/07/2023,"1,008.00",,,,
94544233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN5 ,12/07/2023,573.16,,,,
95859233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN6 ,21/07/2023,"2,280.00",,,,
95859233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Supported Accommodation Scheme,REDACTED PERSONAL DATA,SN6 ,21/07/2023,"1,480.00",,,,
96912233,Legal Services,Legal Services,Committees,Supplies and Services,Services,REDACTED PERSONAL DATA,CF36,26/07/2023,700.00,,,,
96202233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,CELTIC CARE SERVICES LTD,SN15,21/07/2023,"1,612.80",,,,
96200233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,CELTIC CARE SERVICES LTD,SN15,21/07/2023,"2,903.04",,,,
96201233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,CELTIC CARE SERVICES LTD,SN15,21/07/2023,645.12,,,,
93849233,Legal Services,Legal Services,Legal Services,Employees,Training,CENTRAL LAW TRAINING (SCOTLAND) LTD,G1 3,07/07/2023,995.00,,,,
94972260,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CENTRAL PRE-SCHOOL,SN1 ,12/07/2023,"8,220.41",,,,
96536233,Early Help,Early Intervention & Prevention,"Holiday, Activities & Food Grant",3rd Party Payments,Contracts - Child Care,CENTRAL PRE-SCHOOL,SN1 ,26/07/2023,"1,386.00",,,,
94972261,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CENTRAL PRE-SCHOOL,SN1 ,12/07/2023,"1,216.80",,,,
94972259,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,CENTRAL PRE-SCHOOL,SN1 ,12/07/2023,541.01,,,,
94884234,Public Health,Public Health,Affordable Warmth,Supplies and Services,Service Charges,CENTRE FOR SUSTAINABLE ENERGY,BS1 ,12/07/2023,"10,000.00",,,,
95797233,Public Health,Public Health,Supplementary SMTR Grant,3rd Party Payments,Contract Payments,CHANGE GROW LIVE SERVICES LTD,BN1 ,19/07/2023,"5,000.00",,,,
96892233,Public Health,Public Health,Supplementary SMTR Grant,3rd Party Payments,Contract Payments,CHANGE GROW LIVE SERVICES LTD,BN1 ,26/07/2023,"3,000.00",,,,
95798233,Public Health,Public Health,Supplementary SMTR Grant,3rd Party Payments,Contract Payments,CHANGE GROW LIVE SERVICES LTD,BN1 ,19/07/2023,"43,451.71",,,,
96958239,Streetsmart,Streetsmart,Waste - Disposal,Supplies and Services,Materials,CHAPEL END INNOVATION LTD,PE26,28/07/2023,"1,562.00",,,,
93620233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,05/07/2023,75.29,,,,
94712233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,12/07/2023,56.97,,,,
94711233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,12/07/2023,437.76,,,,
96735233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,26/07/2023,449.55,,,,
93620233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,05/07/2023,763.50,,,,
96735233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,26/07/2023,30.83,,,,
94712233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,12/07/2023,497.92,,,,
96735233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHAPPLE & JENKINS LTD,BS15,26/07/2023,37.51,,,,
93575233,Streetsmart,Streetsmart,Waterside Canteen,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,05/07/2023,788.36,,,,
94711233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHAPPLE & JENKINS LTD,BS15,12/07/2023,23.09,,,,
96750233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,CHARLES HOPES HOLDINGS LIMITED,SO15,26/07/2023,"2,100.00",,,,
96424233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,CHARLES HOPES HOLDINGS LIMITED,SO15,24/07/2023,"4,200.00",,,,
95660233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,CHARLES HOPES HOLDINGS LIMITED,SO15,24/07/2023,"-1,125.00",,,,
96425233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,CHARLES HOPES HOLDINGS LIMITED,SO15,24/07/2023,"2,100.00",,,,
95189233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,CHARLES HOPES HOLDINGS LIMITED,SO15,14/07/2023,"12,000.00",,,,
95184233,Homelessness and Travellers,Housing Services,Bed and Breakfast Accommodation,Transfer Payments,Payment of Costs,CHARLES HOPES HOLDINGS LIMITED,SO15,14/07/2023,"6,300.00",,,,
96747233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,9.98,,,,
96712233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,902.18,,,,
96709234,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,26/07/2023,62.49,,,,
96712233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,10.30,,,,
96702233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,154.53,,,,
93610233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,159.45,,,,
96702233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,484.75,,,,
94693233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,12/07/2023,47.76,,,,
93599234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,575.51,,,,
96749234,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,467.17,,,,
94710233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,12/07/2023,756.21,,,,
94710233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,12/07/2023,143.28,,,,
93568233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,139.87,,,,
93599234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,41.41,,,,
96747233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,380.16,,,,
96712233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,26/07/2023,48.74,,,,
94710233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,12/07/2023,138.18,,,,
93891234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,07/07/2023,35.66,,,,
94693233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,12/07/2023,729.79,,,,
93895234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,07/07/2023,428.40,,,,
93891234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,07/07/2023,220.94,,,,
93599234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,158.23,,,,
96709234,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,26/07/2023,414.92,,,,
96724234,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,536.73,,,,
93609233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,329.65,,,,
94693233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,12/07/2023,245.10,,,,
93895234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,07/07/2023,125.61,,,,
96749234,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,109.55,,,,
93606233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,05/07/2023,12.09,,,,
94697233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,12/07/2023,620.48,,,,
94697233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,12/07/2023,191.04,,,,
93606233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,"2,074.36",,,,
93606233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,356.42,,,,
93609233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,312.04,,,,
96759233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,472.84,,,,
96724234,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,152.73,,,,
93610233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,205.89,,,,
96749234,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,26/07/2023,34.20,,,,
93566233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,330.84,,,,
93568233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,05/07/2023,25.21,,,,
96747233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,26/07/2023,55.27,,,,
96747233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,158.23,,,,
93891234,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,07/07/2023,594.90,,,,
96759233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,70.85,,,,
93568233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,"1,115.53",,,,
93610233,Lydiard Park,Culture & Heritage,Lydiard : Coach House Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,220.94,,,,
93566233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Materials,CHARLES SAUNDERS LTD,BS37,05/07/2023,134.07,,,,
96724234,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,143.28,,,,
96712233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,26/07/2023,19.98,,,,
93568233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Confectionary,CHARLES SAUNDERS LTD,BS37,05/07/2023,50.87,,,,
93606233,Lydiard Park,Culture & Heritage,Lydiard : Forest Café,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,239.29,,,,
93566233,Lydiard Park,Culture & Heritage,Lydiard : Hotel Operations,Supplies and Services,Food,CHARLES SAUNDERS LTD,BS37,05/07/2023,59.97,,,,
94972456,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CHEEKY CHIMPS,SN2 ,12/07/2023,"7,410.99",,,,
94972457,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CHEEKY CHIMPS,SN2 ,12/07/2023,"1,784.64",,,,
94972455,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,CHEEKY CHIMPS,SN2 ,12/07/2023,"1,747.00",,,,
94640239,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CHILD BASE NURSERIES,MK16,12/07/2023,"15,871.46",,,,
95649250,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CHILD BASE NURSERIES,MK16,19/07/2023,"1,656.00",,,,
94962243,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,12/07/2023,620.00,,,,
96852246,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,26/07/2023,560.00,,,,
96153234,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,760.00,,,,
96789233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,26/07/2023,680.00,,,,
94962245,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,12/07/2023,780.00,,,,
94962246,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,12/07/2023,520.00,,,,
96153235,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,640.00,,,,
96153237,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,65.00,,,,
96153238,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,880.00,,,,
96153237,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,130.00,,,,
96787233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,26/07/2023,480.00,,,,
96153237,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,325.00,,,,
94962241,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,12/07/2023,580.00,,,,
96153239,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,820.00,,,,
96786233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,26/07/2023,480.00,,,,
94962242,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,12/07/2023,440.00,,,,
96153237,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,260.00,,,,
96788233,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,26/07/2023,680.00,,,,
96153236,Responsive Repairs,Repairs,Responsive Repairs,3rd Party Payments,Contract Payments,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,440.00,,,,
96241233,Parking & Bus lanes,Highway Operations and Car Parking,Car Parking,Premises Costs,Maintenance - Buildings,CHILD SCAFFOLDING LTD,SN1 ,21/07/2023,"2,516.00",,,,
96371233,Parking & Bus lanes,Highway Operations and Car Parking,Street Parking,Supplies and Services,Materials,CHIPSIDE LTD,SN15,21/07/2023,355.95,,,,
96371233,Parking & Bus lanes,Highway Operations and Car Parking,Street Parking,Supplies and Services,Materials,CHIPSIDE LTD,SN15,21/07/2023,601.92,,,,
96371233,Parking & Bus lanes,Highway Operations and Car Parking,Bus Lane Enforcement,Supplies and Services,Materials,CHIPSIDE LTD,SN15,21/07/2023,259.35,,,,
96371233,Parking & Bus lanes,Highway Operations and Car Parking,Bus Lane Enforcement,Supplies and Services,Materials,CHIPSIDE LTD,SN15,21/07/2023,"2,308.50",,,,
94077233,Parking & Bus lanes,Highway Operations and Car Parking,Street Parking,Supplies and Services,Fees,CHIPSIDE LTD,SN15,07/07/2023,919.24,,,,
94545233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,CHISELDON PRIMARY SCHOOL,SN4 ,12/07/2023,"4,028.39",,,,
95094233,Schools - Primary,DSG Skills and Attainment,Primary School Budgets,3rd Party Payments,Mainstream Delegated Funding,CHISELDON PRIMARY SCHOOL,SN4 ,14/07/2023,"71,288.00",,,,
94546233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - two year olds,3rd Party Payments,Contracts - Child Care,CHISELDON PRIMARY SCHOOL,SN4 ,12/07/2023,862.24,,,,
95115233,DSG Other Funding,DSG Skills and Attainment,DFE Additional Grants,3rd Party Payments,Payment of Pupil Premium to school,CHISELDON PRIMARY SCHOOL,SN4 ,14/07/2023,"5,632.00",,,,
95284233,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Residential Care,CHOSEN CARE LTD,GL3 ,14/07/2023,"9,752.70",,,,
95284233,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Residential,CHOSEN CARE LTD,GL3 ,14/07/2023,-974.00,,,,
95284233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Residential Care,CHOSEN CARE LTD,GL3 ,14/07/2023,"9,539.60",,,,
95284233,Learning Disabilities,Adults,Learning Disability 18 - 64,Income,Client Contribution - Residential,CHOSEN CARE LTD,GL3 ,14/07/2023,-500.60,,,,
95284233,Learning Disabilities,Adults,Learning Disability 18 - 64,3rd Party Payments,Residential Care,CHOSEN CARE LTD,GL3 ,14/07/2023,"9,549.40",,,,
96864233,Care Management & Safeguarding,Adults,Mental Capacity & DOL,3rd Party Payments,Contracts - Social Care,CHRIS HORNE BIA/AMHP LIMITED,OX18,26/07/2023,532.40,,,,
97349440,Physical Support,Adults,Physical Support 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN25,31/07/2023,874.61,,,,
97607288,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN6 ,31/07/2023,699.84,,,,
95559280,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN6 ,17/07/2023,"1,055.64",,,,
95559279,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN6 ,17/07/2023,699.84,,,,
93406354,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN6 ,03/07/2023,699.84,,,,
97607289,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN6 ,31/07/2023,"1,055.64",,,,
93406355,Social Care,"Children, Families and Community Health Services",Placement Adoption Service,3rd Party Payments,Adoption Allowances,REDACTED PERSONAL DATA,SN6 ,03/07/2023,"1,055.64",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,174.16,,,,
95320233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"3,736.20",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-758.15,,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"7,890.35",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"8,368.55",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-954.05,,,,
95320233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"7,270.00",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"-10,057.61",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,"-1,231.15",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-775.35,,,,
95320233,Physical Support,Adults,Physical Support 18 - 64,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-690.65,,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-887.20,,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"-11,742.34",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,"-1,163.05",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-614.70,,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,"-1,249.55",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,-669.85,,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"-6,720.00",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"-2,252.89",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"3,736.20",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"8,120.00",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,"-1,611.20",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Nursing,CHURCH VIEW,SN3 ,14/07/2023,"-1,001.20",,,,
95320233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"11,742.34",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"11,264.47",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"3,584.15",,,,
95320233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Nursing Care,CHURCH VIEW,SN3 ,14/07/2023,"7,329.95",,,,
