Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £,,,,
94972234,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ABBEY MEADS COMMUNITY PRIMARY SCHOOL,SN25,12/07/2023,608.40,,,,
95416292,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Pre 16,ABBEY MEADS COMMUNITY PRIMARY SCHOOL,SN25,14/07/2023,"6,215.42",,,,
95138233,Public Health,Public Health,Sexual Health & Health Protection Budget,3rd Party Payments,Contract Payments,ABBEY MEADS MEDICAL GROUP,SN25,14/07/2023,574.00,,,,
95016242,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,12/07/2023,558.29,,,,
93914233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,07/07/2023,576.84,,,,
96212233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,21/07/2023,571.78,,,,
96957241,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,28/07/2023,571.78,,,,
95016248,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/07/2023,"1,106.00",,,,
95016247,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/07/2023,"1,106.00",,,,
93920233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,07/07/2023,"1,106.00",,,,
93919233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,07/07/2023,"1,106.00",,,,
93918233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,07/07/2023,"1,106.00",,,,
95016246,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/07/2023,"1,200.00",,,,
96957244,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,28/07/2023,"1,200.00",,,,
96216233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,21/07/2023,"1,106.00",,,,
96215233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,21/07/2023,"1,200.00",,,,
96217233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,21/07/2023,"1,106.00",,,,
93917233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,07/07/2023,"1,200.00",,,,
96957245,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,28/07/2023,"1,106.00",,,,
96957247,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,28/07/2023,"1,106.00",,,,
96218233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,21/07/2023,"1,106.00",,,,
96957246,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,28/07/2023,"1,106.00",,,,
95016249,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/07/2023,"1,106.00",,,,
96982233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Festival Payment,ABIDING LIMITED T/A ABIDING CARE,OX4 ,28/07/2023,15.00,,,,
96982233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),Transport Costs,Client Costs of Public Transport,ABIDING LIMITED T/A ABIDING CARE,OX4 ,28/07/2023,40.00,,,,
96982233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Clothing,ABIDING LIMITED T/A ABIDING CARE,OX4 ,28/07/2023,130.00,,,,
96982233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Cash Support,ABIDING LIMITED T/A ABIDING CARE,OX4 ,28/07/2023,592.20,,,,
94525233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN2 ,12/07/2023,"1,050.80",,,,
96861233,Customer Strategy & Operations,"People, Culture and Organisational Resilience",Registrar of Births etc.,Supplies and Services,Materials,ACORN PRESS SWINDON LTD,SN5 ,26/07/2023,536.00,,,,
96744401,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN8 ,26/07/2023,650.00,,,,
96744363,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN8 ,26/07/2023,700.00,,,,
95436233,Human Resources and Organisational Development,"People, Culture and Organisational Resilience",Organisational Development,Employees,Training,ACT NOW TRAINING LTD,WF12,14/07/2023,"1,605.00",,,,
95959233,Disabled Children,"Children, Families and Community Health Services",ICES Paediatric,Supplies and Services,Equipment,ACTIVATE FOR KIDS LTD,SP2 ,19/07/2023,435.66,,,,
95416349,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Post 16,ACTIVATE LEARNING EDUCATION TRUST,OX1 ,14/07/2023,660.83,,,,
95149233,DSG Other Funding,DSG Skills and Attainment,LAC pupil premium,3rd Party Payments,Education / Training,ACTIVE SUPPORT (LUTON) LIMITED,LU3 ,14/07/2023,800.00,,,,
97349325,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN4 ,31/07/2023,"1,290.77",,,,
97349606,Learning Disabilities,Adults,Learning Disability 18 - 64,Transfer Payments,Personal Budget - Direct Payments - Domiciliary Care,REDACTED PERSONAL DATA,SN3 ,31/07/2023,"2,219.29",,,,
