Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £
108305280,Social Care,Children & Families,Children's Resource and Home Finding Team,3rd Party Payments,Residential Care,4D CARE LTD,PE14,06/10/2023,"1,214.29"
111250237,School Transport,"Education, Inclusion and Skills",Mainstream School Transport,Transport Costs,Home to School Transport,4K TRAVEL LTD,SN1 ,27/10/2023,"5,108.40"
108313233,Property Service Charged Properties,Property,Service Charged - Carriageworks,Premises Costs,Waste,707 LTD T/A CLICK WASTE,NG24,06/10/2023,"2,892.90"
108982233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,11/10/2023,756.80
108983233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,11/10/2023,756.80
109162233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,13/10/2023,595.98
108984233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,11/10/2023,458.88
109701233,Sheltered Accomodation,Special Services,Sheltered Housing Management General,Employees,Training,A PLUS SAFETY & TRAINING SERVICES LTD,SN3 ,18/10/2023,"1,575.00"
108159233,Human Resources and Organisational Development,"People, Culture and Organisational Resilience",Organisational Development,Employees,Training,A PLUS SAFETY & TRAINING SERVICES LTD,SN3 ,06/10/2023,575.00
110552330,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,23/10/2023,800.00
109761233,Highways Schemes,Strategic Planning and Highways,Blunsdon High Street,Capital,Contractor Payments,A.H. WILLIS & SONS LTD,SN7 ,18/10/2023,"1,597.85"
107647234,Other Repairs,Repairs,Unallocated job costs from OPEN system,Premises Costs,Maintenance - Buildings,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,04/10/2023,431.14
111356240,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,27/10/2023,970.27
107651233,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,04/10/2023,"1,435.24"
110104233,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,20/10/2023,"1,239.07"
111625233,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,30/10/2023,"1,110.78"
