Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £
82451233,Travel,Highways & Transport,Concessionary Travel,3rd Party Payments,Concessionary Travel Subsidy,24/7 SWINDON TAXIS,SN4 ,21/04/2023,580.92
81982235,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,21/04/2023,-162.87
80753250,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,14/04/2023,946.45
81982234,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,21/04/2023,"1,161.89"
79663233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/04/2023,894.23
81982235,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,21/04/2023,946.45
79662233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/04/2023,"1,100.56"
79663233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/04/2023,-162.87
79662233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Carers,247 HOME CARE LTD,SN5 ,05/04/2023,151.44
79662233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/04/2023,-3.80
81982234,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Carers,247 HOME CARE LTD,SN5 ,21/04/2023,151.44
82823233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,24/04/2023,-3.80
81982234,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,21/04/2023,-3.80
79662234,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/04/2023,"1,099.98"
82823233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Carers,247 HOME CARE LTD,SN5 ,24/04/2023,176.68
82823233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,24/04/2023,"1,184.42"
81771233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,19/04/2023,"1,257.12"
80753250,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,14/04/2023,-162.87
80471233,School Transport,"Education, Inclusion and Skills",Mainstream School Transport,Transport Costs,Home to School Transport,4K TRAVEL LTD,SN2 ,12/04/2023,"6,527.40"
80472233,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,4K TRAVEL LTD,SN2 ,12/04/2023,"2,362.50"
81563235,Highways & Transport,Highways & Transport,Traffic Signalling,Premises Costs,Permanent Fixtures and Fittings,4WAY CONSULTING LTD,SK4 ,19/04/2023,657.70
82544344,Homelessness and Travellers,Housing Services,Leased Private Managed Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,24/04/2023,800.00
82423233,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,21/04/2023,960.53
80838234,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,ABBEY ELECTRICAL (SWINDON) LTD T/A ABBEY ELECTRICAL UK,SN6 ,14/04/2023,564.59
82138233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ABBEY FARM EDUCATE TOGETHER PRIMARY,SN25,19/04/2023,"7,013.71"
80930233,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Pre 16,ABBEY MEADS COMMUNITY PRIMARY SCHOOL,SN25,14/04/2023,"6,215.42"
82248234,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ABBEY MEADS COMMUNITY PRIMARY SCHOOL,SN25,19/04/2023,"32,623.67"
82442233,Public Health,Public Health,Sexual Health & Health Protection Budget,3rd Party Payments,Contract Payments,ABBEY MEADS MEDICAL GROUP,SN25,21/04/2023,646.00
83214233,Public Protection,Public Health,Food Safety,Supplies and Services,Materials,ABC FOOD LAW LIMITED,NR4 ,26/04/2023,"1,350.00"
81022233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,14/04/2023,605.60
80345233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,12/04/2023,571.78
83573233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,26/04/2023,586.96
83577233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,26/04/2023,"1,106.00"
83576233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,26/04/2023,"1,200.00"
80353233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/04/2023,"1,106.00"
81025233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,14/04/2023,"1,106.00"
81026233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,14/04/2023,"1,106.00"
80355233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/04/2023,"1,106.00"
82549276,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,21/04/2023,"1,200.00"
82010234,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,19/04/2023,"1,106.00"
80352233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/04/2023,"1,200.00"
81024234,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,14/04/2023,"1,106.00"
80354233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,12/04/2023,"1,106.00"
83578233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,26/04/2023,"1,106.00"
81024233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,14/04/2023,"1,200.00"
82011233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,19/04/2023,"1,106.00"
83579233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,26/04/2023,"1,106.00"
82012233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,19/04/2023,"1,106.00"
81542233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Semi Independent,ABIDING LIMITED T/A ABIDING CARE,OX4 ,19/04/2023,"15,511.08"
81541237,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Semi Independent,ABIDING LIMITED T/A ABIDING CARE,OX4 ,19/04/2023,"27,198.08"
82216233,Early Years Block,DSG Skills and Attainment,Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,REDACTED PERSONAL DATA,SN2 ,19/04/2023,"1,050.80"
80107233,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Vehicle Hire / Contract,ACCESS HIRE NATIONWIDE,WF6 ,12/04/2023,"1,527.86"
80106233,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Vehicle Hire / Contract,ACCESS HIRE NATIONWIDE,WF6 ,12/04/2023,"1,592.14"
80105233,Streetsmart,Streetsmart,Waterside Fleet Hires,Transport Costs,Vehicle Hire / Contract,ACCESS HIRE NATIONWIDE,WF6 ,12/04/2023,"1,585.43"
80294233,Digital & Business Change,Digital & Business Change,IT Systems,Supplies and Services,License Costs,ACCESS UK LTD,CO7 ,12/04/2023,"4,000.00"
80267233,Digital & Business Change,Digital & Business Change,IT Systems,Supplies and Services,License Costs,ACCESS UK LTD,CO7 ,12/04/2023,"54,412.02"
80292233,Digital & Business Change,Digital & Business Change,IT Systems,Supplies and Services,License Costs,ACCESS UK LTD,CO7 ,12/04/2023,"9,906.71"
80384233,Landscaping & Open Space,Culture & Heritage & Art,GWCF - Trees for Climate,Capital,Contractor Payments,ACCESSIBLE VEHICLE CONVERSIONS CIC,EX4 ,12/04/2023,"90,335.00"
82544403,Homelessness and Travellers,Housing Services,Leased Private Managed Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN8 ,24/04/2023,650.00
82544365,Homelessness and Travellers,Housing Services,Leased Private Managed Accommodation,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN8 ,24/04/2023,700.00
82545263,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"2,864.12"
82545269,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"3,660.17"
82545266,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"3,305.96"
82545265,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"3,305.96"
82545268,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"3,175.33"
82545267,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"3,170.99"
82545264,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"2,868.04"
82545270,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTION FOR CHILDREN,WD18,21/04/2023,"3,660.17"
82632233,Disabled Children,"Children, Families and Community Health Services",ICES Paediatric,Supplies and Services,Equipment,ACTIVATE FOR KIDS LTD,SP2 ,24/04/2023,"1,318.60"
80982233,High Needs Block,DSG Skills and Attainment,SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Post 16,ACTIVATE LEARNING EDUCATION TRUST,OX1 ,14/04/2023,"2,372.83"
81773233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTIVE CARE SOLUTIONS LTD,B60 ,19/04/2023,"3,256.80"
81308233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTIVE CARE SOLUTIONS LTD,B60 ,17/04/2023,"3,171.30"
81306233,Social Care,"Children, Families and Community Health Services",Children's Resource and Home Finding Team,3rd Party Payments,Independent Fostering Agency Placements,ACTIVE CARE SOLUTIONS LTD,B60 ,17/04/2023,"6,188.40"
81307233,Social Care,"Children, Families and Community Health Services",Unaccompanied Asylum Seeking Children (UASC),3rd Party Payments,Independent Fostering Agency Placements,ACTIVE CARE SOLUTIONS LTD,B60 ,17/04/2023,"4,205.40"
82421233,Adults - Staffing and Supporting People,Adults,ASC Leadership Team,Supplies and Services,Subscriptions,ADASS,SW1P,21/04/2023,"2,484.00"
82544364,Homelessness and Travellers,Housing Services,Leased Private Managed Accommodation,Transfer Payments,Payment of Costs,ADVANCE HOUSING & SUPPORT LTD,OX28,24/04/2023,"1,074.00"
80387233,Social Care,"Children, Families and Community Health Services",Legal Fees,Supplies and Services,Fees,ADVANCED CHILD CARE ASSESSMENTS LTD,PR7 ,12/04/2023,"3,228.60"
83224233,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,AFFLECK ELECTRICAL LTD,SN3 ,26/04/2023,709.64
83228233,Other Repairs,Repairs,Cyclical Maintenance,Supplies and Services,Testing / Inspection,AFFLECK ELECTRICAL LTD,SN3 ,26/04/2023,894.37
82506370,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,21/04/2023,"2,462.60"
82506370,Learning Disabilities,Adults,Learning Disability 65 and over,3rd Party Payments,Supported Lodgings (Childrens)/Supported Living (Adults),AGINCARE ENABLE LTD,DT5 ,21/04/2023,"5,835.00"
82506370,Learning Disabilities,Adults,Learning Disability 65 and over,Income,Client Contribution - Supported Living,AGINCARE ENABLE LTD,DT5 ,21/04/2023,-476.60
82506302,Physical Support,Adults,Physical Support 65 and over,Income,Client Contribution - Residential,AGINCARE LTD,DT5 ,21/04/2023,"-1,231.12"
82506302,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Residential Care,AGINCARE LTD,DT5 ,21/04/2023,"3,600.00"
80458233,Physical Support,Adults,Physical Support 65 and over,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,12/04/2023,"2,968.29"
80455233,Learning Disabilities,Adults,Learning Disability 18 - 64,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,12/04/2023,"5,934.71"
79982235,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,05/04/2023,"6,323.63"
80454233,Learning Disabilities,Adults,Learning Disability 18 - 64,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,12/04/2023,"20,778.00"
80457233,Physical Support,Adults,Physical Support 65 and over,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,12/04/2023,"5,934.71"
80460233,School Transport,"Education, Inclusion and Skills",Special Educational Needs Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,12/04/2023,"3,277.50"
81874234,Travel,Highways & Transport,Public Transport,3rd Party Payments,Contract Payments,AKCESS CIC,SN2 ,19/04/2023,"16,284.67"
79982237,School Transport,"Education, Inclusion and Skills",Mainstream School Transport,Transport Costs,Home to School Transport,AKCESS CIC,SN2 ,05/04/2023,"64,598.21"
80456233,Physical Support,Adults,Physical Support 65 and over,Transport Costs,Home to Centre Transport,AKCESS CIC,SN2 ,12/04/2023,"5,934.71"
