Transaction Number,Service - Fund ,Service  - Function ,Service - Cost Centre,Expense Type ,Expense Description,Supplier Name,Supplier Post Code (first 4 digits),Payment Date,Amount £
126456233,Stronger and Safer Communities,Stronger and Safer Communities,Community Safety Partnership,3rd Party Payments,Contract Payments,(COMMUNITY SAFETY PROFESSIONALS TRAINING) CSPT LIMITED,WA14,23/02/2024,"1,045.00"
127769233,Public Health,Public Health,Disabled Facilities Grants,Capital,Grant Payments,1ST CHOICE STAIRLIFTS LIMITED,SN11,28/02/2024,"5,791.00"
127741233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,28/02/2024,"2,179.56"
123777233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"3,703.20"
127741233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,28/02/2024,798.10
123777233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"-3,131.36"
127732233,"Volutary Sector, Equipment and Carers",Adults,Carers Short Term Breaks - Adults,3rd Party Payments,Carers,247 HOME CARE LTD,SN5 ,28/02/2024,618.24
127741233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,28/02/2024,"1,198.84"
123777233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"2,195.28"
127732233,"Volutary Sector, Equipment and Carers",Adults,Carers Short Term Breaks - Adults,3rd Party Payments,Carers,247 HOME CARE LTD,SN5 ,28/02/2024,-12.48
127741233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,28/02/2024,"3,269.34"
123777233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"6,182.40"
123777233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"1,583.12"
123777233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"2,336.35"
127741233,Physical Support,Adults,Physical Support 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,28/02/2024,"2,877.36"
123777233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,247 HOME CARE LTD,SN5 ,05/02/2024,"3,292.92"
124585233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,09/02/2024,"10,739.77"
124589233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,09/02/2024,"4,585.86"
125293233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,16/02/2024,"7,559.07"
124127233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,07/02/2024,"11,986.27"
124615234,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,09/02/2024,"6,056.24"
124519233,Streetsmart,Streetsmart,Waste - Processing,Transport Costs,Vehicle Hire / Contract,911 STAFFING LTD,SN2 ,09/02/2024,"5,401.06"
126572233,Human Resources and Organisational Development,"People, Culture and Organisational Resilience",Organisational Development,Employees,Training,A PLUS SAFETY & TRAINING SERVICES LTD,SN3 ,23/02/2024,575.00
126808233,Human Resources and Organisational Development,"People, Culture and Organisational Resilience",Organisational Development,Employees,Training,A PLUS SAFETY & TRAINING SERVICES LTD,SN3 ,23/02/2024,"1,725.00"
126242233,Homelessness and Travellers,Housing Services,Private Sector Landlords,Transfer Payments,Payment of Costs,REDACTED PERSONAL DATA,SN3 ,23/02/2024,800.00
124780233,Early Years Block,Dedicated Schools Grant (DSG),Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ABBEY FARM EDUCATE TOGETHER PRIMARY,SN25,14/02/2024,"14,731.20"
125063371,High Needs Block,Dedicated Schools Grant (DSG),SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Pre 16,ABBEY FARM EDUCATE TOGETHER PRIMARY,SN25,14/02/2024,690.42
123634233,Routes to Employment,"Education, Inclusion and Skills",Multiply,Supplies and Services,Grants to Organisations,ABBEY FARM EDUCATE TOGETHER PRIMARY,SN25,02/02/2024,"2,500.00"
124780234,Early Years Block,Dedicated Schools Grant (DSG),Free Nursery Education Commissioning - three & four  year olds,3rd Party Payments,Contracts - Child Care,ABBEY MEADS COMMUNITY PRIMARY SCHOOL,SN25,14/02/2024,"15,247.35"
125063307,High Needs Block,Dedicated Schools Grant (DSG),SEN Resourcing Assessment Panel,3rd Party Payments,Top up funding - Academies and Free Schools Pre 16,ABBEY MEADS COMMUNITY PRIMARY SCHOOL,SN25,14/02/2024,"5,645.01"
125450233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,16/02/2024,-144.24
123771233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,-21.37
123771233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,25.03
123771233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,11.52
123771233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,"2,671.18"
125450233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,16/02/2024,"2,633.37"
125450233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,16/02/2024,-8.40
125450233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,16/02/2024,69.12
123771233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,-536.06
125450233,Physical Support,Adults,Physical Support 18 - 64,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,16/02/2024,-307.65
123771233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,"1,322.08"
123771233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,05/02/2024,-241.12
125450233,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD,BS32,16/02/2024,"1,306.16"
125457234,Mental Health,Adults,Mental Health 65 and over,3rd Party Payments,Personal Budget - Domiciliary care,ABICARE SERVICES LTD (LIVE IN),SP2 ,16/02/2024,"14,367.76"
