,,Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,CAPITAL DELIVERY,Services Contracts Agency Interim Consultants,2970,,06/10/2023,41086644,17962.6,29906,TILE HILL INTERIM & EXECUTIVE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,CAPITAL DELIVERY,FOOD AND PROVISIONS,3000,,24/10/2023,41090023,1975,28446,PITZHANGER TRADING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,30/09/2023,41086709,3073.4,19441,SDK (ENVIROMENTAL) LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,30/09/2023,41086829,325.7,14514,WERNICK HIRE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,10/10/2023,41088604,4917,25875,SPORTS & LEISURE MANAGEMENT LTD T/A EVERYONE ACTIVE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,11/10/2023,41087774,14830.02,25875,SPORTS & LEISURE MANAGEMENT LTD T/A EVERYONE ACTIVE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,05/10/2023,41087101,3542.49,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,CONTRACT PAYMENTS -CLEAN & GREEN,4010,,30/09/2023,41088351,3066.12,16351,M.P.M SPECIALIST SOLUTIONS LIMITED T/A MPM GRAFFITI-SOLUTIONS
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,CONTRACT PAYMENTS -CLEAN & GREEN,4010,,26/09/2023,41088169,1706.94,12525,INITIAL WASHROOM SOLUTIONS
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,REPAIR AND MAINTENANCE,1410,,27/09/2023,41087585,700,28160,CONTRACT & PERSONNEL SERVICES LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,WATER,1140,,18/07/2022,41086746,14711.79,27038,CASTLE WATER LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,WATER,1140,,18/07/2022,41086751,973.35,27038,CASTLE WATER LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,WATER,1140,,19/07/2022,41086754,8147.09,27038,CASTLE WATER LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,WATER,1140,,22/05/2023,41086744,17224.56,27038,CASTLE WATER LIMITED
