Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,EQUIPMENT  - PURCHASES,3320,,16/05/2023,41067795,18874.69,28673,STORM ENVIRONMENTAL LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,SUBSCRIPTIONS,3600,,25/05/2023,41072712,1550,20833,GLASS`S INFORMATION SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,05/07/2023,41075269,4602,28160,CONTRACT & PERSONNEL SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,05/07/2023,41075270,900,28160,CONTRACT & PERSONNEL SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,05/07/2023,41075274,423,28160,CONTRACT & PERSONNEL SERVICES LTD
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,01/07/2023,41077211,28205.35,25486,BARBER ENVIRONMENTAL LIMITED
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,04/07/2023,41074971,1330,12919,MIDDLEPEAK ENGINEERING LTD T/A LEANDER ARCHITECTURAL
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,31/07/2023,41077420,1510.31,27515,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,06/07/2023,41073309,1510.31,27515,REDACTED SENSITIVE SUPPLIER
Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,CONTRACTUAL CARERS ALLOWANCES,4380,,13/07/2023,41074949,593.04,20166,REDACTED SENSITIVE SUPPLIER
