,,Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,26/02/2024,41108883,825,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,26/02/2024,41108884,1100,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,19/03/2024,41112912,550,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,14/03/2024,41112336,275,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,14/03/2024,41112338,3300,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,18/03/2024,41112343,1100,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,18/03/2024,41112344,4675,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,08/03/2024,41111282,550,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,08/03/2024,41111286,1375,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,12/03/2024,41112225,2475,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,12/03/2024,41112227,3850,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,19/03/2024,41112907,3575,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,19/03/2024,41112909,275,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,07/03/2024,41111158,275,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,06/03/2024,41110764,2475,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,06/03/2024,41110766,1650,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,09/03/2024,41111248,2200,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,09/03/2024,41111258,550,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,08/03/2024,41111275,550,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,07/03/2024,41111156,3300,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,04/03/2024,41110026,3850,28602,1 TO 1 HEALTHCARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,ILT,AGENCY,70,,04/03/2024,41110027,1650,28602,1 TO 1 HEALTHCARE LTD
