,,Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,25/11/2023,41092040,79055.53,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,25/11/2023,41092040,425121.83,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,26/10/2023,41090785,1396.5,25559,WEST LONDON WASTE AUTHORITY
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,24/11/2023,41094371,24112.5,29949,PREMIER TREECARE & CONSERVATION LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,03/11/2023,41091545,13507,29949,PREMIER TREECARE & CONSERVATION LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,30/10/2023,41090998,4590,17381,GRISTWOOD AND TOMS
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,31/10/2023,41093314,29654,11187,COMPLETE TREE CARE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,20/10/2023,41089619,2272.25,11538,DRAYTON FENCING COMPANY
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,13/11/2023,41092801,769.32,11538,DRAYTON FENCING COMPANY
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,CONTRACT PAYMENTS -PARKS GROUNDS MAINTENANCE,4040,,02/11/2023,41090760,1000,28953,MY LOCAL PITCH LTD T/A PLAYFINDER
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,CONTRACT PAYMENTS -PARKS GROUNDS MAINTENANCE,4040,,23/11/2023,41094486,4457.3,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,CONTRACT PAYMENTS -PARKS GROUNDS MAINTENANCE,4040,,23/11/2023,41094489,4041.7,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,GROUNDS MAINTENANCE,1470,,02/10/2023,41092812,2041.21,29916,ANTSON ENGINES LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,FENCING,1472,,20/10/2023,41089620,1587.61,11538,DRAYTON FENCING COMPANY
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,TRAINING EXPENSES,80,,18/05/2023,41094147,750,25259,PHOTOSYMBOLS LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,STATIONERY,3820,,07/11/2023,41092140,699.46,10774,BUNZL CLEANING & HYGIENE SUPPLIES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,STATIONERY,3820,,25/10/2023,41090519,359.72,10774,BUNZL CLEANING & HYGIENE SUPPLIES
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,STATIONERY,3820,,08/11/2023,41092149,251.5,12192,GREENHAM TRADING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,STATIONERY,3820,,09/11/2023,41092411,452.7,12192,GREENHAM TRADING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,FURNITURE,3360,,07/11/2023,41092789,995,18054,KUDOS CONTRACT FURNITURE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",EQUIPMENT  - PURCHASES,3320,,21/11/2023,41094003,300,17283,PARK RETAIL LTD-T/A HIGH STREET VOUCHERS LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",PAYMENTS TO VOLUNTARY BODIES,4420,,16/11/2023,41093135,3158,23428,THE APPROPRIATE ADULT SERVICE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,"PLANNING, COMMISSIONING & PARTNERSHIPS",ACTIVITIES,4196,,06/11/2023,41094276,1000,23684,REDACTED SENSITIVE SUPPLIER
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,19/10/2023,41089939,864,27703,MAXIMUM POTENTIAL VENTURES LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,19/10/2023,41090026,768,27703,MAXIMUM POTENTIAL VENTURES LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,19/10/2023,41090027,640,27703,MAXIMUM POTENTIAL VENTURES LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,30/10/2023,41090956,360,10000055,PSYCHOLOGICAL INSIGHTS LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,17/11/2023,41093335,310,29814,RICHMOND UPON THAMES MUSIC TRUST COMPANY LTD T/A RICHMOND MUSIC TRUST
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,20/11/2023,41093637,5880,23809,FAMILY FUTURES CIC
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,31/10/2023,41092850,735,28815,THE PURPLE ELEPHANT PROJECT
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,14/11/2023,41092897,5000,28458,BODY & SOUL
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,PAYMENTS TO CONTRACTORS,4000,,14/11/2023,41092502,1540,10000415,REDACTED SENSITIVE SUPPLIER
