columns,,Body Name,Organisation Code,Service Label,Service Code,Organisation Unit,Expenditure Category,Expenditure Code,Narrative,Date,Transaction No,Net Amount,Supplier ID,Amended Supplier Name
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,01/02/2024,41104782,3073.4,19441,SDK (ENVIROMENTAL) LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,14/02/2024,41106929,435.95,19441,SDK (ENVIROMENTAL) LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,31/01/2022,41105520,336.55,14514,WERNICK HIRE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,31/01/2024,41105295,336.6,14514,WERNICK HIRE LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,CONTRACT PAYMENTS -CLEAN & GREEN,4010,,25/01/2024,41105758,1112.67,12525,INITIAL WASHROOM SOLUTIONS
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,CONTRACT PAYMENTS -CLEAN & GREEN,4010,,31/01/2024,41105089,4013.46,16351,M.P.M SPECIALIST SOLUTIONS LIMITED T/A MPM GRAFFITI-SOLUTIONS
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,WATER,1140,,01/04/2021,41105127,2112.94,27038,CASTLE WATER LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,REPAIR AND MAINTENANCE,1410,,24/01/2024,41103834,394.79,29721,NETWORK RAIL INFRASTRUCTURE LTD PROPERTY COLLECTION A/C ( BLUE INVOICES )
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,MISCELLANEOUS,3720,,24/01/2024,41104009,617,14940,STREETMASTER PRODUCTS (SOUTH WALES) LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS,4000,,09/02/2024,41106739,354.71,11538,DRAYTON FENCING COMPANY
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,FOOD AND PROVISIONS,3000,,07/02/2024,41106268,612.02,20388,THOMAS RIDLEY & SON LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,DOMICILIARY CARE EXTERNAL NON PAYROLL,4245,,08/12/2023,41104710,1188.72,12140,GOLDEN LANE HOUSING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,DOMICILIARY CARE EXTERNAL NON PAYROLL,4245,,06/02/2023,41104711,1140.39,12140,GOLDEN LANE HOUSING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,DISABILITIES,DOMICILIARY CARE EXTERNAL NON PAYROLL,4245,,08/02/2024,41104712,1124.46,12140,GOLDEN LANE HOUSING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,31/12/2023,41104198,430,14884,ST MICHAELS FELLOWSHIP
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,18/10/2023,41103650,3150,10000139,WARD ANDREWS LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,03/01/2024,41103651,2085,10000139,WARD ANDREWS LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,09/01/2024,41103726,635,10000142,NETWORK VENTURES LIMITED - NETWORK RECRUITMENT SOLUTIONS LTD T/A NRS CONTACT CENTRE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,15/12/2023,41103727,550,10000142,NETWORK VENTURES LIMITED - NETWORK RECRUITMENT SOLUTIONS LTD T/A NRS CONTACT CENTRE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,05/12/2023,41103728,550,10000142,NETWORK VENTURES LIMITED - NETWORK RECRUITMENT SOLUTIONS LTD T/A NRS CONTACT CENTRE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,21/12/2023,41103729,465,10000142,NETWORK VENTURES LIMITED - NETWORK RECRUITMENT SOLUTIONS LTD T/A NRS CONTACT CENTRE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,16/01/2024,41103724,465,10000142,NETWORK VENTURES LIMITED - NETWORK RECRUITMENT SOLUTIONS LTD T/A NRS CONTACT CENTRE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,22/12/2023,41105907,310,10000142,NETWORK VENTURES LIMITED - NETWORK RECRUITMENT SOLUTIONS LTD T/A NRS CONTACT CENTRE
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - CIC,SECTION 2(16) PAYROLL TRANSACTIONS,4270,,27/12/2023,41103075,450,10000109,UNIQUE CONTACT AND COMMUNITY SERVICES LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPP - BS &A&F,SOCIAL SERVICES -INTER AGENCY BUDGETS,3563,,29/01/2024,41104061,750,10000383,BOURNEMOUTH CHRISTCHURCH AND POOLE COUNCIL
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,TRAINING EXPENSES,80,,18/12/2023,41104623,5000,10000675,TCD AND ASSOCIATES LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,TRAINING EXPENSES,80,,31/01/2024,41103817,2560,20249,T-THREE CONSULTING LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,MANAGEMENT CHARGES,2600,,01/01/2024,41107380,8940.75,22929,GOODSHAPE UK LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,SAFEGUARDING & SUPPORT - SM,PAYMENTS TO CONTRACTORS,4000,,22/01/2024,41104012,1554,13675,ACTION FOR CHILDREN
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,EALING SERVICE FOR CHILDREN WITH ADDITIONAL NEEDS,DOMICILIARY CARE - BLOCK,4240,,29/01/2024,23403045,599.04,27926,INFINITY CARE SERVICES LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,CHILDREN & ADULTS,1,EALING SERVICE FOR CHILDREN WITH ADDITIONAL NEEDS,DOMICILIARY CARE - BLOCK,4240,,29/01/2024,23403045,599.04,27926,INFINITY CARE SERVICES LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,17/02/2024,41104269,79055.53,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,STREET SERVICES,PAYMENTS TO CONTRACTORS,4000,,17/02/2024,41104269,425121.83,28826,GREENER EALING LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,HIGHWAYS,PAYMENTS TO CONTRACTORS,4000,,07/02/2024,41104314,44790,26979,XAIS ASSET MANAGEMENT LTD
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,25/01/2024,41103573,19925.5,29949,PREMIER TREECARE & CONSERVATION LIMITED
INSERTED DETAIL,,Ealing Council,http://opendatacommunities.org/id/london-borough-council/ealing,PLACE,6,LEISURE,PAYMENTS TO CONTRACTORS -ARBORICULTURAL WORKS,4041,,09/02/2024,41106547,13000,29949,PREMIER TREECARE & CONSERVATION LIMITED
