Authority,Service Area,Description,Payment,Amount,Supplier
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,265.00",Bright Meadows Care Home
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£7,151.75",Brookfield Residential Care Home Ltd
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£17,139.05",Brookvale
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,163.50",Browfield Residential Home
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£675.00,Buddi Ltd
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£7,255.00",Burrswood House
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£2,865.00",Carders Court Care Home
Bolton BMC,Adult Services,Contracted Services,25-Jun-23,"£1,246.62",Caring Alternatives Limited
Bolton BMC,Adult Services,Contracted Services,26-Jun-23,"£1,222.88",Caring Alternatives Limited
Bolton BMC,Adult Services,Contracted Services,25-Jun-23,"£11,999.99",Caring Alternatives Limited
Bolton BMC,Adult Services,Contracted Services,26-Jun-23,"£12,407.61",Caring Alternatives Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£3,163.50",Carr Bank House
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£540.00,Cefndy Healthcare#Cefndy Enterprises
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,£872.20,Cefndy Healthcare#Cefndy Enterprises
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£9,416.50",Chatterton Hey
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£23,593.20",Chorley House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£11,796.60",Chorley House
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£7,765.70",Church View
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£20,364.50",Church Walk Health Care Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£10,344.35",Clarence House
Bolton BMC,Adult Services,Staff Hotel Expenses,14-Jun-23,"£1,609.95",Click Travel Limited
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£36,675.00",Comer Wall Way
Bolton BMC,Adult Services,Contracted Services,21-Jun-23,£711.28,Community Care Options#3
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£12,962.88",Companion Support Services Limited
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£899.56,Complete Care 4 U Limited
Bolton BMC,Adult Services,Contracted Services,09-Jun-23,£899.56,Complete Care 4 U Limited
Bolton BMC,Adult Services,Contracted Services,09-Jun-23,£585.76,Complete Care 4 U Limited
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,£930.00,Copperbeech Dog Kennels and Cattery
Bolton BMC,Adult Services,Op Equip Health and Safety,01-Jun-23,"£1,760.00",Courtney Thorne Limited
Bolton BMC,Adult Services,Contracted Services,01-Jun-23,"£2,940.00",Creative Support Limited#3
Bolton BMC,Adult Services,Nursing Provision,06-Jun-23,"£5,169.75",Crystal Hall Care Home
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£2,036.00",Dagmar Hartshorn Psychological Services
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£31,405.00",Daisy Fieldz Care Services Limited
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,£756.96,Dignity in Life Ltd#DIL Foundation
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£2,901.95",Dignity in Life Ltd#DIL Foundation
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£3,181.58",Dignity in Life Ltd#DIL Foundation
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£1,618.16",Dignity in Life Ltd#DIL Foundation
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£4,313.01",Dignity in Life Ltd#DIL Foundation
Bolton BMC,Adult Services,Contracted Services,15-Jun-23,"£4,553.59",Dignity in Life Ltd#DIL Foundation
Bolton BMC,Adult Services,Residential Provision,06-Jun-23,"£8,226.45",DIL House
Bolton BMC,Adult Services,Clients Aids & Adaptations,01-Jun-23,"£5,740.00",Doro Care (UK) Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,20-Jun-23,"£4,214.00",Drive Devilbiss Healthcare Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,21-Jun-23,£626.80,Drive Devilbiss Healthcare Limited
Bolton BMC,Adult Services,Clients Aids & Adaptations,27-Jun-23,"£2,934.15",Drive Devilbiss Healthcare Limited
