Authority,Service Area,Description,Payment,Invoice Line Amount,Supplier
Bolton MBC,Public Health ,Agency Staff - Full-time,13-Mar-24,"£3,075.00",Vivid Resourcing
Bolton MBC,Public Health ,Agency Staff - Full-time,20-Mar-24,"£3,358.39",Vivid Resourcing
Bolton MBC,Public Health ,Agency Staff - Full-time,26-Mar-24,"£3,075.00",Vivid Resourcing
Bolton MBC,Adult Services,Agency Staff - Other,01-Mar-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,06-Mar-24,"£2,500.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,13-Mar-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,20-Mar-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,26-Mar-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Baltimore Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Baltimore Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Baltimore Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Baltimore Consulting Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,04-Mar-24,£536.40,H & C (Plant Hire) Limited
Bolton MBC,Children's Services,Agency Staff - Other,08-Mar-24,"£1,805.23",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,12-Mar-24,"£3,049.61",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,13-Mar-24,"£1,805.23",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,694.23",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,19-Mar-24,"£1,805.23",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,25-Mar-24,"£1,694.23",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,28-Mar-24,"£1,805.23",Leaders In Care Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,£825.83,Manchester Occupational Therapy Services#Limited
Bolton MBC,Children's Services,Agency Staff - Other,05-Mar-24,"£1,659.45",NonStop Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,05-Mar-24,"£1,431.16",NonStop Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,12-Mar-24,"£1,788.95",NonStop Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,12-Mar-24,"£1,659.45",NonStop Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,19-Mar-24,"£1,327.56",NonStop Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,26-Mar-24,"£1,788.95",NonStop Consulting Limited
Bolton MBC,Children's Services,Agency Staff - Other,26-Mar-24,"£1,788.95",NonStop Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,01-Mar-24,£900.00,Permanent Futures Limited
Bolton MBC,Adult Services,Agency Staff - Other,01-Mar-24,£900.00,Permanent Futures Limited
Bolton MBC,Adult Services,Agency Staff - Other,13-Mar-24,£900.00,Permanent Futures Limited
Bolton MBC,Adult Services,Agency Staff - Other,01-Mar-24,£900.00,Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,200.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,500.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,500.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,500.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Permanent Futures Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,695.15",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,365.46",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,332.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,737.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,708.80",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,715.25",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,11-Mar-24,"£1,671.26",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,11-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,11-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,11-Mar-24,"£1,680.75",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,11-Mar-24,"£1,718.85",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,672.61",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,665.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,719.00",Personnel Leasing Limited
Bolton MBC,Children's Services,Agency Staff - Other,18-Mar-24,"£1,693.35",Personnel Leasing Limited
