Authority,Service Area,Description,Payment,Invoice Line Amount,Supplier
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£677.10,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£804.85,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£671.40,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£951.07,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£735.09,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£597.04,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£657.17,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£951.07,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£606.24,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£777.82,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£804.85,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£804.85,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,"£1,079.17",Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£804.85,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£804.85,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£597.04,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£775.60,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£964.58,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£597.04,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£671.40,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£519.57,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£817.33,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£817.33,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£792.40,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£519.57,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£570.67,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£816.09,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£597.04,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£606.24,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£502.54,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£834.49,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£630.29,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£597.04,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£647.95,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£775.60,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£748.59,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£572.52,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£813.13,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£572.52,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£813.13,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£572.52,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£727.63,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£572.52,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£805.32,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£767.47,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£767.38,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£767.47,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£767.47,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£767.38,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£767.47,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,15-Mar-24,£611.36,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,01-Mar-24,£754.49,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,08-Mar-24,£754.49,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£754.49,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Environmental Services ,Agency Staff - Other,22-Mar-24,£754.49,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Public Health ,Agency Staff - Other,22-Mar-24,£741.94,Reed#Reed Specialist Recruitment Limited
Bolton MBC,Children's Services,Agency Staff - Other,04-Mar-24,"£1,750.00",Venn Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Venn Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Venn Group Limited
Bolton MBC,Children's Services,Agency Staff - Other,01-Mar-24,"£1,750.00",Venn Group Limited
Bolton MBC,Chief Executives ,Agilisys - Inter/Intranet Svs,22-Mar-24,"£15,047.00",Texthelp Limited
Bolton MBC,Adult Services,Agilisys - Managed Service,01-Mar-24,"£3,640.00",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,01-Mar-24,"£6,492.96",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,01-Mar-24,"£3,784.19",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,01-Mar-24,"£23,168.58",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,01-Mar-24,"£6,066.20",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,21-Mar-24,"£260,000.00",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,12-Mar-24,"£1,372.00",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Managed Service,21-Mar-24,"£1,371.00",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Minor Project Works,13-Mar-24,"£2,449.33",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Refreshed Assets,21-Mar-24,"£15,028.00",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Transformation,01-Mar-24,"£28,350.00",Oracle Corporation UK Limited
Bolton MBC,Chief Executives ,Agilisys - Transformation,01-Mar-24,"£2,548.53",Oracle Corporation UK Limited
Bolton MBC,Chief Executives ,Agilisys - Transition,01-Mar-24,"£68,229.90",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Transition,21-Mar-24,"£178,930.70",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Transition,21-Mar-24,"£50,771.76",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Transition,21-Mar-24,"£61,260.89",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Transition,21-Mar-24,"£75,007.12",Agilisys Limited
Bolton MBC,Chief Executives ,Agilisys - Transition,20-Mar-24,"£66,149.07",Agilisys Limited
Bolton MBC,Chief Executives ,Benefits - rent allowances,04-Mar-24,"£641,552.66",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,07-Mar-24,"£45,537.02",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,11-Mar-24,"£579,776.48",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,15-Mar-24,"£69,963.58",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,14-Mar-24,"£57,000.04",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,18-Mar-24,"£922,017.10",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,22-Mar-24,"£102,237.27",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,22-Mar-24,"£2,770,973.22",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Benefits - rent allowances,28-Mar-24,"£30,109.03",Revenue & Benefits BACS Payments
Bolton MBC,Chief Executives ,Book Fund Expenditure,01-Mar-24,"£2,136.78",Askews & Holts Library Services Ltd
Bolton MBC,Chief Executives ,Book Fund Expenditure,07-Mar-24,"£4,455.27",Askews & Holts Library Services Ltd
Bolton MBC,Chief Executives ,Book Fund Expenditure,11-Mar-24,"£1,035.40",Askews & Holts Library Services Ltd
Bolton MBC,Chief Executives ,Book Fund Expenditure,01-Mar-24,"£3,939.43",Dandy Booksellers Limited
Bolton MBC,Chief Executives ,Book Fund Expenditure,04-Mar-24,"£8,795.18",Peters Limited
Bolton MBC,Chief Executives ,Book Fund Expenditure,08-Mar-24,£901.25,Peters Limited
Bolton MBC,Chief Executives ,Book Fund Expenditure,04-Mar-24,"£3,744.25",Peters Limited
Bolton MBC,Chief Executives ,Book Fund Expenditure,08-Mar-24,"£17,518.28",Peters Limited
Bolton MBC,Chief Executives ,Book Fund Expenditure,01-Mar-24,£663.24,The Book Centre
Bolton MBC,Chief Executives ,Book Fund Expenditure,01-Mar-24,£860.40,Ulverscroft Large Print Books Limited#Ulverscroft Limited
Bolton MBC,Chief Executives ,Buildings Service Charge,25-Mar-24,"£1,054.50",Colliers International Property Consultants Limited#Colliers#Colliers International Retail UK LLP#Colliers International
Bolton MBC,Chief Executives ,Buildings Service Charge,25-Mar-24,"£7,871.94",Colliers International Property Consultants Limited#Colliers#Colliers International Retail UK LLP#Colliers International
Bolton MBC,Children's Services,Carer Additional Costs,01-Mar-24,£530.00,Chris Dennison Consulting Limited
Bolton MBC,Children's Services,Carer Additional Costs,01-Mar-24,£690.00,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Additional Costs,27-Mar-24,"£1,020.00",Redacted - Personal Data
Bolton MBC,Children's Services,Carer Daycare,01-Mar-24,£522.20,Brighter Beginnings#Brighter Beginnings Day Nursery
Bolton MBC,Children's Services,Carer Daycare,16-Mar-24,"£1,560.00",Eagley School House Nursery Limited
Bolton MBC,Children's Services,Carer Daycare,01-Mar-24,£630.00,Kidzone Out Of School Clubs Limited
Bolton MBC,Children's Services,Carer Daycare,04-Mar-24,£702.00,Little Feet Day Nursery
Bolton MBC,Children's Services,Carer Daycare,01-Mar-24,£731.00,Little Sprouts Day Nursery Limited
Bolton MBC,Children's Services,Carer Daycare,01-Mar-24,£559.00,Little Sprouts Day Nursery Limited
Bolton MBC,Children's Services,Carer Daycare,01-Mar-24,£552.00,Paintpots Manchester Limited
Bolton MBC,Children's Services,Carer Equipment,07-Mar-24,£664.68,EPS Supplies Ltd
Bolton MBC,Children's Services,Carer Maintenance Allow,01-Mar-24,£826.84,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Maintenance Allow,01-Mar-24,£826.84,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Maintenance Allow,01-Mar-24,£747.36,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Maintenance Allow,02-Mar-24,£601.34,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Maintenance Allow,02-Mar-24,£601.34,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Maintenance Allow,02-Mar-24,£601.34,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Professional Fee,02-Mar-24,"£1,000.00",Lesley Lodge
Bolton MBC,Children's Services,Carer Professional Fee,09-Mar-24,"£1,000.00",Lesley Lodge
Bolton MBC,Children's Services,Carer Professional Fee,16-Mar-24,"£1,000.00",Lesley Lodge
Bolton MBC,Children's Services,Carer Professional Fee,23-Mar-24,"£1,000.00",Lesley Lodge
Bolton MBC,Children's Services,Carer Professional Fee,30-Mar-24,"£1,000.00",Lesley Lodge
Bolton MBC,Children's Services,Carer Travel,09-Mar-24,"£1,854.43",Lesley Lodge
Bolton MBC,Children's Services,Carer Travel,23-Mar-24,£501.83,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Travel,09-Mar-24,£560.92,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Travel,09-Mar-24,"£1,069.32",Redacted - Personal Data
Bolton MBC,Children's Services,Carer Travel,16-Mar-24,"£1,454.84",Redacted - Personal Data
Bolton MBC,Children's Services,Carer Travel,02-Mar-24,£545.92,Redacted - Personal Data
Bolton MBC,Children's Services,Carer Travel,02-Mar-24,£630.10,Redacted - Personal Data
Bolton MBC,Children's Services,Catering Provisions-Food,01-Mar-24,"£3,330.10",Greenhalghs#Greenhalghs Craft Bakery Limited
Bolton MBC,Chief Executives ,Catering Provisions-Food,01-Mar-24,£642.71,Howcrofts Fine Foods Ltd#Odessa Cafe and Salad Bar
Bolton MBC,Adult Services,Catering Provisions-Food,01-Mar-24,£546.85,Lloyds CCDM
Bolton MBC,Chief Executives ,Catering Provisions-Food,01-Mar-24,£833.33,Lloyds CCDM
Bolton MBC,Children's Services,Catering Provisions-Food,09-Mar-24,"£2,050.00",Mandys Bakery
Bolton MBC,Chief Executives ,Catering Provisions-Food,01-Mar-24,"£24,470.00",Urban Outreach (Bolton)
Bolton MBC,Chief Executives ,Catering Provisions-Food,01-Mar-24,"£81,623.00",Urban Outreach (Bolton)
Bolton MBC,Chief Executives ,Catering Provisions-Food,01-Mar-24,£743.70,Wilds#WLG Limited
Bolton MBC,Development & Regeneration ,Centrex Line Rental,26-Mar-24,£850.00,Amazonbusiness#Amazon Payments UK Limited
Bolton MBC,Chief Executives ,Civic Hospitality,06-Mar-24,"£5,985.06",CH Bolton Limited
Bolton MBC,Chief Executives ,Civic Hospitality,01-Mar-24,"£1,041.67",Lloyds CCDM
Bolton MBC,Chief Executives ,Cleaning Materials,01-Mar-24,"£1,373.40",Arrow County Supplies Limited
Bolton MBC,Chief Executives ,Cleaning Materials,01-Mar-24,"£1,737.00",Arrow County Supplies Limited
Bolton MBC,Environmental Services ,Cleaning Materials,01-Mar-24,£552.07,Lloyds CCDM
Bolton MBC,Environmental Services ,Cleaning Materials,01-Mar-24,£786.91,Lloyds CCDM
Bolton MBC,Environmental Services ,Cleaning Materials,05-Mar-24,£646.56,Lloyds CCDM
Bolton MBC,Housing GRF,Client Support Costs,01-Mar-24,"£18,740.06",Adullam Housing Association Limited#Homes
Bolton MBC,Children's Services,Client Support Costs,25-Mar-24,£516.60,Amazonbusiness#Amazon Payments UK Limited
Bolton MBC,Children's Services,Client Support Costs,13-Mar-24,£549.90,Amazonbusiness#Amazon Payments UK Limited
Bolton MBC,Children's Services,Client Support Costs,20-Mar-24,£750.00,No Isolation Limited
Bolton MBC,Children's Services,Clients - Bus Fares,04-Mar-24,"£1,141.00",Auto Time Systems Northern Ltd
Bolton MBC,Children's Services,Clients - Bus Fares,27-Mar-24,"£2,100.00",Greater Manchester Travelcards Ltd#systemonetravelcards
Bolton MBC,Children's Services,Clients - Bus Fares,27-Mar-24,"£2,100.00",Greater Manchester Travelcards Ltd#systemonetravelcards
Bolton MBC,Development & Regeneration ,Clients - Bus Fares,27-Mar-24,"£1,050.00",Greater Manchester Travelcards Ltd#systemonetravelcards
Bolton MBC,Development & Regeneration ,Clients - Bus Fares,27-Mar-24,£750.00,Greater Manchester Travelcards Ltd#systemonetravelcards
Bolton MBC,Children's Services,Clients - Bus Fares,11-Mar-24,"£1,417.50",Lancashire County Council
Bolton MBC,Children's Services,Clients - Bus Fares,11-Mar-24,"£1,417.50",Lancashire County Council
Bolton MBC,Children's Services,Clients - Bus Fares,05-Mar-24,£637.50,Metro Cars North West Limited
Bolton MBC,Children's Services,Clients - Bus Fares,05-Mar-24,£541.67,Metro Cars North West Limited
Bolton MBC,Children's Services,Clients - Bus Fares,05-Mar-24,"£3,378.33",Metro Cars North West Limited
Bolton MBC,Adult Services,Clients - Bus Fares,01-Mar-24,"£1,800.00",SMA Cars
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£4,960.00",24/7 Minibuses
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£6,200.00",24/7 Minibuses
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,530.00",24x7 Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£1,600.00",A K Private Hire
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,000.00",A K Private Hire
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£4,800.00",AB Minibuses
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£6,000.00",AB Minibuses
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£3,920.00",Abacus Minibuses Ltd
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£4,900.00",Abacus Minibuses Ltd
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£8,977.00",Alpha Luxury Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£10,320.00",Alpha Luxury Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£12,900.00",Alpha Luxury Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£13,140.00",Alpha Luxury Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£4,800.00",Atlas Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£6,000.00",Atlas Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,080.00",Auto Travel Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,600.00",Auto Travel Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£48,505.00",Bestway Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£61,200.00",Bestway Minibuses Limited
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,800.00",Bux Travel
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£3,500.00",Bux Travel
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,400.00",CK Minibuses
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,900.00",CK Minibuses
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£1,920.00",Daubhill Mini Bus
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,400.00",Daubhill Mini Bus
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,400.00",Express Travels (Bolton) Ltd
Bolton MBC,Children's Services,Clients - Taxi Fares,01-Mar-24,"£2,000.00",Express Travels (Bolton) Ltd
