Authority,Service Area,Description,Payment,Amount,Supplier
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Feb-24,"£2,853.00",28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Feb-24,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,11-Feb-24,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£35,406.79",62 Wright Street#Mencap
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£8,768.86",Abafields Residential Home
Bolton MBC,Adult Services,Nursing Provision,05-Feb-24,"£3,890.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Nursing Provision,05-Feb-24,"£14,560.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£3,265.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Contracted Services,01-Feb-24,"£4,845.50",Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Feb-24,"£2,148.53",Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Feb-24,£990.00,Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Feb-24,£900.00,Access UK Limited
Bolton MBC,Adult Services,Consultation Costs,01-Feb-24,£648.00,Ad-Ork Healthcare Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Feb-24,"£1,200.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£39,585.04",Albert Road
Bolton MBC,Adult Services,Contracted Services,21-Feb-24,"£8,040.26",Ansar Projects
Bolton MBC,Adult Services,Nursing Provision,05-Feb-24,"£3,690.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Nursing Provision,05-Feb-24,"£7,990.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Contracted Services,01-Feb-24,£512.50,Autistic Society Greater Manchester Area
Bolton MBC,Adult Services,Agency Staff - Other,01-Feb-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,07-Feb-24,"£2,812.50",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,14-Feb-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Agency Staff - Other,21-Feb-24,"£3,125.00",Baltimore Consulting Limited
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£39,327.45",Bannister Farm Cottage
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£3,265.00",Beechville Care Home
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£3,595.00",Belong Wigan#2
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Feb-24,"£3,142.90",Bennett Workplace Solutions Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Feb-24,"£4,005.00",Bennett Workplace Solutions Limited
Bolton MBC,Adult Services,Nursing Provision,05-Feb-24,"£22,715.36",Berkeley House
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£3,265.00",BH Residential Care Home
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£3,265.00",Blackrod House Limited
Bolton MBC,Adult Services,Residential Provision,05-Feb-24,"£8,615.50",Bluebell Cottage Veedale
Bolton MBC,Adult Services,Contracted Services,01-Feb-24,"£52,283.05",Bolton at Home Limited#HB Refunds & Invoices
