Authority,Service Area,Description,Supplier,Payment,Amount
Bolton MBC,Adult Services,Residential Provision,62 Wright Street#Mencap,03-Jul-23,"£15,867.72"
Bolton MBC,Adult Services,Residential Provision,Abafields Residential Home,03-Jul-23,"£5,224.00"
Bolton MBC,Adult Services,Nursing Provision,Abbey Healthcare (Farnworth) Limited,03-Jul-23,"£2,410.29"
Bolton MBC,Adult Services,Nursing Provision,Abbey Healthcare (Farnworth) Limited,03-Jul-23,"£11,648.00"
Bolton MBC,Adult Services,Residential Provision,Abbey Healthcare (Farnworth) Limited,03-Jul-23,"£5,524.00"
Bolton MBC,Adult Services,Contracted Services,Access UK Limited,01-Jul-23,"£9,784.00"
Bolton MBC,Adult Services,Staff Subsistence Expenses,ADASS#Association Of Directors Of Adult Social Services,19-Jul-23,"£2,609.00"
Bolton MBC,Adult Services,Contracted Services,Age UK Bolton#was Age Concern,11-Jul-23,"£26,008.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,05-Jul-23,£640.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,05-Jul-23,£540.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,06-Jul-23,"£1,320.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,06-Jul-23,£690.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,27-Jul-23,£900.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,27-Jul-23,£945.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,27-Jul-23,£600.00
Bolton MBC,Adult Services,Clients Aids & Adaptations,Aidapt Bathrooms Ltd,27-Jul-23,"£1,200.00"
Bolton MBC,Adult Services,Deep Cleans - One Offs,Ash Cleaning Services Limited,12-Jul-23,"£2,810.00"
Bolton MBC,Adult Services,Nursing Provision,Astley Grange Homes Limited,03-Jul-23,"£2,952.00"
Bolton MBC,Adult Services,Nursing Provision,Astley Grange Homes Limited,03-Jul-23,"£6,392.00"
Bolton MBC,Adult Services,Residential Provision,Bannister Farm Cottage,03-Jul-23,"£27,941.36"
Bolton MBC,Adult Services,Residential Provision,Beechville Care Home,03-Jul-23,"£2,612.00"
Bolton MBC,Adult Services,Residential Provision,Belong Wigan#2,03-Jul-23,"£2,876.00"
Bolton MBC,Adult Services,Nursing Provision,Berkeley House,03-Jul-23,"£28,262.17"
Bolton MBC,Adult Services,Nursing Provision,Berkeley House,03-Jul-23,"£10,160.00"
Bolton MBC,Adult Services,Clients Aids & Adaptations,BES Healthcare Limited,01-Jul-23,"£1,391.85"
Bolton MBC,Adult Services,Clients Aids & Adaptations,BES Healthcare Limited,06-Jul-23,£959.40
