Authority,Service Area,Description,Payment, Amount,Supplier
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£887.60,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,19-Nov-23,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Legal Fees,03-Nov-23,"£1,250.00",39 Essex Chambers
Bolton MBC,Adult Services,Residential Provision,06-Nov-23,"£21,360.65",62 Wright Street#Mencap
Bolton MBC,Adult Services,Legal Fees,01-Nov-23,£850.00,9 St Johns St Chambers
Bolton MBC,Adult Services,Residential Provision,06-Nov-23,"£3,265.00",Abafields Residential Home
Bolton MBC,Adult Services,Nursing Provision,06-Nov-23,"£3,890.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Nursing Provision,06-Nov-23,"£14,560.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Contracted Services,01-Nov-23,"£1,125.00",Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Nov-23,"£1,683.00",Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Nov-23,£600.00,Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Nov-23,"£2,025.00",Access UK Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Nov-23,"£2,000.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Nov-23,"£1,800.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Contracted Services,01-Nov-23,"£7,727.36",Ansar Projects
Bolton MBC,Adult Services,Nursing Provision,06-Nov-23,"£3,690.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Nursing Provision,06-Nov-23,"£7,990.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Contracted Services,01-Nov-23,"£2,352.00",Astleys Farm#Boarding Kennels & Cattery
Bolton MBC,Adult Services,Residential Provision,06-Nov-23,"£63,091.50",Bannister Farm Cottage
