Authority,Service Area,Description,Payment,Amount,Supplier
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£887.60,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£887.60,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,01-Sep-23,£887.60,28 Wigan Road
