Authority,Service Area,Description,Payment, Amount,Supplier
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,"£2,757.72",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,"£3,409.95",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,17-Jan-24,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£887.60,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,14-Jan-24,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,30-Jan-24,£979.98,4imprint
Bolton MBC,Adult Services,Residential Provision,03-Jan-24,"£5,224.00",Abafields Residential Home
Bolton MBC,Adult Services,Nursing Provision,03-Jan-24,"£3,112.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Nursing Provision,03-Jan-24,"£11,648.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Residential Provision,03-Jan-24,"£2,612.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,"£4,871.50",Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,"£13,004.00",Age UK Bolton#was Age Concern
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,"£13,004.00",Age UK Bolton#was Age Concern
Bolton MBC,Adult Services,Clients Aids & Adaptations,12-Jan-24,£600.00,Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,19-Jan-24,"£1,200.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,19-Jan-24,"£1,200.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,19-Jan-24,£664.70,Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,£825.20,Alternative Futures Group
Bolton MBC,Adult Services,Contracted Services,01-Jan-24,"£1,031.50",Alternative Futures Group
