Authority,Service Area,Description,Payment,Amount,Supplier
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£15,867.72",62 Wright Street#Mencap
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£2,612.00",Abafields Residential Home
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£5,224.00",Abafields Residential Home
Bolton MBC,Adult Services,Nursing Provision,02-May-23,"£12,351.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£5,524.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Contracted Services,01-May-23,"£4,678.00",Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-May-23,"£4,779.50",Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-May-23,"£4,877.50",Access UK Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,09-May-23,£660.00,Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,23-May-23,£560.00,Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,23-May-23,"£1,890.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,25-May-23,£760.00,Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Contracted Services,04-May-23,"£7,258.28",Ansar Projects
Bolton MBC,Adult Services,Nursing Provision,02-May-23,"£2,952.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Nursing Provision,02-May-23,"£6,392.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£27,941.36",Bannister Farm Cottage
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£2,612.00",Beechville Care Home
Bolton MBC,Adult Services,Nursing Provision,02-May-23,"£2,806.00",Belong Atherton#EPH
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£3,020.00",Belong Wigan#2
Bolton MBC,Adult Services,Clients Aids & Adaptations,23-May-23,"£3,538.00",Bennett Workplace Solutions Limited
Bolton MBC,Adult Services,Nursing Provision,02-May-23,"£26,019.31",Berkeley House
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£3,219.29",Blackrod House Limited
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£8,176.00",Blackrod House Limited
Bolton MBC,Adult Services,Residential Provision,02-May-23,"£6,217.20",Bluebell Cottage Veedale
