Authority,Service Area,Description,Payment,Amount,Supplier
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,"£1,268.00",24 Albert Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£634.00,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£507.20,24 Albert Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£729.10,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£634.00,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£887.60,28 Wigan Road
Bolton MBC,Adult Services,Contracted Services,17-Dec-23,£951.00,28 Wigan Road
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£26,088.52",62 Wright Street#Mencap
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£6,530.00",Abafields Residential Home
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£3,112.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£11,648.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£2,612.00",Abbey Healthcare (Farnworth) Limited
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,£600.00,Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,"£1,125.00",Access UK Limited
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,"£1,683.00",Access UK Limited
Bolton MBC,Adult Services,Computer Software Licences,01-Dec-23,"£2,025.00",Access UK Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,£870.00,Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,"£1,200.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,"£1,360.00",Aidapt Bathrooms Ltd
Bolton MBC,Adult Services,Contracted Services,06-Dec-23,"£10,308.78",Ansar Projects
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£2,952.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£6,392.00",Astley Grange Homes Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,"£5,071.00",Astor-Bannerman (Medical) Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,07-Dec-23,£929.64,Astor-Bannerman (Medical) Ltd
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,"£3,610.00",Atelier Rehab Limited
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,£668.75,Autistic Society Greater Manchester Area
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£31,461.96",Bannister Farm Cottage
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£2,612.00",Beechville Care Home
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£2,876.00",Belong Wigan#2
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£62,761.58",Berkeley House
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£17,698.59",Berkeley House
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£2,612.00",BH Residential Care Home
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£5,224.00",Blackrod House Limited
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£6,892.40",Bluebell Cottage Veedale
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,"£16,038.00",Bolton GP Partnership Limited (Bolton GP Federation)
Bolton MBC,Adult Services,Partnership Staff,20-Dec-23,"£49,915.54",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,08-Dec-23,"£7,875.00",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,18-Dec-23,"£2,352.76",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,18-Dec-23,"£2,494.89",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Contracted Services,04-Dec-23,"£117,443.30",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Partnership Staff,20-Dec-23,"£48,015.37",Bolton NHS Foundation Trust
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£15,720.00",Bright Meadows Care Home
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£8,004.00",Bright Meadows Care Home
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£5,721.40",Brookfield Residential Care Home Ltd
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£13,711.24",Brookvale
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£2,530.80",Browfield Residential Home
Bolton MBC,Adult Services,Clients Aids & Adaptations,04-Dec-23,"£2,340.00",Buddi Ltd
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£1,887.29",Burrswood House
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,£500.80,Care and Independence Limited
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£2,530.80",Carr Bank House
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£21,509.44",Chorley House
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£10,754.72",Chorley House
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£6,995.36",Church View
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£17,823.00",Church Walk Health Care Limited
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£9,103.04",Clarence House
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£29,420.00",Comer Wall Way
Bolton MBC,Adult Services,Other Agency/Contracted Services,01-Dec-23,"£17,600.00",Commerce Decisions Limited
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,"£12,962.88",Companion Support Services Limited
Bolton MBC,Adult Services,Contracted Services,01-Dec-23,"£12,962.88",Companion Support Services Limited
Bolton MBC,Adult Services,Contracted Services,18-Dec-23,£899.60,Complete Care 4 U Limited
Bolton MBC,Adult Services,Contracted Services,18-Dec-23,£585.79,Complete Care 4 U Limited
Bolton MBC,Adult Services,Contracted Services,04-Dec-23,£933.44,Copperbeech Dog Kennels and Cattery
Bolton MBC,Adult Services,Clients Aids & Adaptations,20-Dec-23,"£2,040.00",Creative Care (Todmorden) Limited
Bolton MBC,Adult Services,Nursing Provision,04-Dec-23,"£4,135.80",Crystal Hall Care Home
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£2,782.71",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£3,292.11",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£2,552.59",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£586.46,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£652.36,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£706.05,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£974.87,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£4,362.87",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£2,332.58",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£856.33,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£1,017.76",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£1,269.15",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£2,846.86",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£886.31,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£1,004.51",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£2,104.90",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£4,241.53",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£586.81,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£1,904.42",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£1,543.20",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,"£9,738.26",Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Contracted Services,07-Dec-23,£837.50,Dignity in Life Ltd#DIL Foundation
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£7,835.68",DIL House
Bolton MBC,Adult Services,Residential Provision,04-Dec-23,"£23,615.56",DIL Place
Bolton MBC,Adult Services,Private Contracted Services,12-Dec-23,"£14,145.00",Disability Positive
Bolton MBC,Adult Services,Clients Aids & Adaptations,15-Dec-23,"£2,300.00",Doro Care (UK) Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,15-Dec-23,"£2,870.00",Doro Care (UK) Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,£700.35,Drive Devilbiss Healthcare Limited#NOT SIDHIL
Bolton MBC,Adult Services,Clients Aids & Adaptations,01-Dec-23,£982.00,Drive Devilbiss Healthcare Limited#NOT SIDHIL
Bolton MBC,Adult Services,Clients Aids & Adaptations,13-Dec-23,"£1,069.20",Drive Devilbiss Healthcare Limited#NOT SIDHIL
Bolton MBC,Adult Services,Clients Aids & Adaptations,20-Dec-23,"£1,458.00",Drive Devilbiss Healthcare Limited#NOT SIDHIL
Bolton MBC,Adult Services,Op Equip Furniture Purchase,01-Dec-23,"£5,688.00",Drive DeVilbiss Sidhil Limited#NOT HEALTHCARE
Bolton MBC,Adult Services,Clients Aids & Adaptations,04-Dec-23,"£1,869.83",Easylink UK#Medpage Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,07-Dec-23,£758.65,Easylink UK#Medpage Limited
Bolton MBC,Adult Services,Clients Aids & Adaptations,08-Dec-23,£758.65,Easylink UK#Medpage Limited
