Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Blackpool & The Fylde College,253459,1000004,04/06/2024,"5,250.00",0,Let's get digital - project,50200,63426,Course Fees,Communication & Regeneration - 1,AMCPI,LL,Lifelong Learning - 3,ALEARN1,Adult Learning - 5,T0017862,1000004253459T0017862
Blackpool Council,Blackpool & The Fylde College,255339,1000004,04/06/2024,576,96,Pcc Elections,61057,61301,Rent and Hire Of Premises,Chief Executive - 1,CEXTOT,BG,Electoral Services - 3,BG2,Electoral Services - 5,S0024521,1000004255339S0024521
Blackpool Council,Read & Errington Ltd,249246,1000012,03/06/2024,433.09,72.18,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,20040,1.00001E+17
Blackpool Council,Read & Errington Ltd,256798,1000012,12/06/2024,548.54,91.42,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,20327,1.00001E+17
Blackpool Council,Read & Errington Ltd,263623,1000012,20/06/2024,"1,113.76",185.63,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,20392,1.00001E+17
Blackpool Council,Read & Errington Ltd,258787,1000012,10/06/2024,"17,999.29","2,999.88",,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,MRC0162/R1,1000012258787MRC0162/R1
Blackpool Council,Read & Errington Ltd,263736,1000012,19/06/2024,"2,603.64",0,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,17686,1.00001E+17
Blackpool Council,Read & Errington Ltd,263738,1000012,20/06/2024,"2,887.34",0,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,17829,1.00001E+17
Blackpool Council,Read & Errington Ltd,263740,1000012,19/06/2024,255.38,0,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,18582,1.00001E+17
Blackpool Council,Read & Errington Ltd,263802,1000012,20/06/2024,"4,294.85",715.81,,,61065,Major Contractual Works,Non-Repairs - 1,HRASEC,HBA,General Management - 3,HBA2,General Management - 5,19838,1.00001E+17
Blackpool Council,Read & Errington Ltd,265950,1000012,21/06/2024,"123,107.66","20,517.95",Balance Sheet,90000,61065,VAT ADJUSTMENT,Not Applicable - 1,NA,NA,Not Applicable - 3,NA,Not Applicable - 5,MRC0166/V2,1000012265950MRC0166/V2
Blackpool Council,Renaissance Uk Limited,255523,1000017,04/06/2024,"46,295.00",0,"Renaissance, Incl Condoms",62040,64501,Private Contractors,Public Health - 1,PUBHEL,PUBGRT1,Public Health Grant Spend - 3,PUBGRT3,Public Health Grant Spend - 5,HARM REDUCTION 24/25,1000017255523HARM REDUCTION 24/25
