DefnSheetName=_defntemp_,,,,,,,,,,,,,,,,,,
Body Name,Supplier Name,Transaction Ref/No,Supplier Code,Payment Date,Gross Value (detail),Vat Amount,Service Label,Service Code,Expenditure Code,Expenditure Category,Service Division,Directorate,Department,Department Description,Sub Team,Sub Team Description,Reference,Unique Reference
Blackpool Council,Wrps Ltd,293594,1003665,2/09/2024,"5,141.76",856.96,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,16977,100366529359416977
Blackpool Council,Wrps Ltd,293595,1003665,2/09/2024,908.64,151.44,HRA Capital Balance Sheet,90080,99999,Error Suspense,Consolidated Balance Sheet - 1,ZCONBS,ZCASUM1,capital - 3,ZCASUM3,Capital - 5,16976,100366529359516976
Blackpool Council,Teleshore (Uk) Ltd,294461,1000918,3/09/2024,"2,439.98",406.66,Carleton Crematorium Services,61064,63401,General Services,Community & Env Services - 1,BPLSER,LIFEVE1,Life Events Reg & Care - 3,LIFEVE3,Life Events Reg & Care - 5,44210,100091829446144210
Blackpool Council,Yellow Line Parking Ltd T/A Appyway,294466,1006259,3/09/2024,"10,800.00","1,800.00",,,64501,Private Contractors,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,SCHEME1,Highways Scheme - 5,INV-0660,1006259294466INV-0660
Blackpool Council,Yellow Line Parking Ltd T/A Appyway,294468,1006259,3/09/2024,"5,616.00",936.00,,,64501,Private Contractors,Community & Env Services - 1,BPLSER,HIGENG,Highways & Engineering - 3,SCHEME1,Highways Scheme - 5,INV-0661,1006259294468INV-0661
Blackpool Council,Key Engineering Supplies Ltd,294554,1000771,3/09/2024,"1,122.24",187.04,Highways & Engineering,90018,19514,Stocks Efin,Balance Sheet Blackpool Services - 1,ZBPLSER,ZBPLSER2,Balance Sheet Blackpool Services - 3,ZBPLSER4,Balance Sheet Blackpool Services - 5,73622,100077129455473622
Blackpool Council,Siemens Financial Services Ltd,294574,1000123,3/09/2024,"2,366.14",394.36,Vitaline Services,20019,63711,Subscriptions,Adult Services - 1,ADULTS,APFBAB,Vitaline - 3,APFBAB2,Vitaline - 5,001/24/1714203,1000123294574001/24/1714203
Blackpool Council,Siemens Financial Services Ltd,294576,1000123,2/09/2024,657.26,109.54,Vitaline Services,20019,63711,Subscriptions,Adult Services - 1,ADULTS,APFBAB,Vitaline - 3,APFBAB2,Vitaline - 5,001/24/1712057,1000123294576001/24/1712057
Blackpool Council,Aspireone Care Ltd,294577,1140127,3/09/2024,"18,533.35",0.00,External Residential,10541,64501,Private Contractors,Children's Services - 1,CHISER,CSCARE1,Children's social care,JEA2,Senior Management JEA2 - 5,AOCTW310824,1140127294577AOCTW310824
Blackpool Council,Siemens Financial Services Ltd,294595,1000123,3/09/2024,"2,484.58",414.10,Vitaline Services,20019,63711,Subscriptions,Adult Services - 1,ADULTS,APFBAB,Vitaline - 3,APFBAB2,Vitaline - 5,001/24/1713410,1000123294595001/24/1713410
Blackpool Council,Patrol,294617,1000992,2/09/2024,"2,241.50",0.00,General Charges - Car Parks,60037,63801,Other Expenses,Budgets Outside Cash Limits - 1,BUDOCL,PARADM,Parking Administration - 3,PARADM2,Parking Administration - 5,16073,100099229461716073
Blackpool Council,Playsafety Ltd,294647,1001388,3/09/2024,"2,376.00",396.00,Suspense - Int - P2,99969,99969,Suspense - Int - P2,Not Applicable - 1,NA,NA,Not Applicable - 3,NA,Not Applicable - 5,82044,100138829464782044
Blackpool Council,REDACTED PERSONAL DATA,294933,1001065,3/09/2024,900.00,150.00,Legal And Court Costs,61060,64707,Counsels Fees,Chief Executive - 1,CEXTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,277924 01082024,1001065294933277924 01082024
Blackpool Council,REDACTED PERSONAL DATA,294934,1001922,3/09/2024,936.00,156.00,Legal And Court Costs,61060,64707,Counsels Fees,Chief Executive - 1,CEXTOT,LADTOT1,Legal Services - 3,LADTOT3,Legal Services - 5,272789,1001922294934272789
Blackpool Council,Cassidy + Ashton Group Limited,294971,1000808,3/09/2024,"2,884.50",480.75,,,66515,Planning Application Expenses,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,MPB1,Edc - Economic Dev Company - 5,21322,100080829497121322
Blackpool Council,The Lowry Centre Trust,294977,1003197,3/09/2024,"6,000.00","1,000.00",Lightpool/NPO,50133,63401,General Services,Communication & Regeneration - 1,AMCPI,PJ,Illuminations Section - 3,PJW1,Management - Places - Illumina - 5,3436,10031972949773436
Blackpool Council,CABOODLE BOOKS LTD T/A AUTHORS ABROAD,294978,1139840,3/09/2024,660.00,110.00,Eco Coaching,64031,63819,Events Support,Chief Executive - 1,CEXTOT,CORPDU1,"Corp Dev, Eng & Comms - 3",CORPDU2,"Corp Dev, Eng & Comms - 5",INV-40426,1139840294978INV-40426
Blackpool Council,SIGNIS (TRI.X) LTD,294979,1140267,2/09/2024,"3,150.00",525.00,Principal Social Worker,10497,63711,Subscriptions,Children's Services - 1,CHISER,CHSAFE,CHSAFE,CHSAFE1,Children's safeguarding Team 1,13991,114026729497913991
Blackpool Council,SIGNIS (TRI.X) LTD,294985,1140267,2/09/2024,"10,836.00","1,806.00",Principal Social Worker,10497,63711,Subscriptions,Children's Services - 1,CHISER,CHSAFE,CHSAFE,CHSAFE1,Children's safeguarding Team 1,13990,114026729498513990
Blackpool Council,TONI FAIRHOLM,295235,1140851,3/09/2024,"1,380.00",0.00,Woodlands HT,10364,63413,Consultants,Children's Services - 1,CHISER,DELEGA,Schools - Delegated - 3,ED531,Woodlands - 5,2024-WS-004,11408512952352024-WS-004
Blackpool Council,Allied Publicity Services (Manchester) Ltd,295270,1003694,2/09/2024,"1,553.69",258.95,Blue Badge Reform,40098,63401,General Services,Resources - 1,TRSTOT,FCAD,Customer First - 3,FCAD2,Customer First - 5,C88531,1003694295270C88531
Blackpool Council,Tmp (Uk) Ltd,295301,1000064,3/09/2024,349.06,58.18,Tro Advertising,30132,64501,Private Contractors,Community & Env Services - 1,BPLSER,TR,Transportation - 3,TRA1,Traffic Managem - 5,383221,1000064295301383221
Blackpool Council,Health Assured Ltd,295304,1002978,3/09/2024,"3,157.97",526.33,Corporate Health,64003,60992,Medical Fees,Chief Executive - 1,CEXTOT,OCHEALT,Doesn?t Exist - 3,OCHEALT2,Doesn?t Exist - 5,SF-220192,1002978295304SF-220192
Blackpool Council,Cassidy + Ashton Group Limited,295419,1000808,3/09/2024,"5,966.43",609.07,,,66515,Planning Application Expenses,Communication & Regeneration - 1,AMCPI,HJ,Growth & Prosperity Team - 3,MPB1,Edc - Economic Dev Company - 5,21323,100080829541921323
Blackpool Council,REDACTED PERSONAL DATA,295422,1142249,2/09/2024,"1,062.50",0.00,Lutn Conference,50134,63401,General Services,Communication & Regeneration - 1,AMCPI,PJ,Illuminations Section - 3,PJW1,Management - Places - Illumina - 5,2024-1029,11422492954222024-1029
Blackpool Council,Concerto Support Services Ltd,295444,1001312,3/09/2024,570.00,95.00,Strat Ass Mgt & Business Admin,40271,63532,Computer Running and License Costs,Resources - 1,TRSTOT,AEG,Strat Ass Mgt & Business Admin - 3,AEG2,Strat Ass Mgt & Business Admin - 5,08790,100131229544408790
Blackpool Council,The Networking People,295592,1002170,3/09/2024,407.76,67.96,Network & Security Team,40102,63532,Computer Running and License Costs,Resources - 1,TRSTOT,FGAA,Ict Corporate Services - 3,FGAA2,Ict Corporate Services FGAA2 - 5,SI115786,1002170295592SI115786
Blackpool Council,Mhr International Uk Ltd,295604,1004890,3/09/2024,"10,800.00","1,800.00",Payroll General,40083,63532,Computer Running and License Costs,Resources - 1,TRSTOT,PROLL,Payroll - 3,PROLL2,Payroll - 5,SIN214206,1004890295604SIN214206
Blackpool Council,The Networking People,295606,1002170,3/09/2024,"2,223.20",370.53,Miscellaneous Sites,40153,64501,Private Contractors,Resources - 1,TRSTOT,AEV,Vacant & Under Used - 3,FMBAA,Vacant/Underused - 5,SI115791,1002170295606SI115791
